id,rk,gcar,gtm,date,team,opp,result,gs,mp,fg,fga,fg_pct,three_p,three_pa,three_p_pct,two_p,two_pa,two_p_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,is_away
1,1.0,65.0,1.0,2013-10-30,NOP,IND,L 90-95,1,37:44,8,20,.400,0,0,,8,20,.400,.400,4,4,1.000,7,5,12,0,1,3,4,4,20,13.1,-2,False
2,2.0,66.0,2.0,2013-11-01,NOP,ORL,L 90-110,1,38:20,9,23,.391,0,0,,9,23,.391,.391,8,8,1.000,8,9,17,1,1,3,0,4,26,24.0,-10,True
3,3.0,67.0,3.0,2013-11-02,NOP,CHA,W 105-84,1,36:40,9,13,.692,0,0,,9,13,.692,.692,7,8,.875,3,5,8,4,6,6,2,3,25,32.5,22,False
4,4.0,68.0,4.0,2013-11-05,NOP,PHO,L 98-104,1,39:42,5,14,.357,0,0,,5,14,.357,.357,7,8,.875,1,10,11,0,0,5,1,4,17,13.4,-3,False
5,5.0,69.0,5.0,2013-11-06,NOP,MEM,W 99-84,1,36:48,5,14,.357,0,0,,5,14,.357,.357,8,9,.889,2,7,9,2,3,3,0,1,18,19.4,4,True
6,6.0,70.0,6.0,2013-11-08,NOP,LAL,W 96-85,1,37:10,12,18,.667,0,0,,12,18,.667,.667,8,11,.727,4,8,12,3,1,6,2,2,32,32.7,14,False
7,7.0,71.0,7.0,2013-11-10,NOP,PHO,L 94-101,1,36:17,5,13,.385,0,0,,5,13,.385,.385,4,5,.800,5,7,12,1,4,1,1,4,14,14.9,-2,True
8,8.0,72.0,8.0,2013-11-12,NOP,LAL,L 95-116,1,26:29,6,11,.545,0,0,,6,11,.545,.545,3,4,.750,1,4,5,2,2,0,1,4,15,12.0,-16,True
9,9.0,73.0,9.0,2013-11-13,NOP,UTA,L 105-111,1,35:38,12,21,.571,0,0,,12,21,.571,.571,5,5,1.000,8,7,15,1,1,1,1,3,29,27.0,-12,True
10,10.0,74.0,10.0,2013-11-16,NOP,PHI,W 135-98,1,28:39,5,10,.500,0,0,,5,10,.500,.500,3,5,.600,1,8,9,1,2,9,1,2,13,17.5,31,False
11,11.0,75.0,11.0,2013-11-20,NOP,UTA,W 105-98,1,37:16,9,12,.750,0,0,,9,12,.750,.750,4,6,.667,1,8,9,4,0,8,1,4,22,25.3,0,False
12,12.0,76.0,12.0,2013-11-22,NOP,CLE,W 104-100,1,34:38,5,13,.385,0,0,,5,13,.385,.385,7,8,.875,9,4,13,1,2,3,3,4,17,17.2,17,False
13,13.0,77.0,13.0,2013-11-25,NOP,SAS,L 93-112,1,32:45,3,8,.375,0,0,,3,8,.375,.375,4,4,1.000,1,5,6,1,1,4,2,4,10,8.7,-20,True
14,14.0,78.0,14.0,2013-11-26,NOP,GSW,L 101-102,1,30:14,6,9,.667,0,0,,6,9,.667,.667,2,2,1.000,3,8,11,1,0,2,1,4,14,14.1,6,False
15,15.0,79.0,15.0,2013-11-29,NOP,PHI,W 121-105,1,37:55,11,20,.550,0,0,,11,20,.550,.550,0,1,.000,5,5,10,3,2,4,1,2,22,22.1,13,True
16,16.0,80.0,16.0,2013-12-01,NOP,NYK,W 103-99,1,10:27,2,6,.333,0,0,,2,6,.333,.333,3,3,1.000,1,3,4,0,0,0,1,0,7,4.2,-2,True
17,17.0,81.0,24.0,2013-12-18,NOP,LAC,L 95-108,0,32:13,10,18,.556,0,0,,10,18,.556,.556,4,7,.571,5,7,12,0,3,0,2,3,24,19.6,-6,True
18,18.0,82.0,25.0,2013-12-21,NOP,POR,L 107-110,1,37:43,8,13,.615,0,0,,8,13,.615,.615,5,8,.625,4,5,9,1,0,2,2,3,21,17.1,-1,True
19,19.0,83.0,26.0,2013-12-23,NOP,SAC,W 113-100,1,42:45,6,15,.400,0,0,,6,15,.400,.400,9,10,.900,4,7,11,1,1,0,2,3,21,15.9,11,True
20,20.0,84.0,27.0,2013-12-27,NOP,DEN,W 105-89,1,27:50,7,12,.583,0,0,,7,12,.583,.583,3,6,.500,3,4,7,1,1,4,2,4,17,14.4,7,False
21,21.0,85.0,28.0,2013-12-28,NOP,HOU,L 98-107,1,37:47,8,14,.571,0,0,,8,14,.571,.571,2,2,1.000,5,11,16,0,1,1,0,4,18,18.3,-12,True
22,22.0,86.0,29.0,2013-12-30,NOP,POR,W 110-108,1,38:52,13,19,.684,0,0,,13,19,.684,.684,1,4,.250,5,7,12,1,0,5,1,4,27,24.9,8,False
23,23.0,87.0,30.0,2014-01-01,NOP,MIN,L 112-124,1,33:22,5,9,.556,0,0,,5,9,.556,.556,3,6,.500,3,3,6,0,1,4,1,4,13,11.7,-5,True
24,24.0,88.0,31.0,2014-01-03,NOP,BOS,W 95-92,1,38:01,9,12,.750,0,0,,9,12,.750,.750,5,8,.625,3,6,9,2,1,3,1,2,23,23.6,2,True
25,25.0,89.0,32.0,2014-01-04,NOP,IND,L 82-99,1,34:01,4,12,.333,0,0,,4,12,.333,.333,2,4,.500,0,8,8,0,1,3,2,4,10,4.3,-10,True
26,26.0,90.0,33.0,2014-01-07,NOP,MIA,L 88-107,1,41:00,10,18,.556,0,0,,10,18,.556,.556,2,2,1.000,7,5,12,1,3,2,5,3,22,18.7,-24,True
