id,rk,gcar,gtm,date,team,opp,result,gs,mp,fg,fga,fg_pct,three_p,three_pa,three_p_pct,two_p,two_pa,two_p_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,is_away
1,1.0,336.0,1.0,2017-10-18,NOP,MEM,L 91-103,1,40:14,9,23,.391,1,2,.500,8,21,.381,.413,14,17,.824,7,11,18,0,0,1,5,5,33,21.2,-15,True
2,2.0,337.0,2.0,2017-10-20,NOP,GSW,L 120-128,1,40:07,15,21,.714,3,4,.750,12,17,.706,.786,2,5,.400,5,10,15,5,3,1,4,1,35,34.4,-5,False
3,3.0,338.0,3.0,2017-10-22,NOP,LAL,W 119-112,1,39:00,9,18,.500,1,5,.200,8,13,.615,.528,8,10,.800,3,14,17,3,3,3,3,1,27,27.3,8,True
4,4.0,339.0,4.0,2017-10-24,NOP,POR,L 93-103,1,05:01,1,2,.500,0,0,,1,2,.500,.500,0,0,,0,1,1,0,0,1,0,0,2,2.0,-1,True
5,5.0,340.0,6.0,2017-10-28,NOP,CLE,W 123-101,1,36:23,11,22,.500,2,4,.500,9,18,.500,.545,6,6,1.000,4,10,14,2,1,3,0,5,30,27.3,24,False
6,6.0,341.0,7.0,2017-10-30,NOP,ORL,L 99-115,1,41:24,13,20,.650,0,2,.000,13,18,.722,.650,13,15,.867,3,7,10,2,0,3,2,1,39,34.7,-5,False
7,7.0,342.0,8.0,2017-11-01,NOP,MIN,L 98-104,1,43:10,8,18,.444,0,3,.000,8,15,.533,.444,8,11,.727,3,7,10,6,3,1,2,2,24,22.7,0,False
8,8.0,343.0,9.0,2017-11-03,NOP,DAL,W 99-94,1,40:18,10,19,.526,0,2,.000,10,17,.588,.526,10,12,.833,1,12,13,4,1,3,4,4,30,24.5,21,True
9,9.0,344.0,10.0,2017-11-04,NOP,CHI,W 96-90 (OT),1,41:21,11,17,.647,1,2,.500,10,15,.667,.676,4,4,1.000,2,14,16,0,0,3,2,1,27,24.8,-2,True
10,10.0,345.0,11.0,2017-11-07,NOP,IND,W 117-112,1,41:15,14,18,.778,4,5,.800,10,13,.769,.889,5,8,.625,3,11,14,4,1,2,2,1,37,37.0,5,True
11,11.0,346.0,12.0,2017-11-09,NOP,TOR,L 118-122,1,38:06,6,14,.429,1,4,.250,5,10,.500,.464,5,6,.833,1,6,7,2,2,2,0,2,18,16.7,-10,True
12,12.0,347.0,13.0,2017-11-11,NOP,LAC,W 111-103,1,39:23,9,15,.600,0,0,,9,15,.600,.600,7,9,.778,2,8,10,5,2,2,1,0,25,27.0,11,False
13,13.0,348.0,14.0,2017-11-13,NOP,ATL,W 106-105,1,37:46,5,7,.714,0,1,.000,5,6,.833,.714,3,5,.600,2,8,10,7,2,4,5,2,13,17.0,7,False
14,14.0,349.0,15.0,2017-11-15,NOP,TOR,L 116-125,1,34:08,8,15,.533,1,1,1.000,7,14,.500,.567,2,2,1.000,2,3,5,1,3,1,2,5,19,14.4,-6,False
15,15.0,350.0,16.0,2017-11-17,NOP,DEN,L 114-146,1,21:14,7,11,.636,0,1,.000,7,10,.700,.636,3,5,.600,1,4,5,2,1,0,0,0,17,15.6,-11,True
16,16.0,351.0,17.0,2017-11-20,NOP,OKC,W 114-107,1,44:33,9,19,.474,0,1,.000,9,18,.500,.474,18,22,.818,1,14,15,3,0,2,7,3,36,24.9,4,False
17,17.0,352.0,18.0,2017-11-22,NOP,SAS,W 107-90,1,35:24,11,17,.647,0,0,,11,17,.647,.647,7,7,1.000,0,11,11,4,1,0,1,3,29,26.4,33,False
18,18.0,353.0,19.0,2017-11-24,NOP,PHO,W 115-91,1,25:45,9,12,.750,0,0,,9,12,.750,.750,5,7,.714,4,5,9,2,0,1,1,0,23,22.8,20,True
19,19.0,354.0,20.0,2017-11-25,NOP,GSW,L 95-110,1,38:51,12,22,.545,0,2,.000,12,20,.600,.545,6,8,.750,4,11,15,2,0,2,1,1,30,26.1,-5,True
20,20.0,355.0,21.0,2017-11-29,NOP,MIN,L 102-120,1,17:37,7,13,.538,0,0,,7,13,.538,.538,3,3,1.000,1,4,5,0,0,0,2,2,17,9.8,-1,False
21,21.0,356.0,22.0,2017-12-01,NOP,UTA,L 108-114,1,31:31,9,14,.643,0,0,,9,14,.643,.643,1,4,.250,1,9,10,1,2,1,2,0,19,16.4,5,True
22,22.0,357.0,26.0,2017-12-08,NOP,SAC,L 109-116 (OT),1,30:35,5,12,.417,0,1,.000,5,11,.455,.417,8,8,1.000,3,3,6,2,0,0,2,0,18,14.0,-12,False
23,23.0,358.0,27.0,2017-12-10,NOP,PHI,W 131-124,1,40:22,11,19,.579,1,1,1.000,10,18,.556,.605,6,9,.667,1,7,8,4,1,5,3,5,29,24.0,7,False
24,24.0,359.0,29.0,2017-12-13,NOP,MIL,W 115-108,1,36:07,10,16,.625,0,1,.000,10,15,.667,.625,5,5,1.000,3,7,10,2,0,4,2,3,25,23.0,11,False
25,25.0,360.0,30.0,2017-12-15,NOP,DEN,L 111-117 (OT),1,43:49,12,22,.545,0,1,.000,12,21,.571,.545,4,4,1.000,2,10,12,1,1,5,3,0,28,24.0,1,True
26,26.0,361.0,31.0,2017-12-19,NOP,WAS,L 106-116,1,36:33,11,21,.524,1,3,.333,10,18,.556,.548,14,15,.933,5,4,9,1,1,0,2,1,37,30.3,-13,True
27,27.0,362.0,32.0,2017-12-22,NOP,ORL,W 111-97,1,30:51,10,14,.714,0,1,.000,10,13,.769,.714,0,1,.000,2,9,11,0,1,1,0,3,20,18.4,17,True
