id,rk,gcar,gtm,date,team,opp,result,gs,mp,fg,fga,fg_pct,three_p,three_pa,three_p_pct,two_p,two_pa,two_p_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,is_away
1,1.0,565.0,1.0,2021-10-19,LAL,GSW,L 114-121,1,38:55,15,26,.577,1,5,.200,14,21,.667,.596,2,7,.286,2,9,11,2,1,2,0,0,33,26.7,-2,False
2,2.0,566.0,2.0,2021-10-22,LAL,PHO,L 105-115,1,38:09,6,18,.333,0,1,.000,6,17,.353,.333,10,11,.909,5,9,14,3,1,2,2,3,22,18.9,-6,False
3,3.0,567.0,3.0,2021-10-24,LAL,MEM,W 121-118,1,33:42,8,15,.533,1,3,.333,7,12,.583,.567,5,7,.714,3,5,8,2,0,4,3,1,22,18.3,-5,False
4,4.0,568.0,4.0,2021-10-26,LAL,SAS,W 125-121 (OT),1,42:23,15,31,.484,0,4,.000,15,27,.556,.484,5,6,.833,7,10,17,4,0,4,2,2,35,29.6,3,True
5,5.0,569.0,5.0,2021-10-27,LAL,OKC,L 115-123,1,36:34,12,22,.545,0,1,.000,12,21,.571,.545,6,7,.857,4,4,8,2,1,0,2,1,30,23.0,-7,True
6,6.0,570.0,6.0,2021-10-29,LAL,CLE,W 113-101,1,31:03,7,14,.500,1,2,.500,6,12,.500,.536,0,0,,2,7,9,3,1,3,2,3,15,13.5,11,False
7,7.0,571.0,7.0,2021-10-31,LAL,HOU,W 95-85,1,32:35,7,17,.412,0,1,.000,7,16,.438,.412,2,2,1.000,6,7,13,2,1,1,3,3,16,12.1,6,False
8,8.0,572.0,8.0,2021-11-02,LAL,HOU,W 119-117,1,32:02,11,18,.611,0,3,.000,11,15,.733,.611,5,8,.625,1,8,9,3,3,3,4,2,27,23.1,-1,False
9,9.0,573.0,9.0,2021-11-04,LAL,OKC,L 104-107,1,38:07,11,20,.550,0,1,.000,11,19,.579,.550,7,9,.778,6,12,18,5,1,2,3,4,29,27.7,-14,False
10,10.0,574.0,10.0,2021-11-06,LAL,POR,L 90-105,1,07:09,1,5,.200,0,0,,1,5,.200,.200,0,0,,3,0,3,0,0,0,0,1,2,0.6,-11,True
11,11.0,575.0,11.0,2021-11-08,LAL,CHO,W 126-123 (OT),1,43:35,13,25,.520,0,3,.000,13,22,.591,.520,6,8,.750,2,10,12,4,3,5,4,4,32,27.0,-1,False
12,12.0,576.0,12.0,2021-11-10,LAL,MIA,W 120-117 (OT),1,44:32,10,23,.435,1,2,.500,9,21,.429,.457,3,4,.750,5,8,13,4,1,1,4,3,24,16.7,-4,False
13,13.0,577.0,13.0,2021-11-12,LAL,MIN,L 83-107,1,30:58,7,13,.538,0,1,.000,7,12,.583,.538,8,10,.800,2,6,8,2,3,3,2,4,22,21.0,-16,False
14,14.0,578.0,14.0,2021-11-14,LAL,SAS,W 114-106,1,39:40,14,24,.583,2,3,.667,12,21,.571,.625,4,5,.800,5,10,15,6,1,1,1,0,34,33.8,0,False
