id,rk,gcar,gtm,date,team,opp,result,gs,mp,fg,fga,fg_pct,three_p,three_pa,three_p_pct,two_p,two_pa,two_p_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,is_away
1,1.0,1.0,1.0,2012-10-31,NOH,SAS,L 95-99,1,29:04,6,12,.500,0,0,,6,12,.500,.500,9,9,1.000,3,4,7,0,1,1,0,0,21,20.0,-20,False
2,2.0,2.0,2.0,2012-11-02,NOH,UTA,W 88-86,1,14:25,4,6,.667,0,0,,4,6,.667,.667,0,0,,2,4,6,0,1,2,1,0,8,9.4,6,False
3,3.0,3.0,5.0,2012-11-09,NOH,CHA,W 107-99,1,36:30,9,18,.500,0,1,.000,9,17,.529,.500,5,9,.556,4,7,11,2,2,5,1,2,23,22.4,5,False
4,4.0,4.0,6.0,2012-11-14,NOH,HOU,L 96-100,1,29:03,2,7,.286,0,0,,2,7,.286,.286,4,4,1.000,2,2,4,1,2,3,1,4,8,8.1,7,True
5,5.0,5.0,7.0,2012-11-16,NOH,OKC,L 95-110,1,29:08,4,14,.286,0,1,.000,4,13,.308,.286,0,0,,5,6,11,1,0,2,2,1,8,4.8,-19,False
6,6.0,6.0,8.0,2012-11-17,NOH,MIL,L 113-117,1,31:34,10,13,.769,0,0,,10,13,.769,.769,8,9,.889,4,7,11,1,0,0,4,4,28,22.5,-17,True
7,7.0,7.0,20.0,2012-12-11,NOH,WAS,L 70-77,0,24:54,5,10,.500,0,0,,5,10,.500,.500,3,3,1.000,2,6,8,0,3,3,2,5,13,12.3,-7,False
8,8.0,8.0,21.0,2012-12-12,NOH,OKC,L 88-92,0,28:09,3,8,.375,0,0,,3,8,.375,.375,5,6,.833,0,4,4,0,1,1,2,2,11,6.3,-13,True
9,9.0,9.0,22.0,2012-12-14,NOH,MIN,L 102-113,0,28:15,4,5,.800,0,0,,4,5,.800,.800,3,5,.600,0,7,7,2,1,3,3,2,11,11.1,3,False
10,10.0,10.0,23.0,2012-12-16,NOH,POR,L 94-95,0,33:47,5,10,.500,0,0,,5,10,.500,.500,5,6,.833,1,4,5,1,0,1,2,1,15,10.5,4,True
