id,rk,gcar,gtm,date,team,opp,result,gs,mp,fg,fga,fg_pct,three_p,three_pa,three_p_pct,two_p,two_pa,two_p_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,is_away
1,1.0,737.0,1.0,2024-10-22,LAL,MIN,W 110-103,1,37:35,11,23,.478,1,3,.333,10,20,.500,.500,13,15,.867,3,13,16,4,1,3,1,1,36,34.0,1,False
2,2.0,738.0,2.0,2024-10-25,LAL,PHO,W 123-116,1,37:30,11,18,.611,0,0,,11,18,.611,.611,13,17,.765,1,7,8,4,1,2,1,2,35,31.4,4,False
3,3.0,739.0,3.0,2024-10-26,LAL,SAC,W 131-127,1,37:45,10,15,.667,1,2,.500,9,13,.692,.700,10,13,.769,3,6,9,2,3,2,2,1,31,30.6,-22,False
4,4.0,740.0,4.0,2024-10-28,LAL,PHO,L 105-109,1,35:30,12,24,.500,0,2,.000,12,22,.545,.500,5,6,.833,5,10,15,3,1,3,3,1,29,24.9,14,True
5,5.0,741.0,5.0,2024-10-30,LAL,CLE,L 110-134,1,31:20,9,17,.529,0,1,.000,9,16,.563,.529,4,8,.500,1,12,13,2,2,0,4,1,22,15.4,-18,True
6,6.0,742.0,6.0,2024-11-01,LAL,TOR,W 131-125,1,35:43,14,20,.700,0,0,,14,20,.700,.700,10,11,.909,1,10,11,2,3,2,3,0,38,35.7,7,True
7,7.0,743.0,7.0,2024-11-04,LAL,DET,L 103-115,1,39:00,13,23,.565,0,4,.000,13,19,.684,.565,11,14,.786,1,8,9,4,0,0,3,2,37,27.0,-1,True
8,8.0,744.0,9.0,2024-11-08,LAL,PHI,W 116-106,1,35:29,11,20,.550,2,3,.667,9,17,.529,.600,7,8,.875,3,6,9,1,0,4,3,2,31,24.6,20,False
9,9.0,745.0,10.0,2024-11-10,LAL,TOR,W 123-103,1,25:53,6,8,.750,2,2,1.000,4,6,.667,.875,8,10,.800,1,3,4,3,1,2,0,1,22,23.7,-3,False
10,10.0,746.0,11.0,2024-11-13,LAL,MEM,W 128-123,1,32:00,6,16,.375,2,3,.667,4,13,.308,.438,7,8,.875,2,12,14,3,0,3,3,5,21,16.0,-6,False
11,11.0,747.0,12.0,2024-11-15,LAL,SAS,W 120-115,1,36:10,14,26,.538,2,4,.500,12,22,.545,.577,10,12,.833,5,7,12,2,1,2,2,1,40,33.6,12,True
12,12.0,748.0,13.0,2024-11-16,LAL,NOP,W 104-99,1,37:14,12,20,.600,2,4,.500,10,16,.625,.650,5,7,.714,3,11,14,1,2,1,2,3,31,26.6,2,True
13,13.0,749.0,14.0,2024-11-19,LAL,UTA,W 124-118,1,33:52,10,15,.667,0,1,.000,10,14,.714,.667,6,10,.600,4,10,14,6,2,0,0,3,26,28.7,4,False
14,14.0,750.0,15.0,2024-11-21,LAL,ORL,L 118-119,1,37:46,14,22,.636,1,1,1.000,13,21,.619,.659,10,13,.769,4,5,9,2,0,3,3,4,39,31.2,0,False
15,15.0,751.0,16.0,2024-11-23,LAL,DEN,L 102-127,1,35:24,6,19,.316,0,2,.000,6,17,.353,.316,2,3,.667,3,7,10,3,3,2,1,2,14,11.6,-26,False
16,16.0,752.0,17.0,2024-11-26,LAL,PHO,L 100-127,1,34:42,10,19,.526,0,2,.000,10,17,.588,.526,5,7,.714,2,13,15,5,1,4,3,3,25,23.3,-24,True
