id,rk,gcar,gtm,date,team,opp,result,gs,mp,fg,fga,fg_pct,three_p,three_pa,three_p_pct,two_p,two_pa,two_p_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,is_away
1,1.0,261.0,1.0,2016-10-26,NOP,DEN,L 102-107,1,41:14,17,34,.500,0,2,.000,17,32,.531,.500,16,17,.941,1,14,15,5,5,4,3,4,50,44.2,-3,False
2,2.0,262.0,2.0,2016-10-28,NOP,GSW,L 114-122,1,39:58,17,31,.548,1,2,.500,16,29,.552,.565,10,14,.714,6,11,17,3,2,2,1,2,45,39.7,-3,False
3,3.0,263.0,3.0,2016-10-29,NOP,SAS,L 79-98,1,31:35,6,15,.400,0,0,,6,15,.400,.400,6,8,.750,0,5,5,0,0,3,1,1,18,11.3,-17,True
4,4.0,264.0,4.0,2016-11-01,NOP,MIL,L 113-117,1,37:10,9,21,.429,0,3,.000,9,18,.500,.429,17,18,.944,3,12,15,2,3,3,1,2,35,33.9,3,False
5,5.0,265.0,5.0,2016-11-02,NOP,MEM,L 83-89 (OT),1,35:40,3,13,.231,1,4,.250,2,9,.222,.269,3,5,.600,1,6,7,1,2,3,5,5,10,1.6,-23,True
6,6.0,266.0,6.0,2016-11-04,NOP,PHO,L 111-112 (OT),1,42:33,7,11,.636,0,1,.000,7,10,.700,.636,8,12,.667,1,9,10,2,1,4,1,1,22,22.7,-6,False
7,7.0,267.0,7.0,2016-11-07,NOP,GSW,L 106-116,1,35:00,11,18,.611,1,2,.500,10,16,.625,.639,10,13,.769,1,12,13,1,0,0,3,1,33,25.2,-6,True
8,8.0,268.0,8.0,2016-11-08,NOP,SAC,L 94-102,1,36:37,14,22,.636,0,2,.000,14,20,.700,.636,6,7,.857,1,7,8,1,2,4,3,2,34,28.3,-4,True
9,9.0,269.0,9.0,2016-11-10,NOP,MIL,W 112-106,1,41:27,11,24,.458,0,0,,11,24,.458,.458,8,8,1.000,3,5,8,2,2,4,2,3,30,24.2,7,True
10,10.0,270.0,10.0,2016-11-12,NOP,LAL,L 99-126,1,34:51,13,26,.500,0,2,.000,13,24,.542,.500,8,11,.727,1,7,8,2,0,2,1,0,34,24.4,-10,False
11,11.0,271.0,11.0,2016-11-14,NOP,BOS,W 106-105,1,38:20,7,22,.318,0,1,.000,7,21,.333,.318,11,13,.846,1,15,16,0,4,2,7,2,25,14.4,0,False
12,12.0,272.0,13.0,2016-11-18,NOP,POR,W 113-101,1,36:41,14,22,.636,2,5,.400,12,17,.706,.682,8,10,.800,0,9,9,6,2,4,2,2,38,36.3,16,False
13,13.0,273.0,14.0,2016-11-19,NOP,CHO,W 121-116 (OT),1,42:19,15,27,.556,2,5,.400,13,22,.591,.593,6,8,.750,2,14,16,2,1,3,2,3,38,31.2,7,False
14,14.0,274.0,15.0,2016-11-22,NOP,ATL,W 112-94,1,18:31,6,12,.500,0,1,.000,6,11,.545,.500,1,1,1.000,2,1,3,1,1,3,2,1,13,10.1,13,True
15,15.0,275.0,16.0,2016-11-23,NOP,MIN,W 117-96,1,38:31,17,27,.630,2,4,.500,15,23,.652,.667,9,10,.900,1,9,10,3,2,1,4,1,45,36.3,33,False
16,16.0,276.0,17.0,2016-11-25,NOP,POR,L 104-119,1,42:39,10,17,.588,2,4,.500,8,13,.615,.647,9,13,.692,0,13,13,2,0,5,1,1,31,28.9,-16,True
17,17.0,277.0,18.0,2016-11-27,NOP,DAL,L 81-91,1,40:15,12,22,.545,0,1,.000,12,21,.571,.545,12,14,.857,3,10,13,3,1,1,2,3,36,30.3,-19,True
18,18.0,278.0,19.0,2016-11-29,NOP,LAL,W 105-88,1,41:18,14,27,.519,1,4,.250,13,23,.565,.537,12,14,.857,6,10,16,3,4,2,1,4,41,39.0,19,False
19,19.0,279.0,20.0,2016-12-02,NOP,LAC,L 96-114,1,32:03,8,17,.471,0,0,,8,17,.471,.471,5,6,.833,2,3,5,4,1,1,2,2,21,15.9,-7,False
20,20.0,280.0,21.0,2016-12-04,NOP,OKC,L 92-101,1,43:20,14,32,.438,0,1,.000,14,31,.452,.438,9,11,.818,5,10,15,2,2,4,3,3,37,27.9,-10,True
21,21.0,281.0,22.0,2016-12-05,NOP,MEM,L 108-110 (2OT),1,48:29,10,27,.370,1,4,.250,9,23,.391,.389,7,7,1.000,0,16,16,1,1,4,1,1,28,21.0,-5,False
22,22.0,282.0,23.0,2016-12-08,NOP,PHI,L 88-99,1,40:33,8,21,.381,0,2,.000,8,19,.421,.381,10,12,.833,1,10,11,2,0,2,3,1,26,16.8,-10,False
23,23.0,283.0,25.0,2016-12-11,NOP,PHO,W 120-119 (OT),1,44:11,4,17,.235,0,3,.000,4,14,.286,.235,6,6,1.000,3,9,12,4,1,2,3,4,14,9.1,-7,True
24,24.0,284.0,26.0,2016-12-13,NOP,GSW,L 109-113,1,36:12,10,14,.714,1,1,1.000,9,13,.692,.750,7,8,.875,0,8,8,3,2,5,6,2,28,25.0,-8,False
25,25.0,285.0,27.0,2016-12-15,NOP,IND,W 102-95,1,39:07,11,23,.478,2,3,.667,9,20,.450,.522,11,15,.733,1,14,15,0,0,5,4,2,35,25.3,14,False
26,26.0,286.0,28.0,2016-12-16,NOP,HOU,L 100-122,1,22:38,9,17,.529,0,1,.000,9,16,.563,.529,1,3,.333,1,4,5,3,0,0,1,0,19,12.9,-15,True
27,27.0,287.0,29.0,2016-12-18,NOP,SAS,L 100-113,1,29:41,5,12,.417,0,0,,5,12,.417,.417,2,4,.500,2,2,4,1,0,1,3,4,12,3.6,-23,True
28,28.0,288.0,30.0,2016-12-20,NOP,PHI,W 108-93,1,35:13,12,30,.400,0,1,.000,12,29,.414,.400,7,10,.700,5,11,16,2,0,2,1,2,31,21.4,11,True
29,29.0,289.0,31.0,2016-12-21,NOP,OKC,L 110-121,1,35:46,14,26,.538,1,2,.500,13,24,.542,.558,5,7,.714,2,12,14,2,1,2,2,5,34,25.4,6,False
30,30.0,290.0,32.0,2016-12-23,NOP,MIA,W 91-87,1,36:52,10,17,.588,2,3,.667,8,14,.571,.647,6,9,.667,7,15,22,1,1,4,3,3,28,28.6,4,False
31,31.0,291.0,33.0,2016-12-26,NOP,DAL,W 111-104,1,36:37,8,14,.571,0,1,.000,8,13,.615,.571,12,14,.857,5,11,16,4,0,2,6,4,28,24.0,7,False
32,32.0,292.0,34.0,2016-12-28,NOP,LAC,W 102-98,1,37:04,8,16,.500,0,2,.000,8,14,.571,.500,4,8,.500,1,4,5,1,4,1,0,4,20,16.1,4,False
33,33.0,293.0,35.0,2016-12-30,NOP,NYK,W 104-92,1,34:28,9,18,.500,0,0,,9,18,.500,.500,5,6,.833,1,17,18,2,2,0,5,3,23,16.6,12,False
34,34.0,294.0,36.0,2017-01-02,NOP,CLE,L 82-90,1,40:22,10,27,.370,0,1,.000,10,26,.385,.370,0,2,.000,6,10,16,2,1,3,3,2,20,12.2,3,True
35,35.0,295.0,37.0,2017-01-05,NOP,ATL,L 94-99,1,36:52,7,20,.350,0,0,,7,20,.350,.350,6,8,.750,7,11,18,3,2,0,3,5,20,15.3,-1,False
36,36.0,296.0,38.0,2017-01-07,NOP,BOS,L 108-117,1,38:09,14,21,.667,1,1,1.000,13,20,.650,.690,7,9,.778,3,13,16,2,0,2,3,0,36,31.9,-6,True
37,37.0,297.0,39.0,2017-01-09,NOP,NYK,W 110-96,1,28:58,14,22,.636,1,1,1.000,13,21,.619,.659,11,12,.917,4,14,18,2,0,3,0,2,40,39.5,26,True
38,38.0,298.0,41.0,2017-01-14,NOP,CHI,L 99-107,1,39:11,14,23,.609,0,0,,14,23,.609,.609,8,10,.800,3,11,14,2,1,3,3,3,36,30.4,-1,True
39,39.0,299.0,42.0,2017-01-16,NOP,IND,L 95-98,1,23:24,6,11,.545,0,0,,6,11,.545,.545,4,5,.800,0,3,3,3,0,0,0,1,16,12.9,-6,True
40,40.0,300.0,43.0,2017-01-18,NOP,ORL,W 118-98,1,28:55,9,17,.529,0,0,,9,17,.529,.529,3,4,.750,2,11,13,4,0,1,2,1,21,18.1,11,False
41,41.0,301.0,44.0,2017-01-20,NOP,BRK,L 114-143,1,27:02,10,17,.588,0,1,.000,10,16,.625,.588,2,3,.667,2,7,9,4,1,2,2,4,22,18.8,-11,False
42,42.0,302.0,46.0,2017-01-25,NOP,OKC,L 105-114,1,16:07,2,8,.250,0,0,,2,8,.250,.250,4,6,.667,0,5,5,0,0,1,2,2,8,1.8,-12,False
43,43.0,303.0,47.0,2017-01-27,NOP,SAS,W 119-103,1,33:22,6,11,.545,0,1,.000,6,10,.600,.545,4,5,.800,4,17,21,2,1,1,7,2,16,13.5,21,False
44,44.0,304.0,48.0,2017-01-29,NOP,WAS,L 94-107,1,39:54,15,25,.600,1,2,.500,14,23,.609,.620,5,6,.833,2,15,17,3,3,2,6,2,36,29.7,-3,False
45,45.0,305.0,49.0,2017-01-31,NOP,TOR,L 106-108 (OT),1,41:22,4,18,.222,0,1,.000,4,17,.235,.222,10,12,.833,3,14,17,3,1,3,0,2,18,16.9,-9,True
46,46.0,306.0,50.0,2017-02-01,NOP,DET,L 98-118,1,40:46,13,24,.542,0,1,.000,13,23,.565,.542,5,6,.833,2,10,12,2,2,4,5,3,31,23.4,-5,True
47,47.0,307.0,51.0,2017-02-04,NOP,WAS,L 91-105,1,38:46,11,17,.647,0,0,,11,17,.647,.647,3,4,.750,2,8,10,2,1,2,1,1,25,23.3,-9,True
48,48.0,308.0,52.0,2017-02-06,NOP,PHO,W 111-106,1,40:29,12,21,.571,1,2,.500,11,19,.579,.595,9,11,.818,2,7,9,1,1,5,2,3,34,28.8,13,False
49,49.0,309.0,53.0,2017-02-08,NOP,UTA,L 94-127,1,30:03,4,12,.333,0,0,,4,12,.333,.333,4,5,.800,3,6,9,2,0,6,1,1,12,12.9,-36,False
50,50.0,310.0,54.0,2017-02-10,NOP,MIN,W 122-106,1,36:15,16,22,.727,2,3,.667,14,19,.737,.773,8,11,.727,2,11,13,2,1,1,2,3,42,36.4,13,True
51,51.0,311.0,55.0,2017-02-12,NOP,SAC,L 99-105,1,40:28,11,24,.458,1,2,.500,10,22,.455,.479,9,9,1.000,1,9,10,3,2,1,6,4,32,20.2,-1,True
52,52.0,312.0,56.0,2017-02-13,NOP,PHO,W 110-108,1,40:20,8,16,.500,0,1,.000,8,15,.533,.500,8,8,1.000,1,9,10,2,0,4,3,4,24,19.0,-1,True
53,53.0,313.0,57.0,2017-02-15,NOP,MEM,W 95-91,1,39:11,9,20,.450,0,1,.000,9,19,.474,.450,0,0,,0,7,7,2,1,2,3,2,18,9.7,1,True
54,54.0,314.0,58.0,2017-02-23,NOP,HOU,L 99-129,1,32:53,8,21,.381,0,2,.000,8,19,.421,.381,13,16,.813,3,6,9,1,2,2,3,2,29,20.5,-31,False
55,55.0,315.0,59.0,2017-02-25,NOP,DAL,L 83-96,1,39:11,17,34,.500,1,4,.250,16,30,.533,.515,4,9,.444,3,11,14,0,1,2,2,2,39,25.0,-2,True
56,56.0,316.0,60.0,2017-02-26,NOP,OKC,L 110-118,1,32:13,15,28,.536,2,3,.667,13,25,.520,.571,6,6,1.000,3,4,7,4,1,0,1,4,38,28.9,-6,True
57,57.0,317.0,61.0,2017-03-01,NOP,DET,W 109-86,1,36:28,11,17,.647,0,2,.000,11,15,.733,.647,11,11,1.000,1,13,14,3,0,1,2,2,33,30.1,20,False
58,58.0,318.0,62.0,2017-03-03,NOP,SAS,L 98-101 (OT),1,42:18,7,18,.389,1,3,.333,6,15,.400,.417,14,16,.875,1,7,8,3,1,1,3,4,29,20.4,-4,False
