id,rk,gcar,gtm,date,team,opp,result,gs,mp,fg,fga,fg_pct,three_p,three_pa,three_p_pct,two_p,two_pa,two_p_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,is_away
1,1.0,200.0,1.0,2015-10-27,NOP,GSW,L 95-111,1,34:31,4,20,.200,0,2,.000,4,18,.222,.200,10,15,.667,1,5,6,2,0,3,5,4,18,2.7,-16,True
2,2.0,201.0,2.0,2015-10-28,NOP,POR,L 94-112,1,40:39,10,17,.588,3,5,.600,7,12,.583,.676,2,4,.500,2,8,10,0,2,2,2,1,25,21.1,-8,True
3,3.0,202.0,3.0,2015-10-31,NOP,GSW,L 120-134,1,37:11,8,17,.471,1,2,.500,7,15,.467,.500,9,11,.818,5,10,15,4,0,2,3,2,26,23.4,-19,False
4,4.0,203.0,4.0,2015-11-03,NOP,ORL,L 94-103,1,36:16,3,12,.250,0,2,.000,3,10,.300,.250,8,10,.800,1,8,9,1,1,5,2,2,14,11.5,-2,False
5,5.0,204.0,5.0,2015-11-06,NOP,ATL,L 115-121,1,41:23,14,23,.609,1,1,1.000,13,22,.591,.630,14,16,.875,2,8,10,3,4,3,1,5,43,40.7,-1,False
6,6.0,205.0,6.0,2015-11-07,NOP,DAL,L 98-107,1,39:20,11,19,.579,0,2,.000,11,17,.647,.579,3,5,.600,1,5,6,4,1,2,4,5,25,16.7,-7,True
7,7.0,206.0,7.0,2015-11-10,NOP,DAL,W 120-105,1,18:50,8,14,.571,0,1,.000,8,13,.615,.571,1,4,.250,0,7,7,2,1,1,1,2,17,12.6,17,False
8,8.0,207.0,10.0,2015-11-15,NOP,NYK,L 87-95,1,40:23,14,26,.538,2,4,.500,12,22,.545,.577,6,7,.857,1,10,11,1,1,4,4,4,36,25.6,-9,True
9,9.0,208.0,11.0,2015-11-17,NOP,DEN,L 98-115,1,06:21,0,3,.000,0,0,,0,3,.000,.000,0,0,,0,2,2,1,0,0,0,0,0,-0.8,-2,False
10,10.0,209.0,13.0,2015-11-20,NOP,SAS,W 104-90,1,39:12,9,23,.391,0,1,.000,9,22,.409,.391,2,2,1.000,2,16,18,3,0,2,1,2,20,15.4,15,False
11,11.0,210.0,14.0,2015-11-22,NOP,PHO,W 122-116,1,39:03,11,22,.500,1,2,.500,10,20,.500,.523,9,11,.818,6,13,19,1,2,4,3,4,32,29.2,16,False
12,12.0,211.0,15.0,2015-11-25,NOP,PHO,W 120-114,1,39:03,11,14,.786,0,0,,11,14,.786,.786,4,6,.667,2,15,17,0,2,2,4,3,26,23.9,7,True
13,13.0,212.0,16.0,2015-11-27,NOP,LAC,L 90-111,1,28:11,7,16,.438,0,1,.000,7,15,.467,.438,3,4,.750,2,4,6,0,0,0,3,3,17,6.6,-26,True
14,14.0,213.0,17.0,2015-11-28,NOP,UTA,L 87-101,1,44:20,12,18,.667,0,2,.000,12,16,.750,.667,12,15,.800,1,10,11,1,2,3,2,4,36,31.9,1,True
15,15.0,214.0,18.0,2015-12-01,NOP,MEM,L 104-113,1,41:06,4,15,.267,1,1,1.000,3,14,.214,.300,8,13,.615,3,11,14,2,2,9,1,1,17,19.8,-1,False
16,16.0,215.0,19.0,2015-12-02,NOP,HOU,L 101-108,1,34:49,9,20,.450,1,2,.500,8,18,.444,.475,10,11,.909,2,11,13,1,2,2,2,2,29,24.2,-11,True
17,17.0,216.0,20.0,2015-12-04,NOP,CLE,W 114-108 (OT),1,46:16,13,22,.591,2,4,.500,11,18,.611,.636,3,6,.500,1,11,12,1,4,1,1,2,31,27.2,7,False
