Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Season,Regular Season,522,1005,.519,2,9,.222,.520,349,.669
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Game Location,Home,277,521,.532,1,7,.143,.533,181,.653
,Road,245,484,.506,1,2,.500,.507,168,.686
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Game Result,Win,245,449,.546,0,3,.000,.546,166,.678
,Loss,277,556,.498,2,6,.333,.500,183,.661
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Shot Points,2,520,996,.522,0,0,,.522,347,.667
,3,2,9,.222,2,9,.222,.333,2,1.000
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Shot Distance,At Rim,280,398,.704,0,0,,.704,178,.636
,3 to <10 ft,85,208,.409,0,0,,.409,44,.518
,10 to <16 ft,78,181,.431,0,0,,.431,58,.744
,16 ft to <3-pt,77,209,.368,0,0,,.368,67,.870
,3-pt,2,9,.222,2,9,.222,.333,2,1.000
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Shot Type,Dunk,146,160,.912,0,0,,.912,102,.699
,Hook Shot,22,37,.595,0,0,,.595,9,.409
,Jump Shot,212,552,.384,2,9,.222,.386,158,.745
,Lay-Up,119,211,.564,0,0,,.564,80,.672
,Tip Shot,23,45,.511,0,0,,.511,0,.000
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Quarter,1st,180,333,.541,0,1,.000,.541,119,.661
,2nd,85,166,.512,0,3,.000,.512,57,.671
,3rd,134,277,.484,0,0,,.484,93,.694
,4th,123,226,.544,2,5,.400,.549,80,.650
,OT,0,3,.000,0,0,,.000,0,
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Time Left in Quarter,< 3 minutes,134,261,.513,1,7,.143,.515,78,.582
,3-6 minutes,155,288,.538,1,1,1.000,.540,113,.729
,> 6 minutes,233,456,.511,0,1,.000,.511,158,.678
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Margin,≤ 5 points,314,588,.534,0,3,.000,.534,213,.678
,6-10 points,104,208,.500,2,5,.400,.505,64,.615
,> 10 points,104,209,.498,0,1,.000,.498,72,.692
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Opponent,Atlanta,20,33,.606,0,0,,.606,11,.550
,Boston,23,34,.676,0,0,,.676,15,.652
,Brooklyn,20,36,.556,0,0,,.556,15,.750
,Charlotte,17,30,.567,0,0,,.567,12,.706
,Chicago,10,14,.714,0,0,,.714,7,.700
,Cleveland,17,31,.548,0,0,,.548,10,.588
,Dallas,22,45,.489,0,0,,.489,11,.500
,Denver,20,36,.556,0,0,,.556,12,.600
,Detroit,4,12,.333,0,1,.000,.333,1,.250
,Golden State,17,26,.654,0,0,,.654,10,.588
,Houston,16,27,.593,0,1,.000,.593,10,.625
,Indiana,12,32,.375,0,0,,.375,9,.750
,LA Clippers,23,59,.390,0,2,.000,.390,17,.739
,LA Lakers,28,45,.622,0,0,,.622,22,.786
,Memphis,23,50,.460,0,0,,.460,13,.565
,Miami,23,40,.575,0,0,,.575,14,.609
,Milwaukee,17,32,.531,0,1,.000,.531,14,.824
,Minnesota,15,25,.600,0,0,,.600,10,.667
,New York,8,16,.500,0,0,,.500,5,.625
,Orlando,18,44,.409,0,0,,.409,10,.556
,Philadelphia,16,30,.533,0,0,,.533,13,.812
,Phoenix,24,45,.533,0,0,,.533,18,.750
,Portland,42,77,.545,0,0,,.545,31,.738
,Sacramento,19,54,.352,1,2,.500,.361,14,.737
,San Antonio,18,47,.383,0,1,.000,.383,9,.500
,Toronto,7,14,.500,0,0,,.500,5,.714
,Utah,24,40,.600,0,0,,.600,16,.667
,Washington,19,31,.613,1,1,1.000,.629,15,.789
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Month,October,8,20,.400,0,0,,.400,6,.750
,November,102,199,.513,0,0,,.513,74,.725
,December,54,97,.557,0,0,,.557,43,.796
,January,121,233,.519,1,4,.250,.521,74,.612
,February,107,196,.546,0,1,.000,.546,71,.664
,March,118,232,.509,1,4,.250,.511,72,.610
,April,12,28,.429,0,0,,.429,9,.750
