Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Season,Regular Season,370,695,.532,13,70,.186,.542,242,.654
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Game Location,Home,208,385,.540,10,37,.270,.553,138,.663
,Road,162,310,.523,3,33,.091,.527,104,.642
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Game Result,Win,166,308,.539,8,31,.258,.552,107,.645
,Loss,204,387,.527,5,39,.128,.534,135,.662
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Shot Points,2,357,625,.571,0,0,,.571,231,.647
,3,13,70,.186,13,70,.186,.279,11,.846
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Shot Distance,At Rim,207,261,.793,0,0,,.793,145,.700
,3 to <10 ft,65,134,.485,0,0,,.485,38,.585
,10 to <16 ft,33,104,.317,0,0,,.317,15,.455
,16 ft to <3-pt,52,126,.413,0,0,,.413,33,.635
,3-pt,13,70,.186,13,70,.186,.279,11,.846
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Shot Type,Dunk,111,123,.902,0,0,,.902,88,.793
,Hook Shot,19,41,.463,0,0,,.463,8,.421
,Jump Shot,125,359,.348,13,70,.186,.366,75,.600
,Lay-Up,115,172,.669,0,0,,.669,71,.617
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Quarter,1st,130,237,.549,5,19,.263,.559,79,.608
,2nd,69,123,.561,0,10,.000,.561,47,.681
,3rd,102,191,.534,6,22,.273,.550,71,.696
,4th,58,126,.460,2,17,.118,.468,38,.655
,OT,11,18,.611,0,2,.000,.611,7,.636
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Time Left in Quarter,< 3 minutes,93,169,.550,4,19,.211,.562,67,.720
,3-6 minutes,131,231,.567,2,24,.083,.571,84,.641
,> 6 minutes,146,295,.495,7,27,.259,.507,91,.623
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Margin,≤ 5 points,227,417,.544,11,48,.229,.558,146,.643
,6-10 points,74,147,.503,1,12,.083,.507,49,.662
,> 10 points,69,131,.527,1,10,.100,.531,47,.681
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Opponent,Atlanta,10,20,.500,1,3,.333,.525,6,.600
,Boston,19,34,.559,0,3,.000,.559,11,.579
,Brooklyn,3,8,.375,0,1,.000,.375,2,.667
,Charlotte,13,25,.520,0,3,.000,.520,9,.692
,Chicago,6,9,.667,0,0,,.667,5,.833
,Cleveland,7,14,.500,1,2,.500,.536,5,.714
,Dallas,8,18,.444,0,3,.000,.444,7,.875
,Denver,11,25,.440,0,0,,.440,8,.727
,Detroit,21,34,.618,2,3,.667,.647,18,.857
,Golden State,20,39,.513,1,6,.167,.526,12,.600
,Houston,18,35,.514,0,4,.000,.514,11,.611
,LA Clippers,22,39,.564,0,4,.000,.564,14,.636
,Memphis,17,33,.515,2,7,.286,.545,12,.706
,Miami,10,23,.435,1,2,.500,.457,7,.700
,Milwaukee,17,25,.680,0,1,.000,.680,11,.647
,Minnesota,11,20,.550,0,2,.000,.550,8,.727
,New Orleans,8,17,.471,1,2,.500,.500,6,.750
,New York,20,36,.556,1,2,.500,.569,13,.650
,Oklahoma City,23,42,.548,0,2,.000,.548,8,.348
,Philadelphia,14,21,.667,0,1,.000,.667,9,.643
,Phoenix,16,36,.444,0,3,.000,.444,13,.812
,Portland,19,34,.559,0,1,.000,.559,17,.895
,Sacramento,21,44,.477,0,7,.000,.477,10,.476
,San Antonio,29,55,.527,2,7,.286,.545,14,.483
,Utah,7,9,.778,1,1,1.000,.833,6,.857
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Month,October,70,143,.490,3,17,.176,.500,36,.514
,November,143,268,.534,6,29,.207,.545,91,.636
,December,38,71,.535,1,10,.100,.542,29,.763
,January,27,49,.551,1,5,.200,.561,17,.630
,February,63,104,.606,1,5,.200,.611,47,.746
,April,29,60,.483,1,4,.250,.492,22,.759
