Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Difference,Difference,Difference,Difference,Difference,Difference,Difference,Difference,Difference
Split,Tm,MP,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
On Court,LAL,2702,0.567,19.9,77.3,50.0,66.1,7.4,10.8,13.2,117.9,0.55,22.7,80.1,50.0,63.9,8.0,8.2,13.1,115.6,0.018,-2.8,-2.8,-0.1,2.2,-0.7,2.6,0.1,2.3
Off Court,LAL,1272,0.565,19.9,73.9,48.4,63.7,7.2,7.9,15.1,113.7,0.551,26.1,80.1,51.6,63.0,8.3,9.1,13.5,117.4,0.014,-6.2,-6.2,-3.2,0.7,-1.1,-1.1,1.6,-3.7
On − Off,LAL,68%,0.002,0.0,3.4,1.6,2.4,0.2,2.9,-1.9,4.2,-0.001,-3.4,0.0,-1.6,0.9,-0.3,-0.9,-0.4,-1.8,0.004,3.4,3.4,3.1,1.5,0.4,3.7,-1.5,6.0
