Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Difference,Difference,Difference,Difference,Difference,Difference,Difference,Difference,Difference
Split,Tm,MP,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
On Court,LAL,1868,0.542,23.8,78.0,51.5,61.0,7.0,8.5,13.7,116.2,0.525,22.0,76.2,48.5,59.1,7.7,8.2,12.9,111.6,0.017,1.8,1.8,3.0,1.9,-0.7,0.3,0.8,4.7
Off Court,LAL,2062,0.542,21.6,74.9,49.4,56.9,5.6,7.6,13.9,114.2,0.545,25.1,78.4,50.6,57.6,7.2,9.4,11.9,117.3,-0.003,-3.5,-3.5,-1.2,-0.7,-1.6,-1.8,2.0,-3.1
On − Off,LAL,48%,0.0,2.2,3.1,2.1,4.1,1.4,0.9,-0.2,2.0,-0.02,-3.1,-2.2,-2.1,1.5,0.5,-1.2,1.0,-5.7,0.02,5.3,5.3,4.2,2.6,0.9,2.1,-1.2,7.8
