Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Difference,Difference,Difference,Difference,Difference,Difference,Difference,Difference,Difference
Split,Tm,MP,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
On Court,NOP,2697,0.508,18.6,77.0,48.3,59.2,7.7,10.2,13.2,106.6,0.491,23.0,81.4,51.7,58.4,7.7,6.6,13.7,105.5,0.017,-4.4,-4.4,-3.4,0.9,0.0,3.5,-0.5,1.2
Off Court,NOP,1266,0.497,18.9,75.7,45.7,56.0,8.3,7.8,12.7,104.1,0.549,24.3,81.1,54.3,58.6,7.0,8.2,15.1,112.7,-0.052,-5.4,-5.4,-8.6,-2.7,1.3,-0.4,-2.4,-8.6
On − Off,NOP,68%,0.011,-0.3,1.3,2.6,3.2,-0.6,2.4,0.5,2.5,-0.058,-1.3,0.3,-2.6,-0.2,0.7,-1.6,-1.4,-7.2,0.069,1.0,1.0,5.2,3.6,-1.3,3.9,1.9,9.8
