Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Difference,Difference,Difference,Difference,Difference,Difference,Difference,Difference,Difference
Split,Tm,MP,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
On Court,NOP,2351,0.499,26.0,73.8,49.7,56.3,8.9,12.6,14.4,108.0,0.519,26.2,74.0,50.3,58.9,7.5,8.8,16.1,109.8,-0.02,-0.1,-0.1,-0.6,-2.6,1.4,3.8,-1.7,-1.8
Off Court,NOP,1609,0.489,28.1,73.8,50.5,56.2,7.8,8.8,15.1,106.4,0.509,26.2,71.9,49.5,62.6,7.7,9.8,14.5,110.1,-0.02,1.9,1.9,0.9,-6.4,0.1,-1.0,0.6,-3.7
On − Off,NOP,59%,0.01,-2.1,0.0,-0.8,0.1,1.1,3.8,-0.7,1.6,0.01,0.0,2.1,0.8,-3.7,-0.2,-1.0,1.6,-0.3,0.0,-2.0,-2.0,-1.5,3.8,1.3,4.8,-2.3,1.9
