Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Difference,Difference,Difference,Difference,Difference,Difference,Difference,Difference,Difference
Split,Tm,MP,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
On Court,NOP,2156,0.495,20.1,78.9,48.6,58.1,7.9,8.2,13.7,104.8,0.52,21.1,79.9,51.4,57.4,7.5,7.6,13.8,109.5,-0.025,-0.9,-0.9,-2.8,0.8,0.4,0.6,-0.1,-4.7
Off Court,NOP,1785,0.501,22.4,78.6,49.4,57.0,8.0,5.7,13.9,106.7,0.526,21.4,77.6,50.6,60.9,7.6,9.2,14.5,109.6,-0.025,1.0,1.0,-1.2,-3.9,0.4,-3.6,-0.6,-2.9
On − Off,NOP,55%,-0.006,-2.3,0.3,-0.8,1.1,-0.1,2.5,-0.2,-1.9,-0.006,-0.3,2.3,0.8,-3.5,-0.1,-1.6,-0.7,-0.1,0.0,-1.9,-1.9,-1.6,4.7,0.0,4.2,0.5,-1.8
