Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Difference,Difference,Difference,Difference,Difference,Difference,Difference,Difference,Difference
Split,Tm,MP,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
On Court,LAL,1404,0.531,20.4,77.6,48.7,61.7,8.3,11.2,15.3,107.1,0.536,22.4,79.6,51.3,62.0,9.0,6.0,15.1,110.4,-0.005,-2.1,-2.1,-2.6,-0.3,-0.7,5.3,0.1,-3.2
Off Court,LAL,2595,0.54,21.5,74.9,48.5,55.4,7.1,8.5,13.9,112.9,0.542,25.1,78.5,51.5,61.5,7.8,8.5,13.2,116.0,-0.002,-3.6,-3.6,-3.1,-6.1,-0.7,0.0,0.7,-3.1
On − Off,LAL,35%,-0.009,-1.1,2.7,0.2,6.3,1.2,2.7,1.4,-5.8,-0.006,-2.7,1.1,-0.2,0.5,1.2,-2.5,1.9,-5.6,-0.003,1.5,1.5,0.5,5.8,0.0,5.3,-0.6,-0.1
