Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Difference,Difference,Difference,Difference,Difference,Difference,Difference,Difference,Difference
Split,Tm,MP,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
On Court,NOP,2714,0.543,20.2,76.1,49.6,63.6,8.2,10.4,14.3,111.3,0.502,23.9,79.8,50.4,57.4,8.0,6.4,14.5,106.1,0.042,-3.7,-3.7,-0.9,6.2,0.2,4.0,-0.2,5.2
Off Court,NOP,1251,0.536,19.8,78.2,49.0,60.8,7.0,7.8,15.9,107.8,0.539,21.8,80.2,51.0,55.9,8.2,8.3,13.6,113.6,-0.002,-2.0,-2.0,-2.1,5.0,-1.2,-0.4,2.2,-5.8
On − Off,NOP,68%,0.007,0.4,-2.1,0.6,2.8,1.2,2.6,-1.6,3.5,-0.037,2.1,-0.4,-0.6,1.5,-0.2,-1.9,0.9,-7.5,0.044,-1.7,-1.7,1.2,1.2,1.4,4.4,-2.4,11.0
