Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Difference,Difference,Difference,Difference,Difference,Difference,Difference,Difference,Difference
Split,Tm,MP,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
On Court,NOH,1845,0.488,30.1,74.7,52.1,57.7,8.1,10.2,17.0,105.8,0.527,25.3,69.9,47.9,64.6,9.1,8.7,15.1,111.0,-0.04,4.8,4.8,4.2,-6.9,-1.0,1.4,1.9,-5.3
Off Court,NOH,2111,0.49,28.5,74.2,50.8,58.8,6.3,8.4,15.8,105.9,0.513,25.8,71.5,49.2,62.0,8.7,10.5,14.8,110.0,-0.023,2.6,2.6,1.7,-3.2,-2.4,-2.0,1.0,-4.1
On − Off,NOH,47%,-0.002,1.6,0.5,1.3,-1.1,1.8,1.8,1.2,-0.1,0.014,-0.5,-1.6,-1.3,2.6,0.4,-1.8,0.3,1.0,-0.017,2.2,2.2,2.5,-3.7,1.4,3.4,0.9,-1.2
