,,,,Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss)
Rk,Lineup,Tm,MP,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
1,A. Davis | L. James,LAL,172:10,+0.7,-3.0,+.023,-2.2,-2.7,-.042,+.013,-0.7,+2.0,-.131,-1.5,-4.2,-10.3,-5.7,-10.3,-4.8,-10.9,-2.8,+1.9,+2.8,-3.0,+0.3
2,A. Davis | A. Reaves,LAL,168:27,+1.4,-4.2,+.038,-3.2,-4.1,-.058,+.023,+0.5,+2.3,-.082,+0.2,-4.1,-8.2,-2.5,-8.2,-3.1,-6.9,-1.8,+0.5,+2.3,-1.7,+0.6
3,A. Davis | D. Russell,LAL,157:40,+2.4,-9.0,+.073,-2.2,-6.0,-.012,+.067,+3.9,+8.7,-.209,+6.4,-5.1,-9.0,-0.1,-9.0,-2.6,-5.7,-2.1,+0.6,+2.9,-1.6,-1.3
4,A. Davis | R. Hachimura,LAL,139:59,-1.1,-6.7,+.023,-3.1,-6.5,-.029,+.010,+0.9,+4.6,-.188,-4.5,-3.9,-8.1,-3.5,-8.1,-3.5,-7.5,-3.6,-0.1,+2.1,+0.5,+0.5
5,A. Davis | T. Prince,LAL,78:52,+1.8,-3.6,+.042,-5.5,-10.9,-.066,+.012,+1.2,+4.2,-.103,-0.6,-1.8,-1.8,+3.6,-1.8,+0.9,+2.2,-4.8,+0.6,-0.6,-1.8,0.0
