,,,,Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss)
Rk,Lineup,Tm,MP,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
1,A. Davis | L. James | A. Reaves,LAL,149:44,+1.8,-2.8,+.033,-1.8,-1.8,-.040,+.025,-1.1,+1.0,-.105,+0.6,-4.5,-10.0,-4.6,-10.0,-4.4,-9.6,-1.2,+1.9,+3.3,-3.2,+1.0
2,A. Davis | L. James | D. Russell,LAL,133:45,+2.4,-7.6,+.066,-1.9,-3.3,-.027,+.060,+4.2,+8.4,-.186,+7.2,-5.3,-10.7,-2.8,-10.7,-4.0,-8.9,-2.5,+1.5,+4.1,-3.0,-1.3
3,A. Davis | R. Hachimura | A. Reaves,LAL,127:20,0.0,-4.9,+.025,-3.0,-3.9,-.052,+.012,+0.2,+3.0,-.158,-2.9,-3.9,-8.3,-3.8,-8.3,-3.6,-7.8,-2.7,-0.1,+2.8,-0.2,+0.6
4,A. Davis | R. Hachimura | L. James,LAL,121:47,-0.5,-5.1,+.022,-1.4,-2.5,-.017,+.017,-1.0,+2.5,-.205,-3.4,-4.8,-11.1,-6.4,-11.1,-5.3,-11.3,-2.6,+0.7,+2.4,-0.6,+0.8
5,A. Davis | A. Reaves | D. Russell,LAL,120:36,+3.8,-8.5,+.083,-1.6,-1.4,-.036,+.079,+4.8,+8.6,-.164,+10.7,-6.3,-10.9,-0.3,-10.9,-3.2,-6.9,-1.0,+1.2,+4.6,-3.3,-1.3
