,,,,Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss)
Rk,Lineup,Tm,MP,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
1,A. Davis | A. Reaves,LAL,1995:14,-1.1,-6.4,+.022,-3.6,-7.4,-.023,+.008,+5.9,+7.7,-.011,+0.1,-2.3,-3.6,+1.2,-3.6,-0.6,-1.3,+0.2,-1.1,+1.6,+0.3,-2.9
2,A. Davis | D. Russell,LAL,1786:08,+0.7,-5.2,+.036,-2.3,-5.5,-.006,+.027,+3.3,+4.3,-.009,+2.4,-2.8,-4.0,+2.1,-4.0,-0.5,-1.1,+1.9,-0.6,+1.6,0.0,-2.0
3,A. Davis | L. James,LAL,1726:29,+0.6,-6.1,+.040,-3.5,-8.1,-.012,+.026,+6.1,+7.6,-.002,+3.8,-2.7,-3.4,+2.9,-3.4,+0.1,+0.2,+1.6,-0.7,+1.7,+0.3,-3.2
4,A. Davis | T. Prince,LAL,1505:23,-1.2,-4.6,+.011,-3.3,-6.6,-.023,-.004,+5.5,+6.6,+.011,-0.3,-2.2,-3.8,+0.2,-3.8,-1.0,-2.3,+0.4,+0.2,+0.6,-0.5,-2.3
5,A. Davis | R. Hachimura,LAL,1191:34,+0.8,-5.3,+.038,-3.7,-8.2,-.018,+.022,+5.2,+6.8,-.010,+3.2,-2.3,-3.2,+2.1,-3.2,-0.1,-0.3,+2.2,-0.9,+1.2,-0.4,-2.8
6,A. Davis | C. Reddish,LAL,723:39,-1.5,-3.8,+.004,-3.9,-5.8,-.052,-.015,+3.6,+4.2,+.014,-3.3,-1.1,-2.0,0.0,-2.0,-0.5,-1.2,-0.7,-0.1,+0.7,0.0,-1.1
7,M. Christie | A. Davis,LAL,475:02,+1.3,-9.3,+.066,-1.6,-6.1,+.023,+.065,+8.9,+11.3,-.013,+9.8,-1.9,-1.1,+6.1,-1.1,+2.2,+5.1,+0.4,-1.7,+2.3,+1.0,-3.4
8,A. Davis | S. Dinwiddie,LAL,447:43,0.0,-9.9,+.054,0.0,-4.4,+.048,+.062,+10.9,+13.2,+.013,+10.8,-2.4,-2.4,+4.5,-2.4,+1.0,+2.4,-0.8,-1.7,+1.6,+0.5,-3.7
9,A. Davis | C. Wood,LAL,360:36,+0.6,-9.2,+.056,-5.6,-9.3,-.064,+.032,+7.8,+9.0,+.018,+3.3,-1.5,+0.2,+5.8,+0.2,+2.3,+5.5,-0.3,-1.4,+2.7,+2.0,-2.3
10,A. Davis | J. Vanderbilt,LAL,353:34,+2.1,+1.2,+.018,-2.0,-6.5,+.018,+.006,+2.9,+4.4,-.032,+5.2,+1.4,+4.0,+2.2,+4.0,+1.8,+4.6,+2.1,+0.8,-0.1,-2.0,-2.3
