Unnamed: 0_level_0,Unnamed: 1_level_0,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Unnamed: 19_level_0,Shooting,Shooting,Shooting,Unnamed: 23_level_0,Advanced,Advanced,Advanced,Advanced,Advanced,Unnamed: 29_level_0,Per Game,Per Game,Per Game,Per Game
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 19_level_1,FG%,3P%,FT%,Unnamed: 23_level_1,TS%,USG%,ORtg,DRtg,+/-,Unnamed: 29_level_1,MP,PTS,TRB,AST
,Total,56,56,1850,530,1026,48,145,344,433,174,672,218,88,135,112,132,1452,,.517,.331,.794,,.597,29.5,122,105,+3.3,,33.0,25.9,12.0,3.9
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Place,Home,27,27,872,260,494,19,61,184,228,86,305,102,45,69,49,56,723,,.526,.311,.807,,.608,30.2,127,104,+8.0,,32.3,26.8,11.3,3.8
,Road,29,29,978,270,532,29,84,160,205,88,367,116,43,66,63,76,729,,.508,.345,.780,,.586,29.0,118,106,-0.8,,33.7,25.1,12.7,4.0
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
All-Star,Pre,45,45,1618,451,888,41,127,323,399,142,580,189,73,114,88,116,1266,,.508,.323,.810,,.595,29.4,124,105,+4.5,,36.0,28.1,12.9,4.2
,Post,11,11,232,79,138,7,18,21,34,32,92,29,15,21,24,16,186,,.572,.389,.618,,.608,30.4,114,103,-4.5,,21.1,16.9,8.4,2.6
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Result,Win,25,25,826,264,477,22,56,181,220,86,307,117,42,65,50,63,731,,.553,.393,.823,,.637,30.7,133,101,+17.2,,33.0,29.2,12.3,4.7
,Loss,31,31,1024,266,549,26,89,163,213,88,365,101,46,70,62,69,721,,.485,.292,.765,,.561,28.6,113,108,-7.9,,33.0,23.3,11.8,3.3
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Month,October,5,5,185,44,89,5,11,33,46,18,65,26,10,16,8,16,126,,.494,.455,.717,,.577,25.3,127,105,+14.8,,37.0,25.2,13.0,5.2
,November,14,14,527,139,282,11,36,113,135,49,176,62,19,36,37,33,402,,.493,.306,.837,,.589,29.2,122,104,+6.1,,37.7,28.7,12.6,4.4
,December,14,14,513,158,302,16,52,82,103,42,187,59,28,35,25,34,414,,.523,.308,.796,,.596,30.5,123,105,-1.5,,36.6,29.6,13.4,4.2
,January,8,8,295,89,173,8,24,75,89,29,117,32,13,18,12,24,261,,.514,.333,.843,,.615,32.0,130,110,+3.8,,36.8,32.6,14.6,4.0
,February,7,7,160,45,81,1,6,27,40,15,56,18,6,13,12,13,118,,.556,.167,.675,,.598,27.9,114,106,+6.3,,22.8,16.9,8.0,2.6
,March,8,8,171,55,99,7,16,14,20,21,71,21,12,17,18,12,131,,.556,.438,.700,,.608,29.8,113,101,-7.2,,21.4,16.4,8.9,2.6
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Day,Sunday,6,6,184,45,89,8,18,24,28,17,75,28,9,19,12,9,122,,.506,.444,.857,,.602,26.6,122,102,+3.9,,30.6,20.3,12.5,4.7
,Monday,11,11,362,119,226,5,21,57,68,38,125,40,23,22,26,24,300,,.527,.238,.838,,.586,32.6,118,107,+1.0,,32.9,27.3,11.4,3.6
,Tuesday,3,3,86,21,46,3,7,13,21,11,31,4,1,10,2,6,58,,.457,.429,.619,,.525,26.6,111,106,-5.9,,28.5,19.3,10.3,1.3
,Wednesday,15,15,532,154,310,19,50,93,116,49,206,72,24,41,34,40,420,,.497,.380,.802,,.582,29.9,121,105,+2.8,,35.5,28.0,13.7,4.8
,Thursday,1,1,16,5,10,1,2,3,4,0,4,2,1,1,2,1,14,,.500,.500,.750,,.595,35.8,108,109,+26.3,,15.9,14.0,4.0,2.0
,Friday,12,12,397,132,228,8,30,82,111,39,140,43,15,27,23,30,354,,.579,.267,.739,,.639,30.5,130,108,+2.7,,33.1,29.5,11.7,3.6
,Saturday,8,8,273,54,117,4,17,72,85,20,91,29,15,15,13,22,184,,.462,.235,.847,,.596,25.9,127,101,+9.6,,34.2,23.0,11.4,3.6
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Role,Starter,56,56,1850,530,1026,48,145,344,433,174,672,218,88,135,112,132,1452,,.517,.331,.794,,.597,29.5,122,105,+3.3,,33.0,25.9,12.0,3.9
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Minutes,40+,9,9,371,104,206,11,33,69,91,36,139,39,14,28,16,23,288,,.505,.333,.758,,.585,28.5,125,109,+2.8,,41.2,32.0,15.4,4.3
,30-39,29,29,1072,304,599,24,77,219,259,95,382,130,50,67,59,81,851,,.508,.312,.846,,.597,30.0,124,105,+3.5,,37.0,29.3,13.2,4.5
,20-29,16,16,372,111,200,12,31,50,73,39,140,43,22,38,33,27,284,,.555,.387,.685,,.612,29.1,116,102,+2.6,,23.2,17.8,8.8,2.7
,10-19,2,2,35,11,21,1,4,6,10,4,11,6,2,2,4,1,29,,.524,.250,.600,,.571,33.2,112,112,+11.0,,17.7,14.5,5.5,3.0
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Rest,0 Days,5,5,187,47,93,2,11,44,53,14,55,22,12,7,5,12,140,,.505,.182,.830,,.602,28.1,129,109,0.0,,37.4,28.0,11.0,4.4
,1 Day,30,30,1007,314,586,27,78,191,239,102,366,125,40,72,70,70,846,,.536,.346,.799,,.612,30.5,124,105,+3.9,,33.6,28.2,12.2,4.2
,2 Days,11,11,346,82,184,9,31,60,77,27,127,32,22,31,21,30,233,,.446,.290,.779,,.535,29.2,110,101,-0.9,,31.4,21.2,11.5,2.9
,3+ Days,10,10,310,87,163,10,25,49,64,31,124,39,14,25,16,20,233,,.534,.400,.766,,.609,27.8,127,108,+8.0,,31.0,23.3,12.4,3.9
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Conference,Eastern,22,22,724,206,394,25,67,123,162,75,279,91,38,61,48,45,560,,.523,.373,.759,,.602,29.2,122,103,+3.2,,32.9,25.5,12.7,4.1
,Western,34,34,1126,324,632,23,78,221,271,99,393,127,50,74,64,87,892,,.513,.295,.815,,.594,29.8,123,106,+3.4,,33.1,26.2,11.6,3.7
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Division,Atlantic,9,9,329,94,188,6,22,57,76,39,133,37,20,22,20,24,251,,.500,.273,.750,,.567,29.8,119,106,-0.9,,36.5,27.9,14.8,4.1
,Central,7,7,199,57,105,8,24,37,53,23,77,30,10,21,14,11,159,,.543,.333,.698,,.620,29.5,125,101,+5.8,,28.4,22.7,11.0,4.3
,Northwest,10,10,312,90,187,7,18,80,90,29,95,27,9,18,18,31,267,,.481,.389,.889,,.589,32.4,122,109,-0.7,,31.2,26.7,9.5,2.7
,Pacific,12,12,406,111,224,10,35,79,100,41,159,51,18,26,23,27,311,,.496,.286,.790,,.580,28.5,122,109,+5.3,,33.9,25.9,13.3,4.3
,Southeast,6,6,197,55,101,11,21,29,33,13,69,24,8,18,14,10,150,,.545,.524,.879,,.649,27.9,125,101,+7.3,,32.8,25.0,11.5,4.0
,Southwest,12,12,408,123,221,6,25,62,81,29,139,49,23,30,23,29,314,,.557,.240,.765,,.612,29.0,123,102,+4.8,,34.0,26.2,11.6,4.1
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Opponent,Atlanta,1,1,21,6,10,3,4,0,0,1,8,4,1,4,4,1,15,,.600,.750,,,.750,28.3,107,106,+4.3,,21.1,15.0,8.0,4.0
,Boston,2,2,75,25,53,0,4,18,21,7,23,7,7,3,5,3,68,,.472,.000,.857,,.546,39.2,111,110,-19.3,,37.5,34.0,11.5,3.5
,Brooklyn,2,2,80,18,44,3,9,13,17,9,40,7,5,8,2,7,52,,.409,.333,.765,,.505,28.0,118,106,+5.4,,39.9,26.0,20.0,3.5
,Chicago,1,1,37,13,24,2,4,4,7,2,15,7,1,4,4,2,32,,.542,.500,.571,,.591,34.6,109,86,+10.2,,37.1,32.0,15.0,7.0
,Charlotte,1,1,37,14,19,2,3,6,6,4,19,8,2,2,4,4,36,,.737,.667,1.000,,.832,29.1,148,96,+17.4,,37.3,36.0,19.0,8.0
,Cleveland,2,2,65,17,29,1,3,23,26,9,23,10,6,6,2,4,58,,.586,.333,.885,,.717,27.6,161,101,+22.1,,32.7,29.0,11.5,5.0
,Dallas,4,4,132,52,89,4,11,19,25,12,45,20,6,9,8,10,127,,.584,.364,.760,,.635,34.0,128,105,+1.4,,33.0,31.8,11.3,5.0
,Denver,1,1,38,10,20,0,1,20,21,4,8,8,0,1,0,4,40,,.500,.000,.952,,.684,32.9,159,118,+14.2,,37.7,40.0,8.0,8.0
,Detroit,1,1,26,2,7,0,2,2,4,2,9,4,0,5,1,1,6,,.286,.000,.500,,.342,16.9,97,100,+18.9,,25.9,6.0,9.0,4.0
,Golden State,2,2,82,17,42,2,8,11,13,6,30,14,1,4,4,5,47,,.405,.250,.846,,.492,25.0,111,123,-9.2,,41.1,23.5,15.0,7.0
