Unnamed: 0_level_0,Unnamed: 1_level_0,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Unnamed: 19_level_0,Shooting,Shooting,Shooting,Unnamed: 23_level_0,Advanced,Advanced,Advanced,Advanced,Advanced,Unnamed: 29_level_0,Per Game,Per Game,Per Game,Per Game
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 19_level_1,FG%,3P%,FT%,Unnamed: 23_level_1,TS%,USG%,ORtg,DRtg,+/-,Unnamed: 29_level_1,MP,PTS,TRB,AST
,Total,62,62,2131,551,1096,72,218,444,525,142,577,200,91,143,154,156,1618,,.503,.330,.846,,.610,29.5,120,102,+5.4,,34.4,26.1,9.3,3.2
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Place,Home,31,31,1075,289,560,35,101,234,272,82,304,99,45,84,86,78,847,,.516,.347,.860,,.623,30.0,122,101,+7.6,,34.7,27.3,9.8,3.2
,Road,31,31,1057,262,536,37,117,210,253,60,273,101,46,59,68,78,771,,.489,.316,.830,,.596,29.0,118,104,+3.1,,34.1,24.9,8.8,3.3
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
All-Star,Pre,46,46,1595,428,825,49,155,320,375,95,425,151,72,109,111,112,1225,,.519,.316,.853,,.619,29.5,122,102,+6.4,,34.7,26.6,9.2,3.3
,Post,16,16,536,123,271,23,63,124,150,47,152,49,19,34,43,44,393,,.454,.365,.827,,.583,29.8,115,103,+2.4,,33.5,24.6,9.5,3.1
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Result,Win,46,46,1573,418,826,56,162,357,418,104,432,147,74,106,110,108,1249,,.506,.346,.854,,.618,30.2,123,99,+11.9,,34.2,27.2,9.4,3.2
,Loss,16,16,558,133,270,16,56,87,107,38,145,53,17,37,44,48,369,,.493,.286,.813,,.582,27.5,112,112,-13.2,,34.9,23.1,9.1,3.3
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Month,October,4,4,133,32,74,3,11,48,54,13,50,12,4,12,11,12,115,,.432,.273,.889,,.588,34.8,120,91,+11.5,,33.2,28.8,12.5,3.0
,November,14,14,488,130,264,18,51,76,89,34,116,51,23,39,34,31,354,,.492,.353,.854,,.584,29.7,116,101,+8.2,,34.9,25.3,8.3,3.6
,December,13,13,468,135,256,12,53,96,115,27,122,40,18,27,30,37,378,,.527,.226,.835,,.616,30.7,123,105,+5.0,,36.0,29.1,9.4,3.1
,January,9,9,299,74,135,12,28,62,69,11,84,27,15,23,23,21,222,,.548,.429,.899,,.671,26.7,125,102,+1.3,,33.2,24.7,9.3,3.0
,February,11,11,363,94,184,11,30,76,98,30,108,36,16,27,29,23,275,,.511,.367,.776,,.605,29.5,120,101,+8.7,,33.0,25.0,9.8,3.3
,March,4,4,139,43,81,9,21,28,32,9,37,6,6,6,8,14,123,,.531,.429,.875,,.647,31.6,125,101,+15.6,,34.7,30.8,9.3,1.5
,July,1,1,35,8,19,2,5,16,17,2,8,4,0,0,4,4,34,,.421,.400,.941,,.642,36.1,124,105,-3.9,,35.5,34.0,8.0,4.0
,August,6,6,206,35,83,5,19,42,51,16,52,24,9,9,15,14,117,,.422,.263,.824,,.555,24.9,112,110,-9.5,,34.4,19.5,8.7,4.0
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Day,Sunday,12,12,426,125,241,13,42,77,89,27,115,36,16,37,44,34,340,,.519,.310,.865,,.607,32.3,114,101,+2.4,,35.5,28.3,9.6,3.0
,Monday,5,5,163,41,86,5,18,35,42,15,44,22,10,8,8,14,122,,.477,.278,.833,,.584,30.1,126,110,+4.6,,32.6,24.4,8.8,4.4
,Tuesday,11,11,379,90,191,14,34,76,92,36,112,32,17,22,22,26,270,,.471,.412,.826,,.583,28.3,121,100,+11.2,,34.5,24.5,10.2,2.9
