Unnamed: 0_level_0,Unnamed: 1_level_0,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Unnamed: 19_level_0,Shooting,Shooting,Shooting,Unnamed: 23_level_0,Advanced,Advanced,Advanced,Advanced,Advanced,Unnamed: 29_level_0,Per Game,Per Game,Per Game,Per Game
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 19_level_1,FG%,3P%,FT%,Unnamed: 23_level_1,TS%,USG%,ORtg,DRtg,+/-,Unnamed: 29_level_1,MP,PTS,TRB,AST
,Total,36,36,1162,301,613,26,100,158,214,62,286,110,45,59,74,60,786,,.491,.260,.738,,.556,29.3,111,104,+4.9,,32.3,21.8,7.9,3.1
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Place,Home,14,14,501,124,255,8,35,59,79,24,126,53,21,26,33,25,315,,.486,.229,.747,,.544,28.1,110,105,+6.7,,35.8,22.5,9.0,3.8
,Road,22,22,661,177,358,18,65,99,135,38,160,57,24,33,41,35,471,,.494,.277,.733,,.564,30.3,112,103,+3.5,,30.0,21.4,7.3,2.6
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
All-Star,Pre,23,23,755,204,383,17,58,93,130,47,193,70,31,41,45,42,518,,.533,.293,.715,,.588,27.9,117,103,+8.7,,32.8,22.5,8.4,3.0
,Post,13,13,407,97,230,9,42,65,84,15,93,40,14,18,29,18,268,,.422,.214,.774,,.502,31.9,102,107,-2.4,,31.3,20.6,7.2,3.1
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Result,Win,23,23,781,211,406,20,67,114,149,43,185,69,34,41,51,38,556,,.520,.299,.765,,.590,29.3,117,101,+14.0,,34.0,24.2,8.0,3.0
,Loss,13,13,381,90,207,6,33,44,65,19,101,41,11,18,23,22,230,,.435,.182,.677,,.488,29.4,100,111,-13.4,,29.3,17.7,7.8,3.2
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Month,December,4,4,131,33,60,3,9,10,13,3,33,15,3,2,10,7,79,,.550,.333,.769,,.601,24.8,113,112,+8.0,,32.7,19.8,8.3,3.8
,January,14,14,462,122,241,13,39,64,92,34,131,46,21,31,21,24,321,,.506,.333,.696,,.570,28.4,118,99,+8.9,,33.0,22.9,9.4,3.3
,February,5,5,163,49,82,1,10,19,25,10,29,9,7,8,14,11,118,,.598,.100,.760,,.634,29.3,115,106,+8.8,,32.5,23.6,5.8,1.8
,April,5,5,142,34,83,4,20,15,21,5,31,12,4,10,12,10,87,,.410,.200,.714,,.472,32.3,92,111,-15.7,,28.3,17.4,6.2,2.4
,May,8,8,265,63,147,5,22,50,63,10,62,28,10,8,17,8,181,,.429,.227,.794,,.518,31.6,107,105,+4.6,,33.1,22.6,7.8,3.5
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Day,Sunday,6,6,181,43,93,1,15,40,47,9,43,16,10,10,10,7,127,,.462,.067,.851,,.559,29.4,115,103,+15.3,,30.1,21.2,7.2,2.7
,Monday,6,6,211,44,94,2,12,25,33,11,54,22,7,14,21,13,115,,.468,.167,.758,,.530,27.7,101,105,+5.3,,35.1,19.2,9.0,3.7
,Tuesday,4,4,138,33,66,5,14,13,15,2,33,12,4,8,11,4,84,,.500,.357,.867,,.579,26.7,106,97,+8.6,,34.4,21.0,8.3,3.0
,Wednesday,4,4,122,36,66,2,11,13,20,6,28,8,3,6,6,10,87,,.545,.182,.650,,.582,28.6,114,107,+6.5,,30.5,21.8,7.0,2.0
,Thursday,5,5,131,28,62,1,7,5,15,5,33,12,6,8,8,9,62,,.452,.143,.333,,.452,26.0,92,105,-5.9,,26.2,12.4,6.6,2.4
,Friday,6,6,207,65,127,10,23,32,46,16,57,24,8,10,11,11,172,,.512,.435,.696,,.584,31.8,122,104,+4.0,,34.4,28.7,9.5,4.0
,Saturday,5,5,173,52,105,5,18,30,38,13,38,16,7,3,7,6,139,,.495,.278,.789,,.571,33.2,118,107,-1.7,,34.6,27.8,7.6,3.2
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Role,Starter,36,36,1162,301,613,26,100,158,214,62,286,110,45,59,74,60,786,,.491,.260,.738,,.556,29.3,111,104,+4.9,,32.3,21.8,7.9,3.1
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Minutes,40+,3,3,129,34,72,2,9,22,26,5,23,12,5,5,9,5,92,,.472,.222,.846,,.551,32.2,113,108,+17.1,,42.9,30.7,7.7,4.0
,30-39,25,25,853,215,438,21,76,102,148,46,224,86,37,44,59,45,553,,.491,.276,.689,,.550,28.7,109,103,+2.6,,34.1,22.1,9.0,3.4
,20-29,5,5,140,43,73,3,12,29,33,9,30,10,2,9,4,8,118,,.589,.250,.879,,.674,28.3,134,101,+17.5,,28.0,23.6,6.0,2.0
,10-19,2,2,31,7,21,0,2,5,7,2,8,2,1,1,1,1,19,,.333,.000,.714,,.395,34.9,88,117,-24.0,,15.5,9.5,4.0,1.0
,0-9,1,1,9,2,9,0,1,0,0,0,1,0,0,0,1,1,4,,.222,.000,,,.222,47.7,42,126,-51.3,,9.2,4.0,1.0,0.0
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Rest,0 Days,4,4,127,34,67,3,9,22,30,7,31,8,1,4,8,2,93,,.507,.333,.733,,.580,30.4,113,102,+7.6,,31.8,23.3,7.8,2.0
,1 Day,20,20,665,175,358,18,69,93,122,33,153,65,28,43,42,38,461,,.489,.261,.762,,.560,30.0,111,103,+3.7,,33.3,23.1,7.7,3.3
,2 Days,8,8,251,57,118,4,12,29,44,17,72,28,11,10,15,17,147,,.483,.333,.659,,.535,26.4,111,105,+12.0,,31.4,18.4,9.0,3.5
