Unnamed: 0_level_0,Unnamed: 1_level_0,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Unnamed: 19_level_0,Shooting,Shooting,Shooting,Unnamed: 23_level_0,Advanced,Advanced,Advanced,Advanced,Advanced,Unnamed: 29_level_0,Per Game,Per Game,Per Game,Per Game
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Month,October,6,6,202,58,106,7,17,43,53,22,75,12,7,12,14,13,166,,.547,.412,.811,,.642,30.1,126,105,+1.4,,33.7,27.7,12.5,2.0
,November,14,14,499,126,217,7,22,86,109,27,145,42,16,23,30,26,345,,.581,.318,.789,,.651,26.0,124,103,+6.3,,35.6,24.6,10.4,3.0
,December,11,11,392,107,194,8,21,68,82,24,97,19,10,31,20,19,290,,.552,.381,.829,,.630,28.7,121,110,+6.6,,35.7,26.4,8.8,1.7
,January,13,13,508,131,254,6,21,93,109,36,151,41,18,30,24,31,361,,.516,.286,.853,,.598,28.2,120,104,-1.2,,39.1,27.8,11.6,3.2
,February,11,11,416,144,284,13,38,84,101,37,143,17,27,24,28,25,385,,.507,.342,.832,,.586,35.1,114,101,+3.5,,37.8,35.0,13.0,1.5
,March,14,14,493,155,290,11,35,72,80,25,154,28,23,52,32,31,393,,.534,.314,.900,,.604,31.4,114,99,+4.5,,35.2,28.1,11.0,2.0
,April,6,6,216,59,117,3,8,49,64,16,67,15,14,21,14,14,170,,.504,.375,.766,,.586,31.4,116,94,+21.7,,36.0,28.3,11.2,2.5
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Day,Sunday,9,9,362,97,192,5,25,64,80,24,118,24,22,30,25,24,263,,.505,.200,.800,,.579,30.0,113,101,+2.1,,40.2,29.2,13.1,2.7
,Monday,9,9,339,100,174,4,15,82,100,23,99,27,9,26,25,20,286,,.575,.267,.820,,.656,30.3,123,104,+9.6,,37.6,31.8,11.0,3.0
,Tuesday,9,9,314,108,193,13,27,60,70,25,102,23,11,28,21,14,289,,.560,.481,.857,,.646,33.2,123,103,+3.0,,34.9,32.1,11.3,2.6
,Wednesday,16,16,549,140,264,13,22,106,124,45,173,35,28,37,36,39,399,,.530,.591,.855,,.626,28.2,122,99,+15.3,,34.3,24.9,10.8,2.2
,Thursday,3,3,111,26,53,1,8,19,21,6,30,5,5,6,6,11,72,,.491,.125,.905,,.578,26.7,113,108,+2.1,,36.9,24.0,10.0,1.7
,Friday,16,16,562,172,321,10,37,83,103,31,160,34,23,30,28,28,437,,.536,.270,.806,,.596,30.2,115,104,+1.0,,35.1,27.3,10.0,2.1
,Saturday,13,13,491,137,265,9,28,81,100,33,150,26,17,36,21,23,364,,.517,.321,.810,,.589,29.7,118,102,-0.6,,37.8,28.0,11.5,2.0
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Role,Starter,75,75,2727,780,1462,55,162,495,598,187,832,174,115,193,162,159,2110,,.534,.340,.828,,.612,29.9,119,102,+5.1,,36.4,28.1,11.1,2.3
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Minutes,40+,21,21,892,260,488,19,60,170,210,71,277,58,40,56,60,53,709,,.533,.317,.810,,.611,30.7,119,103,+0.7,,42.5,33.8,13.2,2.8
,30-39,47,47,1688,471,892,33,94,306,363,107,512,110,71,129,96,99,1281,,.528,.351,.843,,.609,29.5,118,102,+7.7,,35.9,27.3,10.9,2.3
,20-29,5,5,124,41,67,3,8,16,22,8,37,6,4,7,4,5,101,,.612,.375,.727,,.659,28.3,125,105,+2.7,,24.9,20.2,7.4,1.2
,10-19,1,1,18,7,13,0,0,3,3,1,5,0,0,0,2,2,17,,.538,,1.000,,.594,42.4,102,128,-2.7,,17.6,17.0,5.0,0.0
,0-9,1,1,5,1,2,0,0,0,0,0,1,0,0,1,0,0,2,,.500,,,,.500,17.9,92,95,-9.5,,5.0,2.0,1.0,0.0
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Rest,0 Days,13,13,478,144,269,9,29,97,121,34,147,25,20,42,22,23,394,,.535,.310,.802,,.611,31.6,121,99,+5.8,,36.8,30.3,11.3,1.9
,1 Day,40,40,1456,413,758,27,83,245,304,93,434,108,66,95,93,86,1098,,.545,.325,.806,,.616,28.9,118,103,+5.5,,36.4,27.5,10.9,2.7
,2 Days,10,10,372,101,182,8,18,68,81,20,115,22,11,25,26,24,278,,.555,.444,.840,,.639,28.7,119,102,+6.6,,37.2,27.8,11.5,2.2
,3+ Days,12,12,421,122,253,11,32,85,92,40,136,19,18,31,21,26,340,,.482,.344,.924,,.579,32.3,118,103,+1.1,,35.1,28.3,11.3,1.6
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Conference,Eastern,29,29,1095,312,583,27,76,185,225,77,316,62,45,79,51,66,836,,.535,.355,.822,,.613,29.0,121,101,+5.4,,37.7,28.8,10.9,2.1
,Western,46,46,1632,468,879,28,86,310,373,110,516,112,70,114,111,93,1274,,.532,.326,.831,,.611,30.4,117,103,+4.8,,35.5,27.7,11.2,2.4
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Division,Atlantic,10,10,385,116,233,12,34,71,92,29,109,17,20,28,18,23,315,,.498,.353,.772,,.576,32.8,115,103,+3.8,,38.5,31.5,10.9,1.7
,Central,10,10,376,113,193,12,25,54,61,26,117,20,9,25,17,26,292,,.585,.480,.885,,.664,27.5,129,100,+9.1,,37.6,29.2,11.7,2.0
,Northwest,16,16,552,156,303,6,27,88,105,34,157,35,25,38,43,28,406,,.515,.222,.838,,.581,30.7,109,106,-3.1,,34.5,25.4,9.8,2.2
,Pacific,16,16,569,175,311,16,38,121,148,43,191,49,29,46,32,25,487,,.563,.421,.818,,.647,30.4,126,102,+7.9,,35.5,30.4,11.9,3.1
,Southeast,9,9,333,83,157,3,17,60,72,22,90,25,16,26,16,17,229,,.529,.176,.833,,.607,26.4,122,101,+3.0,,37.0,25.4,10.0,2.8
,Southwest,14,14,511,137,265,6,21,101,120,33,168,28,16,30,36,40,381,,.517,.286,.842,,.599,30.3,115,101,+10.0,,36.5,27.2,12.0,2.0
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Opponent,Atlanta,2,2,76,7,15,0,1,7,11,3,17,10,3,6,5,4,21,,.467,.000,.636,,.529,15.6,107,103,+4.2,,37.8,10.5,8.5,5.0
,Boston,2,2,77,30,58,0,6,19,23,9,27,5,2,3,2,2,79,,.517,.000,.826,,.580,39.9,121,97,+16.1,,38.6,39.5,13.5,2.5
,Brooklyn,2,2,82,27,54,7,9,16,22,8,28,4,7,9,4,2,77,,.500,.778,.727,,.605,35.3,122,96,+27.1,,41.1,38.5,14.0,2.0
,Chicago,2,2,84,25,40,1,2,10,12,5,25,5,2,4,4,7,61,,.625,.500,.833,,.674,26.2,127,93,0.0,,42.1,30.5,12.5,2.5
,Charlotte,2,2,76,20,42,0,3,10,11,4,20,7,5,7,4,5,50,,.476,.000,.909,,.534,27.9,109,95,+8.0,,37.8,25.0,10.0,3.5
,Cleveland,2,2,73,17,41,2,6,10,10,5,22,5,2,5,1,7,46,,.415,.333,1.000,,.507,28.3,111,101,+2.7,,36.5,23.0,11.0,2.5
,Dallas,4,4,154,46,81,3,10,28,32,2,39,9,6,8,7,12,123,,.568,.300,.875,,.647,29.1,121,105,+16.4,,38.6,30.8,9.8,2.3
,Denver,2,2,65,19,33,0,2,7,9,3,17,3,2,5,3,0,45,,.576,.000,.778,,.609,27.8,115,115,-7.5,,32.5,22.5,8.5,1.5
,Detroit,2,2,63,26,38,4,7,12,13,3,20,2,1,3,2,2,68,,.684,.571,.923,,.778,30.4,147,100,+25.7,,31.7,34.0,10.0,1.0
,Golden State,3,3,119,40,67,3,7,16,23,12,42,11,5,7,7,4,99,,.597,.429,.696,,.642,30.2,124,111,-3.1,,39.6,33.0,14.0,3.7
,Houston,3,3,103,31,62,1,5,15,18,4,32,7,2,10,4,5,78,,.500,.200,.833,,.558,31.9,112,104,-12.6,,34.4,26.0,10.7,2.3
,Indiana,2,2,76,23,32,5,6,14,17,5,27,5,2,7,5,3,65,,.719,.833,.824,,.823,25.9,151,99,+9.0,,38.2,32.5,13.5,2.5
,LA Clippers,4,4,152,45,85,4,10,25,31,8,46,15,9,12,10,7,119,,.529,.400,.806,,.603,30.0,114,98,+6.3,,38.1,29.8,11.5,3.8
,LA Lakers,3,3,109,36,56,3,9,27,31,6,41,7,9,7,4,6,102,,.643,.333,.871,,.732,28.5,144,103,+18.6,,36.2,34.0,13.7,2.3
,Memphis,3,3,110,24,49,2,3,32,38,13,42,4,2,6,9,10,82,,.490,.667,.842,,.624,30.4,124,102,+12.7,,36.6,27.3,14.0,1.3
,Miami,2,2,73,22,45,2,7,16,19,5,23,5,6,9,3,3,62,,.489,.286,.842,,.581,33.0,120,93,+2.0,,36.4,31.0,11.5,2.5
,Milwaukee,2,2,79,22,42,0,4,8,9,8,23,3,2,6,5,7,52,,.524,.000,.889,,.566,27.3,113,107,+10.3,,39.7,26.0,11.5,1.5
,Minnesota,4,4,133,36,73,1,8,22,25,10,33,9,6,4,7,6,95,,.493,.125,.880,,.565,29.0,114,113,-11.2,,33.4,23.8,8.3,2.3
,New York,2,2,86,28,54,2,10,21,27,8,26,1,4,8,7,5,79,,.519,.200,.778,,.600,36.4,114,98,-1.6,,43.0,39.5,13.0,0.5
,Oklahoma City,3,3,122,34,70,3,7,33,41,4,36,6,6,5,16,12,104,,.486,.429,.805,,.591,36.3,102,96,+2.2,,40.7,34.7,12.0,2.0
,Orlando,2,2,72,23,34,0,3,13,16,5,21,2,1,4,2,4,59,,.676,.000,.813,,.719,25.6,141,105,+7.7,,36.1,29.5,10.5,1.0
,Philadelphia,2,2,68,17,38,1,4,8,12,1,16,4,2,5,3,7,43,,.447,.250,.667,,.497,29.5,98,110,-15.2,,34.0,21.5,8.0,2.0
,Phoenix,3,3,99,36,64,2,5,35,44,13,38,8,3,9,2,5,109,,.563,.400,.795,,.654,34.2,140,94,+26.2,,32.9,36.3,12.7,2.7
,Portland,3,3,85,32,49,0,1,10,10,8,24,6,2,9,6,5,74,,.653,.000,1.000,,.693,29.8,131,105,-0.6,,28.2,24.7,8.0,2.0
,Sacramento,3,3,90,18,39,4,7,18,19,4,24,8,3,11,9,3,58,,.462,.571,.947,,.612,29.3,109,103,-9.4,,30.0,19.3,8.0,2.7
,San Antonio,4,4,144,36,73,0,3,26,32,14,55,8,6,6,16,13,98,,.493,.000,.813,,.563,30.4,106,95,+17.3,,36.0,24.5,13.8,2.0
,Toronto,2,2,72,14,29,2,5,7,8,3,12,3,5,3,2,7,37,,.483,.400,.875,,.569,21.1,113,117,-10.4,,36.1,18.5,6.0,1.5
,Utah,4,4,147,35,78,2,9,16,20,9,47,11,9,15,11,5,88,,.449,.222,.800,,.507,29.3,99,107,0.0,,36.8,22.0,11.8,2.8
,Washington,1,1,37,11,21,1,3,14,15,5,9,1,1,0,2,1,37,,.524,.333,.933,,.670,34.2,136,116,-16.6,,36.6,37.0,9.0,1.0
