Unnamed: 0_level_0,Unnamed: 1_level_0,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Unnamed: 19_level_0,Shooting,Shooting,Shooting,Unnamed: 23_level_0,Advanced,Advanced,Advanced,Advanced,Advanced,Unnamed: 29_level_0,Per Game,Per Game,Per Game,Per Game
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 19_level_1,FG%,3P%,FT%,Unnamed: 23_level_1,TS%,USG%,ORtg,DRtg,+/-,Unnamed: 29_level_1,MP,PTS,TRB,AST
,Total,75,75,2727,780,1462,55,162,495,598,187,832,174,115,193,162,159,2110,,.534,.340,.828,,.612,29.9,119,102,+5.1,,36.4,28.1,11.1,2.3
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Place,Home,38,38,1398,405,721,23,70,279,335,91,427,109,54,111,89,89,1112,,.562,.329,.833,,.640,29.6,123,104,+6.3,,36.8,29.3,11.2,2.9
,Road,37,37,1329,375,741,32,92,216,263,96,405,65,61,82,73,70,998,,.506,.348,.821,,.582,30.2,114,101,+3.8,,35.9,27.0,10.9,1.8
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
All-Star,Pre,51,51,1858,512,947,40,109,332,405,124,548,124,68,108,106,103,1396,,.541,.367,.820,,.620,28.9,120,105,+3.3,,36.4,27.4,10.7,2.4
,Post,24,24,869,268,515,15,53,163,193,63,284,50,47,85,56,56,714,,.520,.283,.845,,.595,32.1,116,98,+8.8,,36.2,29.8,11.8,2.1
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Result,Win,45,45,1679,518,929,42,103,319,387,119,537,109,77,128,95,102,1397,,.558,.408,.824,,.635,30.5,124,98,+15.1,,37.3,31.0,11.9,2.4
,Loss,30,30,1048,262,533,13,59,176,211,68,295,65,38,65,67,57,713,,.492,.220,.834,,.570,28.8,110,109,-11.2,,34.9,23.8,9.8,2.2
