Unnamed: 0_level_0,Unnamed: 1_level_0,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Unnamed: 19_level_0,Shooting,Shooting,Shooting,Unnamed: 23_level_0,Advanced,Advanced,Advanced,Advanced,Advanced,Unnamed: 29_level_0,Per Game,Per Game,Per Game,Per Game
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 19_level_1,FG%,3P%,FT%,Unnamed: 23_level_1,TS%,USG%,ORtg,DRtg,+/-,Unnamed: 29_level_1,MP,PTS,TRB,AST
,Total,75,75,2708,770,1526,40,134,519,647,172,884,157,94,167,181,168,2099,,.505,.299,.802,,.580,32.7,112,102,+0.9,,36.1,28.0,11.8,2.1
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Place,Home,40,40,1444,400,790,21,77,296,360,92,493,89,57,93,105,92,1117,,.506,.273,.822,,.589,32.2,113,100,+4.9,,36.1,27.9,12.3,2.2
,Road,35,35,1264,370,736,19,57,223,287,80,391,68,37,74,76,76,982,,.503,.333,.777,,.569,33.3,110,103,-3.7,,36.1,28.1,11.2,1.9
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
All-Star,Pre,53,53,1927,538,1068,26,85,367,458,118,631,117,65,131,139,125,1469,,.504,.306,.801,,.579,32.7,110,101,-1.3,,36.4,27.7,11.9,2.2
,Post,22,22,781,232,458,14,49,152,189,54,253,40,29,36,42,43,630,,.507,.286,.804,,.582,32.8,115,103,+6.3,,35.5,28.6,11.5,1.8
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Result,Win,31,31,1127,326,620,20,60,208,254,80,409,69,36,71,80,71,880,,.526,.333,.819,,.601,32.1,115,95,+16.9,,36.3,28.4,13.2,2.2
,Loss,44,44,1581,444,906,20,74,311,393,92,475,88,58,96,101,97,1219,,.490,.270,.791,,.565,33.1,109,106,-10.5,,35.9,27.7,10.8,2.0
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Month,October,3,3,113,40,80,1,4,32,39,7,37,8,7,9,5,7,113,,.500,.250,.821,,.582,37.9,115,97,-9.4,,37.6,37.7,12.3,2.7
,November,15,15,562,163,311,11,39,128,157,26,165,31,25,41,37,31,465,,.524,.282,.815,,.612,33.6,116,100,+1.2,,37.5,31.0,11.0,2.1
,December,15,15,552,140,301,7,24,97,126,36,182,32,15,35,43,40,384,,.465,.292,.770,,.539,32.3,104,101,-2.4,,36.8,25.6,12.1,2.1
,January,12,12,394,111,220,3,8,64,82,36,167,30,10,21,31,26,289,,.505,.375,.780,,.564,32.6,109,102,+1.5,,32.8,24.1,13.9,2.5
,February,11,11,411,124,239,7,19,69,85,22,110,21,12,29,29,29,324,,.519,.368,.812,,.586,33.2,110,106,-7.6,,37.3,29.5,10.0,1.9
,March,16,16,572,155,298,8,28,110,136,39,201,33,20,27,32,28,428,,.520,.286,.809,,.598,30.3,118,98,+11.9,,35.7,26.8,12.6,2.1
,April,3,3,105,37,77,3,12,19,22,6,22,2,5,5,4,7,96,,.481,.250,.864,,.554,36.8,110,121,+0.5,,34.9,32.0,7.3,0.7
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Day,Sunday,11,11,410,117,234,6,21,85,100,28,122,30,15,16,36,30,325,,.500,.286,.850,,.585,33.7,110,104,-2.6,,37.3,29.5,11.1,2.7
,Monday,11,11,411,105,218,6,18,88,105,26,146,20,12,26,31,23,304,,.482,.333,.838,,.575,32.9,110,99,+2.8,,37.3,27.6,13.3,1.8
,Tuesday,10,10,356,101,208,4,20,69,81,28,115,17,16,29,16,21,275,,.486,.200,.852,,.564,32.4,115,97,+11.1,,35.6,27.5,11.5,1.7
,Wednesday,14,14,467,127,257,4,20,88,110,20,137,29,22,30,33,34,346,,.494,.200,.800,,.566,32.8,107,101,-0.8,,33.4,24.7,9.8,2.1
,Thursday,5,5,191,45,109,2,7,48,59,15,61,8,6,13,15,13,140,,.413,.286,.814,,.519,33.6,103,101,-5.4,,38.2,28.0,12.2,1.6
,Friday,16,16,563,167,306,10,31,93,125,37,199,40,19,35,37,36,437,,.546,.323,.744,,.605,30.8,116,102,+2.5,,35.2,27.3,12.4,2.5
,Saturday,8,8,309,108,194,8,17,48,67,18,104,13,4,18,13,11,272,,.557,.471,.716,,.609,34.5,118,107,-4.9,,38.7,34.0,13.0,1.6
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Role,Starter,75,75,2708,770,1526,40,134,519,647,172,884,157,94,167,181,168,2099,,.505,.299,.802,,.580,32.7,112,102,+0.9,,36.1,28.0,11.8,2.1
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Minutes,40+,24,24,1003,266,553,17,57,197,233,56,310,53,36,66,51,61,746,,.481,.298,.845,,.569,31.6,112,101,-1.0,,41.8,31.1,12.9,2.2
,30-39,39,39,1411,413,794,21,68,277,353,97,477,80,53,86,113,85,1124,,.520,.309,.785,,.592,33.4,112,101,+1.6,,36.2,28.8,12.2,2.1
,20-29,9,9,242,81,155,2,8,37,49,17,85,22,4,11,12,18,201,,.523,.250,.755,,.569,34.2,114,105,+4.4,,26.9,22.3,9.4,2.4
,10-19,3,3,52,10,24,0,1,8,12,2,12,2,1,4,5,4,28,,.417,.000,.667,,.478,30.1,87,100,+4.0,,17.3,9.3,4.0,0.7
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Rest,0 Days,14,14,518,150,299,11,33,91,113,22,147,26,20,34,36,34,402,,.502,.333,.805,,.576,33.7,108,102,-4.4,,37.0,28.7,10.5,1.9
,1 Day,41,41,1488,424,821,22,68,279,355,98,495,83,48,95,101,90,1149,,.516,.324,.786,,.588,31.9,113,101,+3.4,,36.3,28.0,12.1,2.0
,2 Days,15,15,536,141,298,5,24,100,120,45,190,34,16,24,31,31,387,,.473,.208,.833,,.552,32.1,111,103,+2.3,,35.7,25.8,12.7,2.3
,3+ Days,5,5,166,55,108,2,9,49,59,7,52,14,10,14,13,13,161,,.509,.222,.831,,.601,38.7,112,100,-8.8,,33.2,32.2,10.4,2.8
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Conference,Eastern,27,27,961,271,545,14,39,192,237,71,361,56,32,59,66,56,748,,.497,.359,.810,,.576,33.2,112,100,+3.4,,35.6,27.7,13.4,2.1
,Western,48,48,1747,499,981,26,95,327,410,101,523,101,62,108,115,112,1351,,.509,.274,.798,,.582,32.5,112,102,-0.4,,36.4,28.1,10.9,2.1
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Division,Atlantic,9,9,301,80,173,2,8,66,82,20,125,18,8,16,22,17,228,,.462,.250,.805,,.545,34.1,108,100,+2.7,,33.5,25.3,13.9,2.0
,Central,9,9,338,93,189,3,14,77,89,21,108,18,12,24,23,20,266,,.492,.214,.865,,.583,33.2,112,99,+4.2,,37.5,29.6,12.0,2.0
,Northwest,17,17,589,199,374,16,41,117,143,35,188,40,23,39,36,39,531,,.532,.390,.818,,.608,35.4,116,103,+3.4,,34.6,31.2,11.1,2.4
,Pacific,15,15,571,156,301,6,27,114,145,32,152,34,23,42,34,35,432,,.518,.222,.786,,.592,30.4,115,103,+2.1,,38.1,28.8,10.1,2.3
,Southeast,9,9,322,98,183,9,17,49,66,30,128,20,12,19,21,19,254,,.536,.529,.742,,.599,32.2,116,100,+3.3,,35.8,28.2,14.2,2.2
,Southwest,16,16,587,144,306,4,27,96,122,34,183,27,16,27,45,38,388,,.471,.148,.787,,.539,31.5,102,102,-7.2,,36.7,24.3,11.4,1.7
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Opponent,Atlanta,2,2,55,13,32,0,1,7,9,9,21,4,3,3,5,6,33,,.406,.000,.778,,.459,32.6,96,94,+11.0,,27.7,16.5,10.5,2.0
,Boston,2,2,76,21,43,1,2,18,22,4,32,2,4,4,10,2,61,,.488,.500,.818,,.579,36.2,101,103,-3.8,,38.2,30.5,16.0,1.0
,Brooklyn,1,1,27,10,17,0,1,2,3,2,9,4,1,2,2,4,22,,.588,.000,.667,,.600,29.1,120,132,-19.1,,27.0,22.0,9.0,4.0
,Chicago,2,2,79,22,42,1,4,21,24,5,25,4,4,4,6,5,66,,.524,.250,.875,,.628,33.4,116,105,-4.3,,39.6,33.0,12.5,2.0
,Charlotte,2,2,88,33,58,6,10,12,16,6,37,5,1,4,2,4,84,,.569,.600,.750,,.646,34.4,129,105,+8.4,,43.8,42.0,18.5,2.5
,Cleveland,1,1,40,10,27,0,1,0,2,6,16,2,1,3,3,2,20,,.370,.000,.000,,.359,34.8,73,89,+3.7,,40.4,20.0,16.0,2.0
,Dallas,4,4,152,48,92,1,7,36,45,15,57,9,4,6,11,10,133,,.522,.143,.800,,.595,38.3,118,108,-4.6,,38.0,33.3,14.3,2.3
,Denver,4,4,134,58,109,3,12,28,32,6,39,8,7,9,7,12,147,,.532,.250,.875,,.597,40.7,115,105,+8.2,,33.6,36.8,9.8,2.0
,Detroit,2,2,77,24,41,0,3,16,17,3,26,5,2,5,7,5,64,,.585,.000,.941,,.660,33.8,119,99,+9.9,,38.6,32.0,13.0,2.5
,Golden State,3,3,111,38,63,3,5,27,35,7,38,7,4,7,10,5,106,,.603,.600,.771,,.676,33.2,124,109,-7.0,,37.1,35.3,12.7,2.3
,Houston,4,4,134,41,80,0,5,23,30,8,45,8,6,6,9,7,105,,.513,.000,.767,,.563,32.0,109,110,-15.2,,33.6,26.3,11.3,2.0
,Indiana,2,2,63,17,34,2,3,15,20,1,18,3,0,5,4,3,51,,.500,.667,.750,,.596,32.4,113,94,+6.3,,31.3,25.5,9.0,1.5
,LA Clippers,2,2,69,16,33,0,2,9,14,3,10,5,5,2,2,6,41,,.485,.000,.643,,.523,27.5,108,110,-2.2,,34.6,20.5,5.0,2.5
