Unnamed: 0_level_0,Unnamed: 1_level_0,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Unnamed: 19_level_0,Shooting,Shooting,Shooting,Unnamed: 23_level_0,Advanced,Advanced,Advanced,Advanced,Advanced,Unnamed: 29_level_0,Per Game,Per Game,Per Game,Per Game
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 19_level_1,FG%,3P%,FT%,Unnamed: 23_level_1,TS%,USG%,ORtg,DRtg,+/-,Unnamed: 29_level_1,MP,PTS,TRB,AST
,Total,67,66,2358,522,1005,2,9,348,440,207,673,105,89,189,109,200,1394,,.519,.222,.791,,.582,25.4,119,105,-2.5,,35.2,20.8,10.0,1.6
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Place,Home,33,33,1221,277,521,1,7,198,249,108,366,60,44,123,67,105,753,,.532,.143,.795,,.597,26.1,120,101,+1.2,,37.0,22.8,11.1,1.8
,Road,34,33,1137,245,484,1,2,150,191,99,307,45,45,66,42,95,641,,.506,.500,.785,,.564,24.6,117,108,-6.5,,33.4,18.9,9.0,1.3
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
All-Star,Pre,44,43,1573,343,657,1,4,215,283,156,445,61,70,135,79,144,902,,.522,.250,.760,,.577,24.9,117,103,-0.9,,35.7,20.5,10.1,1.4
,Post,23,23,785,179,348,1,5,133,157,51,228,44,19,54,30,56,492,,.514,.200,.847,,.590,26.3,122,108,-5.7,,34.1,21.4,9.9,1.9
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Result,Win,29,29,1049,245,449,0,3,169,211,95,302,60,44,105,45,74,659,,.546,.000,.801,,.608,25.7,126,99,+10.9,,36.2,22.7,10.4,2.1
,Loss,38,37,1309,277,556,2,6,179,229,112,371,45,45,84,64,126,735,,.498,.333,.782,,.560,25.1,113,110,-13.3,,34.4,19.3,9.8,1.2
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Month,October,1,1,38,8,20,0,0,4,4,7,12,0,1,3,4,4,20,,.400,,1.000,,.460,30.0,94,101,-2.6,,37.7,20.0,12.0,0.0
,November,14,14,489,102,199,0,0,70,84,52,147,25,25,55,17,45,274,,.513,,.833,,.581,22.8,123,99,+4.5,,34.9,19.6,10.5,1.8
,December,7,6,228,54,97,0,0,27,40,27,71,4,6,12,10,21,135,,.557,,.675,,.589,24.1,121,108,+1.1,,32.5,19.3,10.1,0.6
,January,15,15,565,121,233,1,4,81,111,55,154,22,25,51,33,48,324,,.519,.250,.730,,.575,26.0,114,106,-5.2,,37.7,21.6,10.3,1.5
,February,13,13,452,107,196,0,1,57,70,27,124,21,19,28,22,41,271,,.546,.000,.814,,.597,26.0,118,105,-7.5,,34.7,20.8,9.5,1.6
