Unnamed: 0_level_0,Unnamed: 1_level_0,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Unnamed: 19_level_0,Shooting,Shooting,Shooting,Unnamed: 23_level_0,Advanced,Advanced,Advanced,Advanced,Advanced,Unnamed: 29_level_0,Per Game,Per Game,Per Game,Per Game
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 19_level_1,FG%,3P%,FT%,Unnamed: 23_level_1,TS%,USG%,ORtg,DRtg,+/-,Unnamed: 29_level_1,MP,PTS,TRB,AST
,Total,64,60,1846,349,676,0,6,169,225,165,522,63,75,112,89,158,867,,.516,.000,.751,,.559,21.9,113,105,-4.5,,28.8,13.5,8.2,1.0
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Place,Home,31,29,875,182,335,0,3,69,106,88,257,30,38,60,40,65,433,,.543,.000,.651,,.567,22.7,115,102,-1.8,,28.2,14.0,8.3,1.0
,Road,33,31,971,167,341,0,3,100,119,77,265,33,37,52,49,93,434,,.490,.000,.840,,.552,21.2,111,107,-6.9,,29.4,13.2,8.0,1.0
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
All-Star,Pre,40,36,1111,206,401,0,5,87,124,91,298,36,47,75,58,94,499,,.514,.000,.702,,.548,21.7,108,103,-5.5,,27.8,12.5,7.5,0.9
,Post,24,24,735,143,275,0,1,82,101,74,224,27,28,37,31,64,368,,.520,.000,.812,,.576,22.2,120,107,-3.0,,30.6,15.3,9.3,1.1
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Result,Win,23,23,596,120,221,0,3,42,64,55,170,25,28,44,30,41,282,,.543,.000,.656,,.566,22.0,114,95,+7.8,,25.9,12.3,7.4,1.1
,Loss,41,37,1250,229,455,0,3,127,161,110,352,38,47,68,59,117,585,,.503,.000,.789,,.556,21.8,112,109,-10.4,,30.5,14.3,8.6,0.9
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Month,October,1,1,29,6,12,0,0,9,9,3,7,0,1,1,0,0,21,,.500,,1.000,,.658,25.6,144,105,-35.1,,29.1,21.0,7.0,0.0
,November,5,5,141,29,58,0,2,17,22,17,43,5,5,12,9,11,75,,.500,.000,.773,,.554,25.5,111,110,-7.1,,28.1,15.0,8.6,1.0
,December,11,7,373,62,127,0,2,30,37,27,95,7,13,20,20,29,154,,.488,.000,.811,,.537,20.9,105,104,-6.7,,33.9,14.0,8.6,0.6
,January,16,16,397,78,132,0,0,22,40,31,106,14,20,26,19,36,178,,.591,,.550,,.595,19.6,113,102,-4.0,,24.8,11.1,6.6,0.9
,February,12,12,306,54,122,0,2,26,33,25,84,15,14,21,13,27,134,,.443,.000,.788,,.491,22.6,103,102,+2.8,,25.5,11.2,7.0,1.3
,March,14,14,438,91,165,0,0,42,60,47,139,17,14,23,23,38,224,,.552,,.700,,.585,23.2,119,108,-5.5,,31.3,16.0,9.9,1.2
,April,5,5,162,29,60,0,0,23,24,15,48,5,8,9,5,17,81,,.483,,.958,,.574,21.1,121,105,-4.1,,32.5,16.2,9.6,1.0
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Day,Sunday,9,8,272,52,98,0,0,28,36,24,68,12,12,12,14,19,132,,.531,,.778,,.580,21.7,118,105,-2.8,,30.2,14.7,7.6,1.3
,Monday,6,6,152,31,60,0,1,14,22,19,51,3,7,14,8,12,76,,.517,.000,.636,,.545,23.6,110,99,+5.4,,25.4,12.7,8.5,0.5
,Tuesday,9,8,272,48,89,0,0,27,33,22,86,10,21,19,9,25,123,,.539,,.818,,.594,19.3,121,100,-2.8,,30.2,13.7,9.6,1.1
,Wednesday,18,17,511,85,172,0,1,46,59,36,123,19,16,30,24,46,216,,.494,.000,.780,,.546,20.5,109,105,-6.8,,28.4,12.0,6.8,1.1
,Friday,15,14,426,89,172,0,3,34,46,40,129,10,16,28,22,37,212,,.517,.000,.739,,.551,23.7,111,106,-1.9,,28.4,14.1,8.6,0.7
,Saturday,7,7,213,44,85,0,1,20,29,24,65,9,3,9,12,19,108,,.518,.000,.690,,.552,24.0,111,112,-15.6,,30.5,15.4,9.3,1.3
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Role,Starter,60,60,1731,332,643,0,6,153,205,162,498,60,70,104,80,148,817,,.516,.000,.746,,.557,22.0,113,105,-4.4,,28.8,13.6,8.3,1.0
,Reserve,4,0,115,17,33,0,0,16,20,3,24,3,5,8,9,10,50,,.515,,.800,,.598,21.1,105,103,-6.3,,28.8,12.5,6.0,0.8
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Minutes,40+,1,1,42,7,15,0,1,2,3,3,5,0,0,1,1,2,16,,.467,.000,.667,,.490,19.0,106,112,-13.7,,41.8,16.0,5.0,0.0
,30-39,29,28,1003,193,370,0,2,89,125,95,308,39,34,56,43,78,475,,.522,.000,.712,,.559,22.0,115,107,-7.2,,34.6,16.4,10.6,1.3
,20-29,25,22,651,122,234,0,2,63,75,56,165,19,33,37,36,61,307,,.521,.000,.840,,.575,21.6,112,103,-3.1,,26.0,12.3,6.6,0.8
,10-19,9,9,151,27,57,0,1,15,22,11,44,5,8,18,9,17,69,,.474,.000,.682,,.517,23.6,99,94,+9.2,,16.7,7.7,4.9,0.6
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Rest,0 Days,14,13,421,71,147,0,3,41,51,41,106,10,8,22,22,35,183,,.483,.000,.804,,.540,21.0,108,110,-15.5,,30.1,13.1,7.6,0.7
,1 Day,35,33,993,200,364,0,2,78,106,84,283,36,50,58,50,80,478,,.549,.000,.736,,.582,21.7,115,104,-0.4,,28.4,13.7,8.1,1.0
,2 Days,7,7,188,34,71,0,0,21,29,20,66,8,2,10,7,23,89,,.479,,.724,,.531,22.9,113,109,-4.6,,26.9,12.7,9.4,1.1
,3+ Days,8,7,244,44,94,0,1,29,39,20,67,9,15,22,10,20,117,,.468,.000,.744,,.526,23.5,109,98,-2.2,,30.5,14.6,8.4,1.1
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Conference,Eastern,23,22,681,116,244,0,3,62,88,60,205,23,28,53,31,54,294,,.475,.000,.705,,.520,21.8,107,102,-3.4,,29.6,12.8,8.9,1.0
,Western,41,38,1165,233,432,0,3,107,137,105,317,40,47,59,58,104,573,,.539,.000,.781,,.582,22.0,116,106,-5.1,,28.4,14.0,7.7,1.0
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Division,Atlantic,8,8,222,41,75,0,0,12,18,18,63,9,9,19,10,13,94,,.547,,.667,,.567,20.1,112,103,-4.2,,27.7,11.8,7.9,1.1
,Central,6,6,182,28,65,0,1,27,33,14,55,9,6,10,7,16,83,,.431,.000,.818,,.522,22.3,112,102,-5.5,,30.3,13.8,9.2,1.5
,Northwest,14,11,388,83,150,0,1,35,46,35,102,16,10,23,20,37,201,,.553,.000,.761,,.590,23.0,119,109,-1.4,,27.7,14.4,7.3,1.1
,Pacific,14,14,417,85,151,0,1,43,57,36,109,15,20,21,18,38,213,,.563,.000,.754,,.605,21.5,120,108,-6.2,,29.8,15.2,7.8,1.1
,Southeast,9,8,277,47,104,0,2,23,37,28,87,5,13,24,14,25,117,,.452,.000,.622,,.486,22.9,101,101,-1.4,,30.8,13.0,9.7,0.6
,Southwest,13,13,361,65,131,0,1,29,34,34,106,9,17,15,20,29,159,,.496,.000,.853,,.545,21.4,108,101,-7.8,,27.7,12.2,8.2,0.7
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Opponent,Atlanta,2,2,61,8,20,0,0,1,4,5,20,1,2,5,2,2,17,,.400,,.250,,.391,18.0,87,102,+3.7,,30.7,8.5,10.0,0.5
,Boston,2,2,55,8,12,0,0,3,4,4,18,2,2,4,5,1,19,,.667,,.750,,.690,16.3,108,86,-2.9,,27.4,9.5,9.0,1.0
,Brooklyn,2,2,59,11,18,0,0,3,5,6,15,2,2,7,1,4,25,,.611,,.600,,.619,17.7,134,120,+3.0,,29.3,12.5,7.5,1.0
,"CHA, CHO",2,2,74,13,29,0,2,5,11,8,21,2,2,8,4,3,31,,.448,.000,.455,,.458,23.8,97,105,+0.7,,36.9,15.5,10.5,1.0
,Chicago,1,1,33,6,13,0,0,3,3,1,10,3,4,1,1,2,15,,.462,,1.000,,.524,20.8,110,89,0.0,,32.7,15.0,10.0,3.0
,Cleveland,2,2,66,7,18,0,0,15,19,5,17,3,1,4,1,5,29,,.389,,.789,,.550,19.8,130,106,+3.1,,33.2,14.5,8.5,1.5
,Dallas,2,2,36,5,15,0,1,4,4,4,12,0,1,0,2,4,14,,.333,.000,1.000,,.418,23.5,90,107,-1.4,,17.8,7.0,6.0,0.0
,Denver,2,2,56,11,20,0,0,5,7,5,16,4,0,4,2,7,27,,.550,,.714,,.585,21.0,123,113,-14.5,,27.9,13.5,8.0,2.0
,Detroit,1,1,17,0,7,0,1,1,2,0,8,1,1,4,1,3,1,,.000,.000,.500,,.063,23.8,22,68,+31.4,,17.3,1.0,8.0,1.0
,Golden State,4,4,134,22,42,0,0,13,18,16,44,5,8,7,8,12,57,,.524,,.722,,.571,20.3,111,107,-15.3,,33.5,14.3,11.0,1.3
,Houston,4,4,102,13,30,0,0,6,8,9,21,2,8,7,5,10,32,,.433,,.750,,.477,17.1,95,99,-7.5,,25.5,8.0,5.3,0.5
,Indiana,1,1,34,5,14,0,0,0,0,4,9,1,0,1,0,2,10,,.357,,,,.357,20.5,94,104,-30.1,,33.8,10.0,9.0,1.0
,LA Clippers,2,2,81,16,28,0,1,3,6,5,14,2,1,1,2,6,35,,.571,.000,.500,,.571,19.6,118,120,-22.1,,40.6,17.5,7.0,1.0
,LA Lakers,3,3,76,19,34,0,0,11,13,3,23,3,6,3,2,10,49,,.559,,.846,,.617,23.9,123,101,+2.6,,25.4,16.3,7.7,1.0
,Memphis,3,3,99,22,41,0,0,4,5,10,39,5,2,4,8,6,48,,.537,,.800,,.556,25.0,106,97,-5.1,,32.9,16.0,13.0,1.7
,Miami,1,1,28,5,10,0,0,1,2,3,5,0,4,2,2,5,11,,.500,,.500,,.506,21.5,96,106,-30.5,,28.5,11.0,5.0,0.0
,Milwaukee,1,1,32,10,13,0,0,8,9,4,11,1,0,0,4,4,28,,.769,,.889,,.825,30.2,136,121,-27.4,,31.6,28.0,11.0,1.0
,Minnesota,4,3,113,21,36,0,0,13,17,7,20,5,6,5,7,14,55,,.583,,.765,,.632,20.4,120,113,-3.3,,28.4,13.8,5.0,1.3
,New York,1,1,33,6,13,0,0,1,3,3,8,2,1,1,0,3,13,,.462,,.333,,.454,19.8,108,110,-23.1,,33.2,13.0,8.0,2.0
,Oklahoma City,2,1,57,7,22,0,1,5,6,5,15,1,1,3,4,3,19,,.318,.000,.833,,.386,23.8,82,117,-31.1,,28.6,9.5,7.5,0.5
,Orlando,2,2,72,12,27,0,0,5,9,8,26,2,2,6,3,5,29,,.444,,.556,,.468,23.0,102,106,+4.7,,36.0,14.5,13.0,1.0
,Philadelphia,1,1,21,4,6,0,0,2,3,2,7,2,2,2,1,0,10,,.667,,.667,,.683,18.2,140,95,+10.3,,21.0,10.0,7.0,2.0
,Phoenix,2,2,51,10,17,0,0,8,10,2,4,2,4,5,5,7,28,,.588,,.800,,.654,24.6,110,94,-6.2,,25.3,14.0,2.0,1.0
