Unnamed: 0_level_0,Unnamed: 1_level_0,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Unnamed: 19_level_0,Shooting,Shooting,Shooting,Unnamed: 23_level_0,Advanced,Advanced,Advanced,Advanced,Advanced,Unnamed: 29_level_0,Per Game,Per Game,Per Game,Per Game
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 19_level_1,FG%,3P%,FT%,Unnamed: 23_level_1,TS%,USG%,ORtg,DRtg,+/-,Unnamed: 29_level_1,MP,PTS,TRB,AST
,Total,61,61,2164,560,1136,35,108,326,430,130,627,116,78,125,121,148,1481,,.493,.324,.758,,.559,29.7,110,104,-4.6,,35.5,24.3,10.3,1.9
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Place,Home,31,31,1046,272,565,18,54,147,197,69,295,62,36,67,49,76,709,,.481,.333,.746,,.544,29.8,110,106,-0.4,,33.7,22.9,9.5,2.0
,Road,30,30,1119,288,571,17,54,179,233,61,332,54,42,58,72,72,772,,.504,.315,.768,,.573,29.6,110,103,-8.4,,37.3,25.7,11.1,1.8
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
All-Star,Pre,47,47,1666,422,845,23,77,231,313,99,468,87,60,105,94,114,1098,,.499,.299,.738,,.559,29.1,109,104,-2.6,,35.4,23.4,10.0,1.9
,Post,14,14,499,138,291,12,31,95,117,31,159,29,18,20,27,34,383,,.474,.387,.812,,.559,31.9,112,106,-10.9,,35.6,27.4,11.4,2.1
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Result,Win,24,24,872,254,475,18,43,127,167,58,263,46,26,45,40,61,653,,.535,.419,.760,,.595,29.9,120,104,+9.7,,36.3,27.2,11.0,1.9
,Loss,37,37,1292,306,661,17,65,199,263,72,364,70,52,80,81,87,828,,.463,.262,.757,,.533,29.6,103,105,-14.1,,34.9,22.4,9.8,1.9
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Month,October,3,3,112,22,54,4,9,21,30,8,31,6,2,7,10,7,69,,.407,.444,.700,,.513,28.5,98,114,-17.8,,37.5,23.0,10.3,2.0
,November,11,11,372,100,190,4,16,62,80,18,116,17,14,26,25,34,266,,.526,.250,.775,,.591,30.3,110,102,+1.2,,33.9,24.2,10.5,1.5
,December,15,15,565,131,274,7,26,67,91,31,173,21,21,44,30,29,336,,.478,.269,.736,,.535,27.9,104,101,-1.7,,37.7,22.4,11.5,1.4
,January,11,11,367,94,191,5,17,51,62,28,92,28,13,19,20,26,244,,.492,.294,.823,,.559,29.0,115,104,+2.9,,33.3,22.2,8.4,2.5
,February,11,11,406,122,227,7,17,64,91,26,109,25,15,17,18,25,315,,.537,.412,.703,,.590,31.0,119,108,-7.0,,36.9,28.6,9.9,2.3
,March,10,10,341,91,200,8,23,61,76,19,106,19,13,12,18,27,251,,.455,.348,.803,,.538,31.9,107,105,-15.4,,34.1,25.1,10.6,1.9
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Day,Sunday,4,4,143,58,94,5,8,33,37,13,56,7,3,13,10,10,154,,.617,.625,.892,,.698,37.5,132,102,+11.8,,35.6,38.5,14.0,1.8
,Monday,9,9,292,79,158,3,15,36,55,17,77,11,16,16,19,21,197,,.500,.200,.655,,.541,30.2,105,108,-17.5,,32.4,21.9,8.6,1.2
,Tuesday,7,7,212,35,95,2,9,38,56,11,65,11,6,21,12,15,110,,.368,.222,.679,,.460,27.1,93,103,-3.7,,30.2,15.7,9.3,1.6
,Wednesday,12,12,449,115,231,10,28,61,77,29,135,31,18,22,21,29,301,,.498,.357,.792,,.568,28.0,115,102,-2.8,,37.4,25.1,11.3,2.6
,Thursday,6,6,217,62,117,3,11,28,41,9,55,8,7,11,9,16,155,,.530,.273,.683,,.574,30.4,114,106,-1.4,,36.1,25.8,9.2,1.3
,Friday,12,12,424,104,213,5,18,63,78,23,111,23,19,17,23,29,276,,.488,.278,.808,,.558,28.6,109,104,-5.8,,35.3,23.0,9.3,1.9
,Saturday,11,11,429,107,228,7,19,67,86,28,128,25,9,25,27,28,288,,.469,.368,.779,,.542,30.7,106,106,-4.1,,39.0,26.2,11.6,2.3
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Role,Starter,61,61,2164,560,1136,35,108,326,430,130,627,116,78,125,121,148,1481,,.493,.324,.758,,.559,29.7,110,104,-4.6,,35.5,24.3,10.3,1.9
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Minutes,40+,16,16,685,181,345,13,31,93,124,45,203,33,26,47,40,39,468,,.525,.419,.750,,.586,29.1,112,102,-2.9,,42.8,29.3,12.7,2.1
,30-39,36,36,1312,327,681,22,72,204,269,73,375,75,46,70,67,96,880,,.480,.306,.758,,.550,29.1,110,105,-3.8,,36.4,24.4,10.4,2.1
,20-29,3,3,85,22,52,0,3,15,20,9,26,2,3,3,7,7,59,,.423,.000,.750,,.485,34.1,97,115,-39.7,,28.5,19.7,8.7,0.7
,10-19,4,4,72,29,53,0,2,14,17,3,20,4,3,5,6,6,72,,.547,.000,.824,,.595,41.5,110,112,+8.8,,17.9,18.0,5.0,1.0
,0-9,2,2,10,1,5,0,0,0,0,0,3,2,0,0,1,0,2,,.200,,,,.200,29.2,50,116,-15.0,,4.9,1.0,1.5,1.0
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Rest,0 Days,11,11,414,110,209,8,24,76,101,16,111,15,15,21,23,29,304,,.526,.333,.752,,.600,30.1,114,104,-4.6,,37.6,27.6,10.1,1.4
,1 Day,31,31,1045,292,572,18,49,145,188,69,305,60,37,54,61,69,747,,.510,.367,.771,,.570,30.4,112,106,-6.1,,33.7,24.1,9.8,1.9
,2 Days,11,11,394,90,189,3,15,59,80,22,131,19,16,35,19,27,242,,.476,.200,.738,,.540,27.3,107,102,-0.1,,35.8,22.0,11.9,1.7
,3+ Days,8,8,312,68,166,6,20,46,61,23,80,22,10,15,18,23,188,,.410,.300,.754,,.487,29.9,101,104,-5.1,,39.0,23.5,10.0,2.8
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Conference,Eastern,20,20,737,198,399,16,45,110,141,45,213,45,29,41,38,42,522,,.496,.356,.780,,.566,30.5,112,103,-4.1,,36.9,26.1,10.7,2.3
,Western,41,41,1427,362,737,19,63,216,289,85,414,71,49,84,83,106,959,,.491,.302,.747,,.555,29.3,109,105,-4.8,,34.8,23.4,10.1,1.7
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Division,Atlantic,4,4,149,40,91,3,10,23,29,11,40,5,5,11,7,12,106,,.440,.300,.793,,.511,33.4,106,105,-12.8,,37.3,26.5,10.0,1.3
,Central,8,8,280,86,164,8,15,41,53,17,82,17,9,14,14,13,221,,.524,.533,.774,,.590,32.1,116,102,+3.9,,35.0,27.6,10.3,2.1
,Northwest,14,14,448,131,251,9,23,72,96,19,104,17,11,27,13,35,343,,.522,.391,.750,,.585,31.4,117,108,+1.0,,32.0,24.5,7.4,1.2
,Pacific,12,12,432,106,227,5,19,75,103,35,147,17,14,22,32,37,292,,.467,.263,.728,,.536,30.1,105,106,-10.5,,36.0,24.3,12.3,1.4
