,,,,Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss)
Rk,Lineup,Tm,MP,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
1,A. Davis | L. James,LAL,1456:34,+3.9,+1.9,+.035,-0.2,-1.1,+.005,+.032,+0.7,+2.1,-.039,+8.3,+1.9,+4.7,+2.8,+4.7,+2.3,+5.2,+3.6,+0.4,+3.4,-1.6,-1.2
2,A. Davis | D. Green,LAL,1402:30,+3.4,+1.9,+.029,-1.4,-2.8,-.011,+.020,+0.9,+2.2,-.034,+6.4,+2.2,+5.7,+3.5,+5.7,+2.7,+6.3,+3.1,+0.6,+3.1,-1.2,-1.2
3,K. Caldwell-Pope | A. Davis,LAL,1118:27,+1.7,+0.9,+.014,-1.6,-2.8,-.022,+.004,+1.2,+3.5,-.063,+2.9,+2.2,+4.8,+1.3,+4.8,+1.7,+4.0,+1.9,+0.3,+2.6,-1.2,-1.3
4,A. Bradley | A. Davis,LAL,919:22,+4.2,+0.6,+.046,-0.1,-2.4,+.021,+.044,+0.8,+2.3,-.041,+9.1,+1.1,+3.8,+3.7,+3.8,+2.3,+5.3,+2.4,-0.1,+3.3,-0.5,-0.6
5,A. Davis | J. McGee,LAL,848:40,+3.0,+0.1,+.033,-1.9,-4.2,-.010,+.022,+0.3,+1.1,-.032,+4.3,+2.0,+6.1,+4.7,+6.1,+3.4,+7.8,+2.8,-0.4,+4.5,+0.8,0.0
6,A. Davis | K. Kuzma,LAL,685:22,-0.2,-2.3,+.010,-2.1,-2.7,-.037,.000,+2.3,+3.6,-.020,-0.2,-0.4,-1.0,-0.3,-1.0,-0.5,-1.2,+1.6,+0.6,+2.4,-0.7,-1.9
7,A. Caruso | A. Davis,LAL,665:11,+2.2,+0.9,+.022,-0.1,-0.8,+.007,+.021,+2.5,+4.9,-.045,+6.9,+0.9,+2.0,+0.5,+2.0,+0.6,+1.6,+3.1,+1.8,+2.2,-2.8,-2.2
8,A. Davis | R. Rondo,LAL,474:48,-1.9,-0.4,-.020,-1.9,-0.4,-.056,-.031,+0.9,+4.8,-.110,-4.8,+0.1,-1.9,-3.8,-1.9,-1.9,-4.6,-0.2,+2.2,+2.0,-0.5,-1.2
9,A. Davis | D. Howard,LAL,428:03,+2.7,+2.8,+.016,-0.9,-6.2,+.046,+.009,+2.5,+8.0,-.132,+7.0,+4.6,+9.3,+2.1,+9.3,+3.4,+7.9,-0.9,+0.4,+1.7,-0.6,-3.9
10,Q. Cook | A. Davis,LAL,200:04,-2.1,-6.2,+.009,-4.0,-7.8,-.039,-.009,+3.6,+6.8,-.078,-4.6,+2.4,+6.6,+4.5,+6.6,+3.2,+7.4,+0.2,-0.6,+3.4,+3.0,-3.0
