,,,,Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss)
Rk,Lineup,Tm,MP,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
1,A. Davis | J. Holiday,NOP,1437:46,+3.9,+0.6,+.041,-2.4,-7.0,+.004,+.027,+3.6,+4.4,+.012,+9.2,+1.2,+4.4,+4.5,+4.4,+2.8,+6.2,+4.1,+0.3,+1.4,-0.9,-1.5
2,A. Davis | J. Randle,NOP,1058:11,+2.4,+0.8,+.022,-3.8,-9.3,-.016,+.001,+3.4,+4.6,-.004,+4.4,+1.7,+5.4,+4.5,+5.4,+3.1,+6.9,+2.7,0.0,+0.5,+0.2,-1.7
3,A. Davis | E. Moore,NOP,995:21,+2.8,+1.3,+.024,-1.9,-4.7,-.003,+.013,-0.3,+0.5,-.031,+3.5,+0.3,+1.7,+2.3,+1.7,+1.3,+2.8,+2.8,+0.2,+1.2,-1.1,-0.3
4,A. Davis | D. Miller,NOP,693:23,+1.8,+0.7,+.016,-2.1,-4.6,-.014,+.004,+2.0,+1.3,+.038,+3.5,+1.0,+2.7,+2.2,+2.7,+1.5,+3.4,+3.2,+0.9,0.0,-0.7,0.0
5,A. Davis | N. Mirotić,NOP,518:44,+0.2,-4.5,+.026,-0.4,-2.4,+.018,+.027,+5.5,+6.6,+.020,+5.5,-0.4,+1.1,+3.0,+1.1,+1.2,+2.9,+2.6,-1.5,+2.4,+0.8,-1.0
6,A. Davis | E. Payton,NOP,511:25,+2.5,+0.8,+.024,-4.6,-10.8,-.012,-.003,+6.1,+9.1,-.040,+6.6,+2.2,+5.4,+2.8,+5.4,+2.5,+5.7,+3.0,+2.0,+0.7,-2.3,-2.4
7,A. Davis | T. Frazier,NOP,461:40,-0.1,+0.8,-.006,-1.0,-3.3,+.006,-.012,+2.9,+0.4,+.109,+1.6,+1.0,+2.8,+2.1,+2.8,+1.6,+3.8,+2.7,+0.8,+0.3,+0.8,-0.4
8,A. Davis | S. Hill,NOP,355:38,-0.8,-0.8,-.005,-3.4,-8.6,-.013,-.023,+1.8,+2.2,+.006,-3.1,+1.2,+4.0,+3.7,+4.0,+2.4,+5.3,+0.9,-0.5,+0.7,+1.2,-1.1
9,A. Davis | F. Jackson,NOP,339:14,-1.8,-0.8,-.016,-3.7,-6.9,-.038,-.036,+2.8,+3.3,+.013,-4.5,+2.0,+4.3,+1.9,+4.3,+2.0,+4.5,+0.9,-1.0,-0.2,+1.5,-1.1
10,A. Davis | K. Williams,NOP,311:21,-1.3,+2.5,-.027,-5.5,-9.1,-.082,-.059,+3.3,+4.7,-.022,-4.9,+4.1,+7.2,+0.9,+7.2,+2.6,+5.5,+1.3,-0.5,+0.3,0.0,-2.0
