,,,,Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss)
Rk,Lineup,Tm,MP,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
1,A. Davis | J. Holiday | J. Randle,NOP,833:44,+4.1,+2.6,+.033,-4.0,-9.6,-.022,+.009,+4.0,+4.9,+.009,+8.3,+2.5,+7.1,+5.4,+7.1,+4.0,+8.7,+3.2,+0.4,+0.7,-0.5,-2.0
2,A. Davis | J. Holiday | E. Moore,NOP,829:40,+4.1,+0.5,+.043,-1.0,-4.7,+.025,+.037,+1.2,+2.4,-.025,+8.5,-0.2,+1.5,+3.5,+1.5,+1.6,+3.5,+4.4,+0.4,+1.8,-1.6,-1.0
3,A. Davis | E. Moore | J. Randle,NOP,492:15,+3.7,+2.2,+.030,-2.9,-7.6,+.002,+.012,+0.4,+1.7,-.036,+5.0,+0.8,+3.4,+3.6,+3.4,+2.3,+5.0,+2.8,+0.5,+0.1,-0.9,-1.1
4,A. Davis | J. Holiday | D. Miller,NOP,461:21,+5.9,+0.3,+.065,-1.2,-5.4,+.019,+.058,+3.0,+2.6,+.039,+13.5,-0.1,+2.2,+4.8,+2.2,+2.2,+4.6,+5.9,+1.0,+1.3,-1.9,-0.3
5,A. Davis | J. Holiday | N. Mirotić,NOP,459:04,+1.9,-4.3,+.045,+0.3,-2.4,+.040,+.049,+5.9,+7.0,+.027,+10.0,-0.6,+1.3,+4.4,+1.3,+1.8,+4.0,+3.9,-1.0,+3.2,0.0,-1.4
6,A. Davis | N. Mirotić | E. Moore,NOP,372:33,+2.5,-2.0,+.039,+0.6,-0.4,+.027,+.043,+2.2,+3.2,-.016,+7.8,-0.8,+0.3,+2.8,+0.3,+0.9,+2.0,+3.6,-0.8,+2.6,-0.8,+0.1
7,A. Davis | E. Payton | J. Randle,NOP,354:42,+2.9,+1.4,+.026,-4.4,-10.8,-.006,.000,+5.5,+7.4,-.017,+7.0,+2.2,+6.1,+4.0,+6.1,+3.2,+7.2,+2.9,+1.0,+0.5,-1.2,-2.6
8,A. Davis | J. Holiday | E. Payton,NOP,347:03,+7.4,+3.1,+.067,-3.8,-10.6,+.014,+.043,+8.0,+10.9,-.018,+19.1,+2.9,+8.3,+6.0,+8.3,+4.4,+9.9,+4.9,+4.1,+1.9,-4.6,-3.2
9,A. Davis | D. Miller | J. Randle,NOP,340:30,+4.5,+1.1,+.045,-2.6,-7.1,-.009,+.029,+0.5,+0.5,+.005,+6.8,+0.2,+3.5,+6.4,+3.5,+3.0,+6.4,+3.9,+1.4,+0.3,-0.3,-0.1
10,A. Davis | T. Frazier | J. Holiday,NOP,337:53,+3.7,+1.8,+.032,-0.6,-4.5,+.033,+.027,+5.6,+3.6,+.128,+12.4,+1.8,+5.7,+4.8,+5.7,+3.3,+7.6,+5.0,+1.0,+1.7,-0.3,-1.7
