,,,,Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss)
Rk,Lineup,Tm,MP,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
1,A. Davis | S. Hill | J. Holiday,NOP,1350:21,+1.4,-2.6,+.029,+0.2,-3.7,+.054,+.032,+2.5,+1.9,+.054,+5.6,-2.8,-4.9,-0.5,-4.9,-1.6,-3.3,+1.3,+0.4,+1.5,-1.2,-1.0
2,D. Cunningham | A. Davis | J. Holiday,NOP,669:02,+2.5,-1.3,+.035,-0.1,-4.2,+.047,+.035,+1.5,+1.7,+.009,+6.4,-2.0,-3.4,-0.2,-3.4,-1.0,-2.0,+2.8,+1.5,+0.9,-2.1,-1.0
3,A. Davis | S. Hill | E. Moore,NOP,637:31,+1.7,-3.7,+.039,-1.1,-5.7,+.032,+.035,+2.4,+3.1,-.001,+4.7,-3.1,-5.7,-0.8,-5.7,-1.7,-3.8,+1.5,+0.2,+4.2,-1.1,-0.9
4,A. Davis | T. Frazier | S. Hill,NOP,612:16,-0.4,-3.5,+.014,-2.4,-6.9,-.001,+.002,+3.3,+5.0,-.031,+0.2,-1.6,-3.3,-1.5,-3.3,-1.5,-3.2,-1.0,+0.4,+1.4,-0.9,-1.9
5,A. Davis | B. Hield | J. Holiday,NOP,611:12,-0.3,-3.0,+.012,+0.8,-2.8,+.065,+.018,-3.0,-3.3,-.024,-2.7,-3.3,-6.8,-3.0,-6.8,-3.1,-6.6,+1.4,+0.8,+0.3,-0.4,+0.5
6,A. Davis | J. Holiday | E. Moore,NOP,592:45,-0.1,-3.2,+.015,-3.6,-7.0,-.051,-.003,+1.9,+2.9,-.013,-1.8,-2.5,-5.2,-2.1,-5.2,-2.3,-5.0,-0.3,+0.4,+3.2,-0.7,-1.2
7,A. Davis | B. Hield | S. Hill,NOP,578:32,-0.8,-1.7,-.001,+0.7,-2.5,+.055,+.004,-1.6,-2.5,+.014,-2.6,-2.1,-4.7,-2.4,-4.7,-2.3,-4.9,-0.1,+0.2,+0.3,+0.2,-0.1
8,D. Cunningham | A. Davis | S. Hill,NOP,560:41,+3.6,-1.2,+.048,+1.2,-3.8,+.092,+.055,+0.8,+0.4,+.025,+9.3,-2.9,-5.3,-0.4,-5.3,-1.5,-3.2,+1.6,+1.2,+1.6,-2.2,-0.3
9,A. Davis | T. Frazier | E. Moore,NOP,482:04,+2.2,-5.9,+.055,-1.6,-6.1,+.026,+.049,+1.5,+3.7,-.065,+4.3,-3.9,-6.8,+0.6,-6.8,-1.7,-3.7,+1.0,+0.4,+3.5,-0.8,-0.6
10,D. Cunningham | A. Davis | E. Moore,NOP,446:32,+3.2,+1.2,+.030,-2.4,-7.2,+.008,+.016,+0.4,+1.3,-.029,+4.5,-1.2,-3.1,-2.4,-3.1,-1.5,-3.2,+0.6,+0.7,+3.2,-3.4,-0.4
