,,,,Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss)
Rk,Lineup,Tm,MP,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
1,A. Davis | S. Hill,NOP,1845:02,+0.9,-2.7,+.024,-0.4,-4.4,+.038,+.023,+1.9,+2.0,+.020,+3.3,-2.5,-4.6,-0.9,-4.6,-1.6,-3.3,+0.7,+0.1,+1.8,-0.9,-0.9
2,A. Davis | J. Holiday,NOP,1815:36,+0.8,-3.1,+.024,-1.1,-4.6,+.017,+.020,+2.0,+2.2,+.017,+2.5,-2.6,-4.6,-0.8,-4.6,-1.7,-3.6,+1.0,+0.6,+1.5,-0.9,-1.0
3,A. Davis | E. Moore,NOP,1172:48,+0.7,-3.7,+.026,-2.1,-5.4,-.009,+.017,+0.7,+1.5,-.022,-0.1,-3.0,-5.8,-1.4,-5.8,-2.2,-4.7,+0.5,+0.1,+3.6,-0.8,-0.3
4,D. Cunningham | A. Davis,NOP,994:27,+2.4,-0.7,+.031,-0.7,-4.8,+.035,+.027,+0.1,+0.3,-.004,+4.2,-1.4,-2.7,-0.6,-2.7,-0.9,-1.8,+1.8,+0.6,+1.7,-1.1,-0.2
5,A. Davis | T. Frazier,NOP,992:42,+0.9,-3.3,+.026,-2.4,-7.1,+.001,+.015,+2.1,+3.8,-.041,+1.4,-1.6,-2.9,-0.2,-2.9,-1.0,-2.0,+0.3,+0.4,+1.7,-0.3,-1.1
6,A. Davis | B. Hield,NOP,845:21,-1.6,-3.4,.000,-1.1,-4.5,+.016,-.005,-1.8,-1.9,-.019,-6.1,-2.2,-4.9,-2.6,-4.9,-2.5,-5.4,-0.3,-0.3,+0.9,+0.6,+0.1
7,A. Davis | T. Jones,NOP,640:10,+2.0,-4.4,+.044,-1.6,-5.0,+.003,+.037,+0.4,+0.6,.000,+2.8,-4.1,-7.8,-2.3,-7.8,-3.0,-6.3,+3.0,-0.2,+2.6,-1.0,-0.9
8,A. Davis | L. Galloway,NOP,533:52,-1.6,-5.9,+.010,-0.6,-2.8,+.009,+.010,+3.7,+5.6,-.022,-0.1,-2.2,-4.3,-1.3,-4.3,-1.6,-3.4,0.0,+0.1,+4.4,+0.5,-0.3
9,D. Cousins | A. Davis,NOP,394:12,-1.4,-2.9,-.002,-0.9,-0.8,-.021,-.005,+7.4,+7.2,+.090,+3.7,-1.4,-2.3,-0.1,-2.3,-0.9,-1.9,-0.3,+0.4,+2.1,-1.0,-2.5
10,Ö. Aşık | A. Davis,NOP,325:58,-3.1,-5.6,-.007,-2.8,-8.4,+.010,-.019,+4.1,+7.1,-.073,-5.0,0.0,0.0,-0.1,0.0,0.0,0.0,-5.5,-1.1,+1.0,+0.8,-1.5
