Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,40,1,2023-04-16,LAL,@,MEM,W 128-112,1,36:33,10,17,.588,0,0,,10,17,.588,.588,2,2,1.000,4,8,12,3,3,7,3,1,22,25.9,27
2,41,2,2023-04-19,LAL,@,MEM,L 93-103,1,37:38,4,14,.286,1,1,1.000,3,13,.231,.321,4,4,1.000,3,6,9,3,0,5,2,3,13,11.1,-4
3,42,3,2023-04-22,LAL,,MEM,W 111-101,1,38:39,11,24,.458,1,4,.250,10,20,.500,.479,8,10,.800,4,13,17,2,2,3,3,3,31,25.8,12
4,43,4,2023-04-24,LAL,,MEM,W 117-111 (OT),1,41:54,4,13,.308,0,1,.000,4,12,.333,.308,4,6,.667,2,9,11,2,2,4,4,3,12,8.8,-3
5,44,5,2023-04-26,LAL,@,MEM,L 99-116,1,35:10,14,23,.609,1,3,.333,13,20,.650,.630,2,3,.667,4,15,19,1,1,2,1,3,31,28.3,6
6,45,6,2023-04-28,LAL,,MEM,W 125-85,1,28:29,6,9,.667,0,0,,6,9,.667,.667,4,4,1.000,1,13,14,1,0,5,1,2,16,19.1,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,46,7,2023-05-02,LAL,@,GSW,W 117-112,1,43:50,11,19,.579,0,2,.000,11,17,.647,.579,8,8,1.000,4,19,23,5,0,4,1,2,30,34.1,1
8,47,8,2023-05-04,LAL,@,GSW,L 100-127,1,32:55,5,11,.455,0,0,,5,11,.455,.455,1,1,1.000,1,6,7,4,1,3,4,3,11,8.5,-22
9,48,9,2023-05-06,LAL,,GSW,W 127-97,1,33:01,7,10,.700,0,0,,7,10,.700,.700,11,12,.917,0,13,13,3,3,4,3,2,25,28.4,28
10,49,10,2023-05-08,LAL,,GSW,W 104-101,1,43:06,10,16,.625,0,0,,10,16,.625,.625,3,3,1.000,3,12,15,2,3,0,3,3,23,21.7,5
11,50,11,2023-05-10,LAL,@,GSW,L 106-121,1,32:18,10,18,.556,0,0,,10,18,.556,.556,3,5,.600,0,9,9,3,0,0,3,4,23,13.8,-22
12,51,12,2023-05-12,LAL,,GSW,W 122-101,1,39:31,5,9,.556,0,0,,5,9,.556,.556,7,10,.700,3,17,20,3,2,2,0,3,17,23.0,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,52,13,2023-05-16,LAL,@,DEN,L 126-132,1,41:50,14,23,.609,1,1,1.000,13,22,.591,.630,11,11,1.000,1,9,10,3,3,2,0,3,40,38.2,-8
14,53,14,2023-05-18,LAL,@,DEN,L 103-108,1,40:57,4,15,.267,1,3,.333,3,12,.250,.300,9,11,.818,1,13,14,4,1,4,4,4,18,13.9,-10
15,54,15,2023-05-20,LAL,,DEN,L 108-119,1,41:52,11,18,.611,0,0,,11,18,.611,.611,6,8,.750,5,13,18,1,0,2,1,3,28,26.3,-12
16,55,16,2023-05-22,LAL,,DEN,L 111-113,1,40:02,6,15,.400,0,0,,6,15,.400,.400,9,10,.900,2,12,14,1,1,3,1,4,21,18.7,-6
,,,,,,,8-8,16,609,132,254,.520,5,15,.333,127,239,.531,.530,92,108,.852,38,187,225,41,22,50,34,46,361,21.6,54
