Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,14,1,2020-08-18,LAL,,POR,L 93-100,1,39:11,8,24,.333,0,5,.000,8,19,.421,.333,12,17,.706,6,5,11,1,2,2,1,1,28,20.8,-20
2,15,2,2020-08-20,LAL,,POR,W 111-88,1,29:21,13,21,.619,3,4,.750,10,17,.588,.690,2,2,1.000,3,8,11,3,1,1,2,1,31,27.4,32
3,16,3,2020-08-22,LAL,@,POR,W 116-108,1,40:33,11,18,.611,0,2,.000,11,16,.688,.611,7,14,.500,3,8,11,8,2,3,2,3,29,29.0,15
4,17,4,2020-08-24,LAL,@,POR,W 135-115,1,17:36,5,8,.625,0,1,.000,5,7,.714,.625,8,10,.800,1,4,5,5,1,2,0,2,18,20.6,37
5,18,5,2020-08-29,LAL,,POR,W 131-122,1,36:16,14,18,.778,4,6,.667,10,12,.833,.889,11,13,.846,2,7,9,4,1,0,1,2,43,40.7,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,19,6,2020-09-04,LAL,,HOU,L 97-112,1,37:16,10,16,.625,1,2,.500,9,14,.643,.656,4,4,1.000,2,12,14,1,3,3,3,2,25,24.8,-6
7,20,7,2020-09-06,LAL,,HOU,W 117-109,1,36:11,15,24,.625,1,1,1.000,14,23,.609,.646,3,6,.500,3,7,10,4,0,1,2,1,34,27.3,-7
8,21,8,2020-09-08,LAL,@,HOU,W 112-102,1,38:44,9,13,.692,0,0,,9,13,.692,.692,8,11,.727,4,11,15,6,1,0,4,4,26,25.0,6
9,22,9,2020-09-10,LAL,@,HOU,W 110-100,1,39:48,10,18,.556,0,2,.000,10,16,.625,.556,9,9,1.000,3,9,12,5,0,2,5,4,29,23.5,7
10,23,10,2020-09-12,LAL,,HOU,W 119-96,1,34:25,4,9,.444,0,0,,4,9,.444,.444,5,6,.833,2,9,11,4,0,1,6,2,13,8.7,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,24,11,2020-09-18,LAL,,DEN,W 126-114,1,32:47,12,21,.571,1,3,.333,11,18,.611,.595,12,15,.800,3,7,10,4,0,0,3,3,37,28.7,15
12,25,12,2020-09-20,LAL,,DEN,W 105-103,1,39:18,11,23,.478,2,4,.500,9,19,.474,.522,7,7,1.000,2,7,9,2,1,2,1,4,31,24.0,8
13,26,13,2020-09-22,LAL,@,DEN,L 106-114,1,42:48,9,17,.529,0,4,.000,9,13,.692,.529,9,10,.900,0,2,2,1,1,0,3,4,27,16.0,4
14,27,14,2020-09-24,LAL,@,DEN,W 114-108,1,40:31,10,15,.667,1,3,.333,9,12,.750,.700,13,14,.929,1,4,5,3,3,0,3,2,34,30.3,1
15,28,15,2020-09-26,LAL,,DEN,W 117-107,1,34:43,8,16,.500,2,4,.500,6,12,.500,.563,9,9,1.000,0,5,5,3,2,1,1,3,27,23.1,-1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,29,16,2020-09-30,LAL,,MIA,W 116-98,1,38:04,11,21,.524,2,4,.500,9,17,.529,.571,10,10,1.000,3,6,9,5,0,3,1,1,34,31.8,23
17,30,17,2020-10-02,LAL,,MIA,W 124-114,1,39:33,15,20,.750,1,1,1.000,14,19,.737,.775,1,1,1.000,8,6,14,1,1,0,3,4,32,28.5,10
18,31,18,2020-10-04,LAL,@,MIA,L 104-115,1,32:58,6,9,.667,1,2,.500,5,7,.714,.722,2,2,1.000,2,3,5,3,2,0,5,4,15,10.9,-26
19,32,19,2020-10-06,LAL,@,MIA,W 102-96,1,41:31,8,16,.500,2,4,.500,6,12,.500,.563,4,4,1.000,0,9,9,4,1,4,2,2,22,20.5,17
20,33,20,2020-10-09,LAL,,MIA,L 108-111,1,42:13,9,15,.600,2,5,.400,7,10,.700,.667,8,8,1.000,3,9,12,3,3,3,2,3,28,29.9,7
21,34,21,2020-10-11,LAL,@,MIA,W 106-93,1,35:06,7,17,.412,0,3,.000,7,14,.500,.412,5,7,.714,4,11,15,3,1,2,3,4,19,15.1,18
,,,,,,,16-5,21,770,205,359,.571,23,60,.383,182,299,.609,.603,149,179,.832,55,149,204,73,26,30,53,56,582,24.1,184
