,,,,Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss)
Rk,Lineup,Tm,MP,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
1,A. Davis | A. Reaves,LAL,504:44,+2.1,-6.9,+.057,-4.6,-11.9,-.012,+.037,+8.9,+10.9,-.003,+8.4,-2.9,-2.5,+4.4,-2.5,+0.7,+1.6,-0.7,+0.8,+3.6,-1.5,-3.8
2,A. Davis | L. James,LAL,499:06,+1.3,-6.5,+.048,-4.4,-11.3,-.011,+.028,+6.1,+7.8,-.011,+4.3,-3.1,-3.5,+3.3,-3.5,+0.1,+0.3,-1.6,+0.5,+4.0,-1.0,-2.3
3,A. Davis | D. Russell,LAL,435:52,+0.1,-6.8,+.034,-4.7,-11.8,-.012,+.014,+4.7,+5.8,-.001,+0.2,-3.7,-4.7,+2.3,-4.7,-0.8,-1.7,-1.4,+0.1,+5.0,-0.1,-2.2
4,A. Davis | D. Schröder,LAL,312:10,+1.6,-8.5,+.060,-5.4,-14.1,-.022,+.036,+13.1,+14.1,+.069,+10.9,-5.1,-5.3,+5.8,-5.3,+0.5,+1.0,-1.4,+1.8,+1.2,-2.6,-4.3
5,A. Davis | R. Hachimura,LAL,273:26,+2.1,-9.9,+.073,-7.7,-17.6,-.043,+.038,+10.7,+11.3,+.054,+7.2,-6.8,-8.6,+5.6,-8.6,-0.8,-1.8,-1.0,+1.5,+0.3,-1.6,-2.6
