,,,,Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss)
Rk,Lineup,Tm,MP,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
1,A. Davis | R. Westbrook,LAL,1024:32,-1.2,-1.1,-.007,-2.7,-3.9,-.040,-.022,-0.4,+0.4,-.030,-5.4,-0.5,-1.6,-1.6,-1.6,-1.1,-2.5,-1.5,-0.6,+2.6,-0.5,-0.2
2,A. Davis | M. Monk,LAL,727:53,+0.7,-0.9,+.012,-0.4,-1.2,+.001,+.011,-1.6,-1.6,-.020,-0.6,-1.0,-2.0,-0.4,-2.0,-0.9,-2.1,-0.1,-1.2,+2.2,+0.3,-0.1
3,A. Bradley | A. Davis,LAL,697:30,-0.8,+0.6,-.013,-1.8,-3.4,-.020,-.024,-2.3,-3.9,+.022,-5.9,+0.1,-0.6,-1.6,-0.6,-0.6,-1.4,-0.6,+0.4,+2.5,+0.8,+1.9
4,A. Davis | L. James,LAL,576:08,+0.8,-2.2,+.021,-1.6,-5.0,+.002,+.014,-2.1,+0.5,-.110,-2.1,-1.4,-3.3,-1.7,-3.3,-1.5,-3.4,+0.8,-0.5,+2.9,-0.4,+0.1
5,C. Anthony | A. Davis,LAL,545:41,-1.3,-4.4,+.008,-0.2,-2.3,+.016,+.010,+1.7,+2.6,-.011,-1.2,-1.0,-2.0,-0.7,-2.0,-1.0,-2.2,+0.1,-0.7,+3.3,+1.0,-0.1
6,A. Davis | T. Horton-Tucker,LAL,410:20,+0.8,-1.8,+.018,-2.5,-6.9,-.008,+.006,+0.3,+2.9,-.082,-0.5,+0.7,+1.6,+0.8,+1.6,+0.6,+1.4,+0.3,-0.4,+2.6,+0.8,-0.7
7,K. Bazemore | A. Davis,LAL,291:40,-2.5,+3.6,-.047,-3.1,-4.7,-.050,-.068,-2.8,-2.4,-.059,-11.0,+1.4,-1.3,-7.0,-1.3,-2.6,-5.7,-5.6,-1.3,+2.1,-1.9,+0.9
8,A. Davis | A. Reaves,LAL,272:05,+0.9,-3.7,+.030,-1.8,-4.9,-.007,+.022,+3.1,+3.8,+.020,+3.2,-2.2,-5.1,-3.1,-5.1,-2.7,-5.7,+1.3,0.0,+4.4,-0.9,-2.9
9,A. Davis | W. Ellington,LAL,255:48,-3.0,-6.8,+.004,+2.5,-0.7,+.080,+.024,+3.1,+4.9,-.030,-0.4,-4.4,-9.1,-1.0,-9.1,-2.7,-6.5,+2.6,-1.4,+2.9,-0.9,-1.7
10,A. Davis | S. Johnson,LAL,193:39,+1.3,+0.3,+.013,-0.3,-4.5,+.041,+.011,-3.5,-4.9,-.019,-1.3,-2.3,-5.8,-3.4,-5.8,-2.6,-5.9,+1.5,-0.4,+1.7,+0.5,+0.1
