,,,,Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss)
Rk,Lineup,Tm,MP,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
1,A. Bradley | A. Davis | R. Westbrook,LAL,526:32,-0.6,0.0,-.006,-2.6,-4.6,-.032,-.021,-1.5,-3.0,+.027,-5.3,0.0,-0.4,-0.9,-0.4,-0.3,-0.7,-0.4,+0.4,+2.0,+0.3,+1.9
2,A. Davis | M. Monk | R. Westbrook,LAL,470:15,+0.4,-0.4,+.006,-1.1,-0.4,-.032,.000,-2.3,-2.4,-.029,-2.7,-1.1,-1.8,+0.1,-1.8,-0.9,-1.9,+0.1,-0.9,+2.3,-0.2,-0.3
3,A. Davis | L. James | R. Westbrook,LAL,393:29,+0.5,+0.7,+.002,-3.4,-5.5,-.045,-.018,-1.6,+0.2,-.083,-4.0,-1.2,-3.9,-3.6,-3.9,-2.4,-5.3,+0.2,+0.2,+2.7,-3.7,+0.1
4,C. Anthony | A. Davis | R. Westbrook,LAL,381:05,-2.7,-6.6,+.002,-1.3,-1.4,-.024,.000,+4.6,+6.7,-.008,-2.1,-1.6,-2.4,+0.7,-2.4,-0.8,-1.7,-1.9,0.0,+3.2,+0.6,-1.3
5,C. Anthony | A. Davis | M. Monk,LAL,290:04,-2.6,-4.0,-.010,+0.4,+0.6,+.008,-.005,+2.1,+1.0,+.057,-2.7,-1.3,-3.4,-2.5,-3.4,-2.2,-4.8,-2.4,-1.8,+2.2,+0.7,-0.2
6,A. Bradley | A. Davis | M. Monk,LAL,287:13,-3.2,-1.8,-.026,-1.7,-1.8,-.032,-.035,-0.3,-4.4,+.129,-8.4,-1.5,-2.8,0.0,-2.8,-0.8,-1.7,-2.8,-1.3,+2.5,+2.7,+1.4
7,A. Bradley | A. Davis | L. James,LAL,268:07,+3.3,+5.9,+.005,-2.0,-4.0,-.023,-.011,-3.1,-3.4,-.034,+1.5,+0.8,+0.4,-2.7,+0.4,-0.8,-1.9,+1.7,+2.6,+2.3,-3.6,+1.7
8,A. Davis | T. Horton-Tucker | R. Westbrook,LAL,255:45,-1.6,-1.4,-.011,-4.4,-5.5,-.074,-.035,+1.6,+2.9,-.022,-6.1,+0.9,+1.1,-0.8,+1.1,-0.1,-0.2,-2.3,-0.1,+2.3,-0.3,-1.1
9,C. Anthony | A. Bradley | A. Davis,LAL,240:56,+0.7,+0.9,+.003,-0.9,-0.7,-.019,-.003,-1.5,-3.2,+.036,-1.1,+0.3,+0.2,-0.9,+0.2,-0.4,-0.9,+0.8,+1.3,+4.8,+0.7,+2.0
10,K. Bazemore | A. Davis | R. Westbrook,LAL,223:50,-3.9,+4.0,-.064,-5.1,-5.3,-.104,-.094,-1.1,+0.6,-.081,-14.0,+3.0,+0.6,-7.4,+0.6,-2.1,-4.4,-7.6,-0.9,+2.6,-2.1,-0.2
