,,,,Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss)
Rk,Lineup,Tm,MP,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
1,A. Davis | T. Evans,NOP,1909:11,+2.1,+2.3,+.012,+0.1,-1.5,+.035,+.012,+0.7,+1.8,-.029,+5.1,+2.1,+4.2,+1.4,+4.2,+1.7,+3.7,+1.3,+0.4,+0.5,-0.3,-0.7
2,A. Davis | E. Gordon,NOP,1371:16,+2.4,+1.0,+.022,+1.5,+1.0,+.056,+.029,-0.7,+0.1,-.033,+5.6,+0.1,+0.3,+0.4,+0.3,+0.2,+0.4,+1.9,+0.9,+1.4,-0.5,-0.3
3,Ö. Aşık | A. Davis,NOP,1317:08,+2.2,+0.8,+.020,+0.3,-2.0,+.055,+.021,+0.9,+2.6,-.052,+5.5,+2.7,+5.7,+2.5,+5.7,+2.7,+5.8,+2.5,-0.1,0.0,+1.4,-0.9
4,A. Davis | J. Holiday,NOP,1105:15,+2.6,+2.0,+.019,-0.3,-2.0,+.019,+.016,+1.2,+1.3,+.009,+6.2,+1.1,+2.5,+1.3,+2.5,+1.2,+2.6,+2.3,+1.4,+1.2,-1.1,+0.2
5,R. Anderson | A. Davis,NOP,873:38,+1.4,+0.5,+.013,+1.2,+1.9,+.027,+.020,+2.2,+1.9,+.026,+6.3,-0.6,-1.0,-0.1,-1.0,-0.6,-1.3,+1.9,+1.8,+2.4,-1.8,-0.1
6,D. Cunningham | A. Davis,NOP,822:21,+2.1,-0.7,+.027,-0.1,-3.9,+.070,+.027,+3.3,+3.4,+.028,+7.4,+1.9,+5.1,+3.6,+5.1,+3.0,+6.5,+3.2,-0.4,+2.5,+0.5,-1.3
7,A. Davis | Q. Pondexter,NOP,681:29,+1.8,-2.0,+.031,+2.4,+1.5,+.088,+.045,+1.4,+3.4,-.051,+7.4,-0.7,-0.4,+1.1,-0.4,+0.2,+0.4,+2.6,+0.3,+0.1,+0.6,-1.1
8,A. Davis | A. Rivers,NOP,415:05,+1.3,+4.4,-.008,+0.7,+2.4,+.002,-.005,+3.1,+1.4,+.085,+6.5,+0.4,+0.6,-0.1,+0.6,+0.4,+0.9,0.0,-0.5,+0.7,-1.7,-1.2
9,L. Babbitt | A. Davis,NOP,352:34,-0.1,-1.5,+.006,-1.0,-3.2,+.003,+.002,-2.6,-1.1,-.085,-3.9,+1.0,+2.2,+1.2,+2.2,+1.1,+2.3,+0.9,-0.7,-1.8,+2.4,+0.5
10,N. Cole | A. Davis,NOP,308:38,+1.5,-1.4,+.024,-0.5,-0.8,-.011,+.022,-1.2,-2.4,+.023,+1.4,+0.4,+1.4,+1.4,+1.4,+1.0,+2.0,+5.3,+0.3,+3.3,+1.6,0.0
