Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,132,1,2014-10-28,NOP,,ORL,W 101-84,1,36:20,10,22,.455,0,0,,10,22,.455,.455,6,9,.667,9,8,17,2,3,9,0,1,26,32.4,19
2,133,2,2014-11-01,NOP,,DAL,L 104-109,1,42:48,9,21,.429,0,0,,9,21,.429,.429,13,16,.813,6,9,15,2,2,3,1,2,31,29.3,3
3,134,3,2014-11-03,NOP,@,MEM,L 81-93,1,32:01,6,12,.500,0,0,,6,12,.500,.500,2,2,1.000,3,5,8,2,1,1,1,3,14,12.5,-8
4,135,4,2014-11-04,NOP,,CHO,W 100-91,1,36:48,10,17,.588,0,0,,10,17,.588,.588,4,4,1.000,2,11,13,2,1,3,1,0,24,24.3,16
5,136,5,2014-11-08,NOP,@,SAS,W 100-99,1,36:41,10,17,.588,0,0,,10,17,.588,.588,7,8,.875,2,9,11,1,4,6,4,2,27,26.9,1
6,137,6,2014-11-10,NOP,@,CLE,L 111-118,1,39:52,12,21,.571,0,2,.000,12,19,.632,.571,3,4,.750,5,9,14,4,4,3,0,1,27,31.4,-6
7,138,7,2014-11-12,NOP,,LAL,W 109-102,1,36:42,12,16,.750,0,0,,12,16,.750,.750,1,4,.250,1,11,12,1,1,6,3,1,25,23.9,15
8,139,8,2014-11-14,NOP,,MIN,W 139-91,1,27:22,9,13,.692,0,0,,9,13,.692,.692,4,5,.800,0,4,4,3,2,2,0,0,22,22.8,34
9,140,9,2014-11-17,NOP,@,POR,L 93-102,1,37:47,14,20,.700,0,2,.000,14,18,.778,.700,3,4,.750,4,7,11,3,3,3,0,3,31,33.1,3
10,141,10,2014-11-18,NOP,@,SAC,W 106-100,1,41:08,11,19,.579,0,0,,11,19,.579,.579,6,8,.750,1,8,9,0,2,3,0,5,28,23.5,4
11,142,11,2014-11-21,NOP,@,DEN,L 97-117,1,32:04,7,17,.412,0,1,.000,7,16,.438,.412,4,4,1.000,1,8,9,2,1,2,4,3,18,10.6,-4
12,143,12,2014-11-22,NOP,@,UTA,W 106-94,1,39:36,16,23,.696,0,0,,16,23,.696,.696,11,12,.917,5,9,14,0,2,1,2,1,43,39.4,10
13,144,13,2014-11-25,NOP,,SAC,L 89-99,1,37:49,4,12,.333,0,0,,4,12,.333,.333,6,8,.750,2,7,9,2,1,2,0,2,14,12.9,-15
14,145,14,2014-11-28,NOP,@,ATL,L 91-100,1,30:44,5,14,.357,0,0,,5,14,.357,.357,4,5,.800,3,8,11,1,3,1,2,3,14,11.5,-2
15,146,15,2014-11-29,NOP,@,WAS,L 80-83,1,40:10,11,18,.611,0,1,.000,11,17,.647,.611,8,9,.889,3,10,13,0,1,0,4,2,30,22.7,-6
16,147,16,2014-12-02,NOP,,OKC,W 112-104,1,38:56,8,15,.533,0,0,,8,15,.533,.533,9,16,.563,2,8,10,4,6,4,1,2,25,28.5,23
17,148,17,2014-12-04,NOP,@,GSW,L 85-112,1,37:43,14,19,.737,0,0,,14,19,.737,.737,2,4,.500,3,12,15,3,2,3,2,2,30,30.6,-8
18,149,18,2014-12-06,NOP,@,LAC,L 100-120,1,32:34,9,15,.600,0,0,,9,15,.600,.600,8,9,.889,1,2,3,0,0,1,0,3,26,19.5,-28
19,150,19,2014-12-07,NOP,@,LAL,W 104-87,1,32:08,11,15,.733,0,0,,11,15,.733,.733,1,2,.500,0,6,6,0,1,2,1,3,23,18.5,18
20,151,20,2014-12-09,NOP,,NYK,W 104-93,1,32:47,6,14,.429,0,0,,6,14,.429,.429,6,9,.667,3,5,8,1,1,3,1,3,18,14.6,6
21,152,21,2014-12-10,NOP,@,DAL,L 107-112,1,40:04,11,20,.550,0,0,,11,20,.550,.550,9,9,1.000,5,6,11,2,0,2,1,3,31,27.3,-4
22,153,22,2014-12-12,NOP,,CLE,W 119-114,1,06:30,4,4,1.000,0,0,,4,4,1.000,1.000,0,2,.000,0,1,1,0,0,0,0,0,8,6.3,-1
22,,23,2014-12-14,NOP,,GSW,L 122-128 (OT),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
23,154,24,2014-12-16,NOP,,UTA,W 119-111,1,34:54,12,15,.800,0,0,,12,15,.800,.800,7,7,1.000,4,5,9,1,1,3,2,2,31,30.6,1
24,155,25,2014-12-18,NOP,@,HOU,W 99-90,1,40:49,10,17,.588,0,0,,10,17,.588,.588,10,12,.833,1,13,14,3,2,5,1,0,30,32.5,12
25,156,26,2014-12-20,NOP,,POR,L 88-114,1,27:36,3,14,.214,0,0,,3,14,.214,.214,1,1,1.000,3,3,6,0,1,5,1,1,7,4.5,-26
26,157,27,2014-12-21,NOP,@,OKC,W 101-99,1,36:43,16,22,.727,0,1,.000,16,21,.762,.727,6,7,.857,3,9,12,2,1,3,3,3,38,33.7,-4
27,158,28,2014-12-23,NOP,@,IND,L 84-96,1,37:12,8,18,.444,0,0,,8,18,.444,.444,5,6,.833,1,8,9,0,0,1,1,2,21,13.2,-2
28,159,29,2014-12-26,NOP,,SAS,W 97-90,1,37:43,8,19,.421,0,0,,8,19,.421,.421,6,6,1.000,1,11,12,3,2,5,1,1,22,22.1,2
29,160,30,2014-12-27,NOP,@,CHI,L 100-107,1,40:41,13,24,.542,0,0,,13,24,.542,.542,3,3,1.000,3,8,11,2,0,6,1,2,29,25.7,0
30,161,31,2014-12-30,NOP,,PHO,W 110-106,1,42:14,7,15,.467,0,0,,7,15,.467,.467,5,5,1.000,5,13,18,2,0,1,1,2,19,19.0,5
31,162,32,2014-12-31,NOP,@,SAS,L 93-95 (OT),1,39:56,8,12,.667,0,0,,8,12,.667,.667,5,6,.833,2,10,12,0,4,1,2,4,21,20.9,9
32,163,33,2015-01-02,NOP,,HOU,W 111-83,1,30:41,2,7,.286,0,0,,2,7,.286,.286,3,3,1.000,1,7,8,3,2,3,3,1,7,8.5,26
33,164,34,2015-01-05,NOP,,WAS,L 85-92,1,39:03,9,12,.750,0,0,,9,12,.750,.750,3,4,.750,2,8,10,2,0,1,3,3,21,17.5,-4
34,165,35,2015-01-07,NOP,@,CHO,L 94-98,1,41:31,15,24,.625,0,0,,15,24,.625,.625,2,2,1.000,2,10,12,1,0,4,1,3,32,26.9,1
35,166,36,2015-01-09,NOP,,MEM,W 106-95,1,36:30,7,16,.438,0,0,,7,16,.438,.438,6,6,1.000,2,8,10,2,0,3,1,3,20,16.7,12
36,167,37,2015-01-12,NOP,@,BOS,L 100-108,1,40:14,10,23,.435,0,0,,10,23,.435,.435,14,15,.933,3,6,9,4,0,3,0,5,34,28.3,-3
37,168,38,2015-01-14,NOP,@,DET,W 105-94,1,34:51,11,18,.611,0,1,.000,11,17,.647,.611,5,5,1.000,3,7,10,1,1,4,1,2,27,25.7,5
37,,39,2015-01-16,NOP,@,PHI,L 81-96,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
37,,40,2015-01-18,NOP,@,TOR,W 95-93,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
37,,41,2015-01-19,NOP,@,NYK,L 92-99,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
38,169,42,2015-01-21,NOP,,LAL,W 96-80,1,36:54,11,18,.611,0,0,,11,18,.611,.611,7,8,.875,1,7,8,1,3,4,3,2,29,25.9,17
39,170,43,2015-01-23,NOP,@,MIN,W 92-84,1,41:53,9,23,.391,0,0,,9,23,.391,.391,3,4,.750,0,12,12,0,2,1,1,2,21,12.6,11
40,171,44,2015-01-25,NOP,,DAL,W 109-106,1,39:28,8,18,.444,0,0,,8,18,.444,.444,12,14,.857,6,4,10,3,5,1,1,3,28,28.8,12
41,172,45,2015-01-26,NOP,,PHI,W 99-74,1,30:32,12,19,.632,0,0,,12,19,.632,.632,8,8,1.000,5,5,10,3,3,4,0,3,32,35.2,31
42,173,46,2015-01-28,NOP,,DEN,L 85-93,1,36:54,8,15,.533,0,0,,8,15,.533,.533,8,10,.800,2,10,12,2,0,2,0,2,24,22.3,-4
42,,47,2015-01-30,NOP,,LAC,W 108-103,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
43,174,48,2015-02-02,NOP,,ATL,W 115-100,1,33:56,12,23,.522,0,0,,12,23,.522,.522,5,7,.714,8,5,13,3,1,2,2,2,29,25.7,11
44,175,49,2015-02-04,NOP,,OKC,L 91-102,1,39:15,9,21,.429,0,0,,9,21,.429,.429,5,6,.833,1,8,9,2,1,1,0,0,23,17.7,-15
45,176,50,2015-02-06,NOP,@,OKC,W 116-113,1,44:25,15,23,.652,1,1,1.000,14,22,.636,.674,10,10,1.000,3,7,10,3,0,2,3,2,41,34.8,3
46,177,51,2015-02-07,NOP,,CHI,L 72-107,1,12:42,4,11,.364,0,0,,4,11,.364,.364,0,0,,1,4,5,1,1,1,0,0,8,6.2,2
