Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,200,1,2015-10-27,NOP,@,GSW,L 95-111,1,34:31,4,20,.200,0,2,.000,4,18,.222,.200,10,15,.667,1,5,6,2,0,3,5,4,18,2.7,-16
2,201,2,2015-10-28,NOP,@,POR,L 94-112,1,40:39,10,17,.588,3,5,.600,7,12,.583,.676,2,4,.500,2,8,10,0,2,2,2,1,25,21.1,-8
3,202,3,2015-10-31,NOP,,GSW,L 120-134,1,37:11,8,17,.471,1,2,.500,7,15,.467,.500,9,11,.818,5,10,15,4,0,2,3,2,26,23.4,-19
4,203,4,2015-11-03,NOP,,ORL,L 94-103,1,36:16,3,12,.250,0,2,.000,3,10,.300,.250,8,10,.800,1,8,9,1,1,5,2,2,14,11.5,-2
5,204,5,2015-11-06,NOP,,ATL,L 115-121,1,41:23,14,23,.609,1,1,1.000,13,22,.591,.630,14,16,.875,2,8,10,3,4,3,1,5,43,40.7,-1
6,205,6,2015-11-07,NOP,@,DAL,L 98-107,1,39:20,11,19,.579,0,2,.000,11,17,.647,.579,3,5,.600,1,5,6,4,1,2,4,5,25,16.7,-7
7,206,7,2015-11-10,NOP,,DAL,W 120-105,1,18:50,8,14,.571,0,1,.000,8,13,.615,.571,1,4,.250,0,7,7,2,1,1,1,2,17,12.6,17
7,,8,2015-11-11,NOP,@,ATL,L 98-106,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,,9,2015-11-13,NOP,@,TOR,L 81-100,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,207,10,2015-11-15,NOP,@,NYK,L 87-95,1,40:23,14,26,.538,2,4,.500,12,22,.545,.577,6,7,.857,1,10,11,1,1,4,4,4,36,25.6,-9
9,208,11,2015-11-17,NOP,,DEN,L 98-115,1,06:21,0,3,.000,0,0,,0,3,.000,.000,0,0,,0,2,2,1,0,0,0,0,0,-0.8,-2
9,,12,2015-11-18,NOP,@,OKC,L 103-110,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,209,13,2015-11-20,NOP,,SAS,W 104-90,1,39:12,9,23,.391,0,1,.000,9,22,.409,.391,2,2,1.000,2,16,18,3,0,2,1,2,20,15.4,15
11,210,14,2015-11-22,NOP,,PHO,W 122-116,1,39:03,11,22,.500,1,2,.500,10,20,.500,.523,9,11,.818,6,13,19,1,2,4,3,4,32,29.2,16
12,211,15,2015-11-25,NOP,@,PHO,W 120-114,1,39:03,11,14,.786,0,0,,11,14,.786,.786,4,6,.667,2,15,17,0,2,2,4,3,26,23.9,7
13,212,16,2015-11-27,NOP,@,LAC,L 90-111,1,28:11,7,16,.438,0,1,.000,7,15,.467,.438,3,4,.750,2,4,6,0,0,0,3,3,17,6.6,-26
14,213,17,2015-11-28,NOP,@,UTA,L 87-101,1,44:20,12,18,.667,0,2,.000,12,16,.750,.667,12,15,.800,1,10,11,1,2,3,2,4,36,31.9,1
15,214,18,2015-12-01,NOP,,MEM,L 104-113,1,41:06,4,15,.267,1,1,1.000,3,14,.214,.300,8,13,.615,3,11,14,2,2,9,1,1,17,19.8,-1
16,215,19,2015-12-02,NOP,@,HOU,L 101-108,1,34:49,9,20,.450,1,2,.500,8,18,.444,.475,10,11,.909,2,11,13,1,2,2,2,2,29,24.2,-11
17,216,20,2015-12-04,NOP,,CLE,W 114-108 (OT),1,46:16,13,22,.591,2,4,.500,11,18,.611,.636,3,6,.500,1,11,12,1,4,1,1,2,31,27.2,7
18,217,21,2015-12-07,NOP,,BOS,L 93-111,1,30:19,8,21,.381,0,2,.000,8,19,.421,.381,0,0,,2,4,6,0,2,3,0,3,16,10.0,-24
19,218,22,2015-12-11,NOP,,WAS,W 107-105,1,39:20,8,15,.533,1,3,.333,7,12,.583,.567,1,2,.500,4,7,11,2,1,0,2,1,18,15.2,13
20,219,23,2015-12-12,NOP,@,CHI,L 94-98,1,41:36,8,24,.333,0,2,.000,8,22,.364,.333,6,9,.667,0,13,13,2,1,4,4,1,22,11.9,8
21,220,24,2015-12-14,NOP,@,POR,L 101-105,1,42:10,11,19,.579,0,2,.000,11,17,.647,.579,6,9,.667,2,8,10,1,0,5,2,2,28,23.1,-7
22,221,25,2015-12-16,NOP,@,UTA,W 104-94,1,38:08,7,15,.467,0,1,.000,7,14,.500,.467,3,3,1.000,2,11,13,0,0,1,0,3,17,13.5,8
23,222,26,2015-12-18,NOP,@,PHO,L 88-104,1,41:48,5,12,.417,0,0,,5,12,.417,.417,6,6,1.000,3,9,12,2,2,3,4,3,16,14.7,-18
24,223,27,2015-12-20,NOP,@,DEN,W 130-125,1,19:43,9,12,.750,0,0,,9,12,.750,.750,9,9,1.000,0,6,6,1,0,4,1,1,27,26.1,11
25,224,28,2015-12-23,NOP,,POR,W 115-89,1,35:43,12,21,.571,0,1,.000,12,20,.600,.571,4,5,.800,3,9,12,1,1,3,2,1,28,23.9,21
26,225,29,2015-12-25,NOP,@,MIA,L 88-94 (OT),1,50:11,13,29,.448,1,2,.500,12,27,.444,.466,2,3,.667,3,12,15,4,4,3,4,2,29,23.3,-11
27,226,30,2015-12-26,NOP,,HOU,W 110-108,1,37:49,8,16,.500,1,2,.500,7,14,.500,.531,7,8,.875,2,11,13,2,0,3,4,3,24,18.6,7
28,227,31,2015-12-28,NOP,@,ORL,L 89-104,1,28:08,9,16,.563,0,2,.000,9,14,.643,.563,2,5,.400,2,6,8,1,2,1,2,1,20,15.4,-12
29,228,32,2015-12-31,NOP,,LAC,L 89-95,1,38:13,7,17,.412,0,2,.000,7,15,.467,.412,0,2,.000,2,13,15,1,0,2,1,3,14,9.3,-10
30,229,33,2016-01-02,NOP,@,DAL,W 105-98,1,42:50,13,22,.591,0,0,,13,22,.591,.591,5,6,.833,4,10,14,0,1,1,4,2,31,23.1,7
31,230,34,2016-01-06,NOP,,DAL,L 91-100,1,42:24,11,25,.440,0,3,.000,11,22,.500,.440,4,5,.800,5,6,11,7,2,3,3,3,26,22.6,-3
32,231,35,2016-01-08,NOP,,IND,L 86-91,1,03:21,1,2,.500,0,0,,1,2,.500,.500,0,0,,0,1,1,1,0,0,1,0,2,1.0,-1
32,,36,2016-01-10,NOP,@,LAC,L 111-114 (OT),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
32,,37,2016-01-12,NOP,@,LAL,L 91-95,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
33,232,38,2016-01-13,NOP,@,SAC,W 109-97,1,37:08,8,23,.348,1,2,.500,7,21,.333,.370,7,8,.875,3,7,10,3,2,0,0,2,24,18.2,2
34,233,39,2016-01-15,NOP,,CHO,W 109-107,1,35:28,8,14,.571,0,2,.000,8,12,.667,.571,6,7,.857,1,4,5,4,1,2,1,3,22,19.9,-5
35,234,40,2016-01-18,NOP,@,MEM,L 99-101,1,36:44,6,12,.500,0,2,.000,6,10,.600,.500,9,11,.818,0,8,8,2,3,3,3,3,21,18.9,-4
36,235,41,2016-01-19,NOP,,MIN,W 114-99,1,37:17,13,22,.591,1,2,.500,12,20,.600,.614,8,10,.800,3,4,7,0,0,2,0,5,35,26.7,8
37,236,42,2016-01-21,NOP,,DET,W 115-99,1,35:50,13,23,.565,1,2,.500,12,21,.571,.587,5,5,1.000,3,4,7,2,1,2,2,4,32,24.6,15
38,237,43,2016-01-23,NOP,,MIL,W 116-99,1,36:14,8,17,.471,1,2,.500,7,15,.467,.500,5,7,.714,1,6,7,5,1,4,1,1,22,20.9,9
39,238,44,2016-01-25,NOP,,HOU,L 111-112,1,18:58,4,9,.444,0,0,,4,9,.444,.444,1,1,1.000,2,4,6,1,2,0,4,1,9,5.2,-4
39,,45,2016-01-28,NOP,,SAC,W 114-105,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
