Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,467,1,2019-10-22,LAL,@,LAC,L 102-112,1,37:22,8,21,.381,0,2,.000,8,19,.421,.381,9,14,.643,3,6,9,5,1,2,3,3,25,17.1,3
2,468,2,2019-10-25,LAL,,UTA,W 95-86,1,32:20,7,17,.412,0,2,.000,7,15,.467,.412,7,7,1.000,0,7,7,2,2,5,3,4,21,16.3,5
3,469,3,2019-10-27,LAL,,CHO,W 120-101,1,32:29,10,19,.526,3,5,.600,7,14,.500,.605,6,6,1.000,2,12,14,3,1,3,5,3,29,23.7,5
4,470,4,2019-10-29,LAL,,MEM,W 120-91,1,30:34,7,17,.412,0,2,.000,7,15,.467,.412,26,27,.963,8,12,20,2,0,2,0,2,40,41.7,19
5,471,5,2019-11-01,LAL,@,DAL,W 119-110 (OT),1,42:40,15,28,.536,0,5,.000,15,23,.652,.536,1,2,.500,2,6,8,2,2,2,1,1,31,23.6,12
6,472,6,2019-11-03,LAL,@,SAS,W 103-96,1,36:00,10,20,.500,1,2,.500,9,18,.500,.525,4,4,1.000,2,9,11,2,0,4,6,2,25,16.5,7
7,473,7,2019-11-05,LAL,@,CHI,W 118-112,1,31:25,6,15,.400,1,2,.500,5,13,.385,.433,2,2,1.000,3,4,7,3,1,3,3,4,15,10.8,-4
8,474,8,2019-11-08,LAL,,MIA,W 95-80,1,34:45,11,17,.647,0,0,,11,17,.647,.647,4,4,1.000,2,6,8,7,2,3,2,4,26,27.1,27
9,475,9,2019-11-10,LAL,,TOR,L 104-113,1,37:40,10,20,.500,2,5,.400,8,15,.533,.550,5,6,.833,3,5,8,3,2,4,5,3,27,20.9,-6
10,476,10,2019-11-12,LAL,@,PHO,W 123-115,1,37:33,9,17,.529,1,2,.500,8,15,.533,.559,5,6,.833,3,9,12,4,2,1,1,1,24,24.2,6
10,,11,2019-11-13,LAL,,GSW,W 120-94,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,477,12,2019-11-15,LAL,,SAC,W 99-97,1,35:29,5,12,.417,0,3,.000,5,9,.556,.417,7,9,.778,0,5,5,2,1,4,4,2,17,11.7,-5
12,478,13,2019-11-17,LAL,,ATL,W 122-101,1,28:25,5,14,.357,0,2,.000,5,12,.417,.357,4,5,.800,0,1,1,5,0,5,4,1,14,8.7,6
13,479,14,2019-11-19,LAL,,OKC,W 112-107,1,37:06,13,24,.542,3,5,.600,10,19,.526,.604,5,6,.833,3,4,7,4,4,2,2,2,34,30.7,1
14,480,15,2019-11-22,LAL,@,OKC,W 130-127,1,35:14,9,19,.474,4,7,.571,5,12,.417,.579,11,11,1.000,1,10,11,7,1,0,1,3,33,30.7,7
15,481,16,2019-11-23,LAL,@,MEM,W 109-108,1,34:42,7,14,.500,3,6,.500,4,8,.500,.607,5,6,.833,2,2,4,3,3,5,3,1,22,21.8,1
16,482,17,2019-11-25,LAL,@,SAS,W 114-104,1,32:37,7,19,.368,1,6,.167,6,13,.462,.395,4,4,1.000,6,6,12,6,2,2,0,3,19,20.9,10
17,483,18,2019-11-27,LAL,@,NOP,W 114-110,1,37:11,15,30,.500,1,4,.250,14,26,.538,.517,10,12,.833,3,6,9,1,3,1,2,3,41,30.3,-6
18,484,19,2019-11-29,LAL,,WAS,W 125-103,1,27:24,8,15,.533,1,2,.500,7,13,.538,.567,9,12,.750,4,9,13,2,0,3,0,1,26,26.1,28
19,485,20,2019-12-01,LAL,,DAL,L 100-114,1,35:50,10,21,.476,1,2,.500,9,19,.474,.500,6,6,1.000,2,8,10,2,1,2,2,2,27,21.1,-7
20,486,21,2019-12-03,LAL,@,DEN,W 105-96,1,36:32,9,18,.500,1,3,.333,8,15,.533,.528,6,9,.667,3,7,10,1,0,1,1,3,25,18.2,11
21,487,22,2019-12-04,LAL,@,UTA,W 121-96,1,26:02,9,11,.818,0,0,,9,11,.818,.818,8,9,.889,1,5,6,1,1,3,0,2,26,26.7,3
22,488,23,2019-12-06,LAL,@,POR,W 136-113,1,32:09,12,21,.571,2,6,.333,10,15,.667,.619,13,15,.867,0,9,9,2,2,3,3,2,39,32.7,6
23,489,24,2019-12-08,LAL,,MIN,W 142-125,1,39:16,20,29,.690,0,2,.000,20,27,.741,.690,10,10,1.000,3,4,7,6,4,1,1,1,50,48.5,19
24,490,25,2019-12-11,LAL,@,ORL,W 96-87,1,36:36,6,20,.300,1,4,.250,5,16,.313,.325,3,4,.750,4,8,12,6,2,2,2,2,16,14.0,4
25,491,26,2019-12-13,LAL,@,MIA,W 113-110,1,38:24,11,20,.550,4,9,.444,7,11,.636,.650,7,9,.778,1,9,10,1,0,3,1,3,33,26.6,11
26,492,27,2019-12-15,LAL,@,ATL,W 101-96,1,35:28,11,23,.478,0,6,.000,11,17,.647,.478,5,7,.714,2,11,13,3,1,2,5,5,27,16.7,-3
26,,28,2019-12-17,LAL,@,IND,L 102-105,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,493,29,2019-12-19,LAL,@,MIL,L 104-111,1,43:06,11,25,.440,0,6,.000,11,19,.579,.440,14,17,.824,3,7,10,5,1,3,1,4,36,29.9,6
28,494,30,2019-12-22,LAL,,DEN,L 104-128,1,33:40,13,23,.565,1,4,.250,12,19,.632,.587,5,6,.833,5,6,11,1,0,4,5,4,32,22.9,-13
29,495,31,2019-12-25,LAL,,LAC,L 106-111,1,39:21,8,17,.471,1,6,.167,7,11,.636,.500,7,8,.875,1,5,6,3,2,2,3,4,24,18.0,-10
30,496,32,2019-12-28,LAL,@,POR,W 128-120,1,35:44,7,16,.438,1,4,.250,6,12,.500,.469,5,6,.833,1,8,9,5,2,0,2,3,20,16.6,6
31,497,33,2019-12-29,LAL,,DAL,W 108-95,1,35:53,8,12,.667,0,1,.000,8,11,.727,.667,7,9,.778,1,8,9,4,2,1,4,2,23,20.8,16
32,498,34,2020-01-01,LAL,,PHO,W 117-107,1,37:55,9,16,.563,1,3,.333,8,13,.615,.594,7,8,.875,1,10,11,2,0,1,3,1,26,20.4,16
33,499,35,2020-01-03,LAL,,NOP,W 123-113,1,37:57,15,21,.714,3,5,.600,12,16,.750,.786,13,13,1.000,2,11,13,1,3,1,3,3,46,42.2,26
34,500,36,2020-01-05,LAL,,DET,W 106-99,1,37:58,7,16,.438,1,4,.250,6,12,.500,.469,9,10,.900,1,10,11,2,3,8,0,3,24,27.7,-11
35,501,37,2020-01-07,LAL,,NYK,W 117-87,1,28:12,2,8,.250,0,1,.000,2,7,.286,.250,1,2,.500,0,6,6,5,3,2,3,2,5,5.7,10
35,,38,2020-01-10,LAL,@,DAL,W 129-114,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,,39,2020-01-11,LAL,@,OKC,W 125-110,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
35,,40,2020-01-13,LAL,,CLE,W 128-99,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
35,,41,2020-01-15,LAL,,ORL,L 118-119,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
35,,42,2020-01-18,LAL,@,HOU,W 124-115,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
36,502,43,2020-01-20,LAL,@,BOS,L 107-139,1,22:33,3,7,.429,0,0,,3,7,.429,.429,3,3,1.000,1,3,4,2,1,2,2,5,9,6.7,-24
37,503,44,2020-01-22,LAL,@,NYK,W 100-92,1,30:03,7,14,.500,1,2,.500,6,12,.500,.536,13,13,1.000,1,4,5,5,1,2,1,0,28,27.8,8
38,504,45,2020-01-23,LAL,@,BRK,W 128-113,1,26:53,4,9,.444,1,3,.333,3,6,.500,.500,7,8,.875,1,10,11,2,1,1,2,3,16,14.5,6
39,505,46,2020-01-25,LAL,@,PHI,L 91-108,1,38:38,13,22,.591,2,5,.400,11,17,.647,.636,3,4,.750,0,7,7,2,2,1,5,3,31,20.4,-10
40,506,47,2020-01-31,LAL,,POR,L 119-127,1,38:46,14,22,.636,3,5,.600,11,17,.647,.705,6,8,.750,4,12,16,6,1,5,4,1,37,37.1,-13
41,507,48,2020-02-01,LAL,@,SAC,W 129-113,1,29:40,5,9,.556,1,2,.500,4,7,.571,.611,10,10,1.000,1,3,4,6,2,1,2,1,21,22.8,20
42,508,49,2020-02-04,LAL,,SAS,W 129-102,1,29:04,8,12,.667,0,1,.000,8,11,.727,.667,2,3,.667,2,4,6,1,1,0,4,1,18,12.3,7
43,509,50,2020-02-06,LAL,,HOU,L 111-121,1,40:16,14,21,.667,0,0,,14,21,.667,.667,4,5,.800,1,12,13,3,3,3,0,3,32,32.8,-4
44,510,51,2020-02-08,LAL,@,GSW,W 125-120,1,35:10,9,14,.643,0,0,,9,14,.643,.643,9,13,.692,2,8,10,4,3,1,2,2,27,26.7,4
45,511,52,2020-02-10,LAL,,PHO,W 125-100,1,30:58,9,17,.529,0,3,.000,9,14,.643,.529,7,8,.875,3,7,10,5,1,1,3,2,25,21.9,9
46,512,53,2020-02-12,LAL,@,DEN,W 120-116 (OT),1,41:56,12,23,.522,3,6,.500,9,17,.529,.587,6,9,.667,1,9,10,2,2,2,2,2,33,25.9,5
47,513,54,2020-02-21,LAL,,MEM,W 117-105,1,30:33,8,17,.471,2,4,.500,6,13,.462,.529,10,15,.667,5,8,13,4,1,7,4,2,28,27.1,11
48,514,55,2020-02-23,LAL,,BOS,W 114-112,1,39:05,10,25,.400,3,5,.600,7,20,.350,.460,9,12,.750,6,7,13,3,0,2,6,3,32,19.9,-3
49,515,56,2020-02-25,LAL,,NOP,W 118-109,1,36:01,6,21,.286,0,3,.000,6,18,.333,.286,9,10,.900,6,8,14,3,1,6,2,3,21,19.0,11
50,516,57,2020-02-27,LAL,@,GSW,W 116-86,1,25:11,6,13,.462,1,3,.333,5,10,.500,.500,10,12,.833,1,5,6,1,2,2,3,2,23,18.0,17
