Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,336,1,2017-10-18,NOP,@,MEM,L 91-103,1,40:14,9,23,.391,1,2,.500,8,21,.381,.413,14,17,.824,7,11,18,0,0,1,5,5,33,21.2,-15
2,337,2,2017-10-20,NOP,,GSW,L 120-128,1,40:07,15,21,.714,3,4,.750,12,17,.706,.786,2,5,.400,5,10,15,5,3,1,4,1,35,34.4,-5
3,338,3,2017-10-22,NOP,@,LAL,W 119-112,1,39:00,9,18,.500,1,5,.200,8,13,.615,.528,8,10,.800,3,14,17,3,3,3,3,1,27,27.3,8
4,339,4,2017-10-24,NOP,@,POR,L 93-103,1,05:01,1,2,.500,0,0,,1,2,.500,.500,0,0,,0,1,1,0,0,1,0,0,2,2.0,-1
4,,5,2017-10-26,NOP,@,SAC,W 114-106,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,340,6,2017-10-28,NOP,,CLE,W 123-101,1,36:23,11,22,.500,2,4,.500,9,18,.500,.545,6,6,1.000,4,10,14,2,1,3,0,5,30,27.3,24
6,341,7,2017-10-30,NOP,,ORL,L 99-115,1,41:24,13,20,.650,0,2,.000,13,18,.722,.650,13,15,.867,3,7,10,2,0,3,2,1,39,34.7,-5
7,342,8,2017-11-01,NOP,,MIN,L 98-104,1,43:10,8,18,.444,0,3,.000,8,15,.533,.444,8,11,.727,3,7,10,6,3,1,2,2,24,22.7,0
8,343,9,2017-11-03,NOP,@,DAL,W 99-94,1,40:18,10,19,.526,0,2,.000,10,17,.588,.526,10,12,.833,1,12,13,4,1,3,4,4,30,24.5,21
9,344,10,2017-11-04,NOP,@,CHI,W 96-90 (OT),1,41:21,11,17,.647,1,2,.500,10,15,.667,.676,4,4,1.000,2,14,16,0,0,3,2,1,27,24.8,-2
10,345,11,2017-11-07,NOP,@,IND,W 117-112,1,41:15,14,18,.778,4,5,.800,10,13,.769,.889,5,8,.625,3,11,14,4,1,2,2,1,37,37.0,5
11,346,12,2017-11-09,NOP,@,TOR,L 118-122,1,38:06,6,14,.429,1,4,.250,5,10,.500,.464,5,6,.833,1,6,7,2,2,2,0,2,18,16.7,-10
12,347,13,2017-11-11,NOP,,LAC,W 111-103,1,39:23,9,15,.600,0,0,,9,15,.600,.600,7,9,.778,2,8,10,5,2,2,1,0,25,27.0,11
13,348,14,2017-11-13,NOP,,ATL,W 106-105,1,37:46,5,7,.714,0,1,.000,5,6,.833,.714,3,5,.600,2,8,10,7,2,4,5,2,13,17.0,7
14,349,15,2017-11-15,NOP,,TOR,L 116-125,1,34:08,8,15,.533,1,1,1.000,7,14,.500,.567,2,2,1.000,2,3,5,1,3,1,2,5,19,14.4,-6
15,350,16,2017-11-17,NOP,@,DEN,L 114-146,1,21:14,7,11,.636,0,1,.000,7,10,.700,.636,3,5,.600,1,4,5,2,1,0,0,0,17,15.6,-11
16,351,17,2017-11-20,NOP,,OKC,W 114-107,1,44:33,9,19,.474,0,1,.000,9,18,.500,.474,18,22,.818,1,14,15,3,0,2,7,3,36,24.9,4
17,352,18,2017-11-22,NOP,,SAS,W 107-90,1,35:24,11,17,.647,0,0,,11,17,.647,.647,7,7,1.000,0,11,11,4,1,0,1,3,29,26.4,33
18,353,19,2017-11-24,NOP,@,PHO,W 115-91,1,25:45,9,12,.750,0,0,,9,12,.750,.750,5,7,.714,4,5,9,2,0,1,1,0,23,22.8,20
19,354,20,2017-11-25,NOP,@,GSW,L 95-110,1,38:51,12,22,.545,0,2,.000,12,20,.600,.545,6,8,.750,4,11,15,2,0,2,1,1,30,26.1,-5
20,355,21,2017-11-29,NOP,,MIN,L 102-120,1,17:37,7,13,.538,0,0,,7,13,.538,.538,3,3,1.000,1,4,5,0,0,0,2,2,17,9.8,-1
21,356,22,2017-12-01,NOP,@,UTA,L 108-114,1,31:31,9,14,.643,0,0,,9,14,.643,.643,1,4,.250,1,9,10,1,2,1,2,0,19,16.4,5
21,,23,2017-12-02,NOP,@,POR,W 123-116,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
21,,24,2017-12-04,NOP,,GSW,L 115-125,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
21,,25,2017-12-06,NOP,,DEN,W 123-114,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
