Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,261,1,2016-10-26,NOP,,DEN,L 102-107,1,41:14,17,34,.500,0,2,.000,17,32,.531,.500,16,17,.941,1,14,15,5,5,4,3,4,50,44.2,-3
2,262,2,2016-10-28,NOP,,GSW,L 114-122,1,39:58,17,31,.548,1,2,.500,16,29,.552,.565,10,14,.714,6,11,17,3,2,2,1,2,45,39.7,-3
3,263,3,2016-10-29,NOP,@,SAS,L 79-98,1,31:35,6,15,.400,0,0,,6,15,.400,.400,6,8,.750,0,5,5,0,0,3,1,1,18,11.3,-17
4,264,4,2016-11-01,NOP,,MIL,L 113-117,1,37:10,9,21,.429,0,3,.000,9,18,.500,.429,17,18,.944,3,12,15,2,3,3,1,2,35,33.9,3
5,265,5,2016-11-02,NOP,@,MEM,L 83-89 (OT),1,35:40,3,13,.231,1,4,.250,2,9,.222,.269,3,5,.600,1,6,7,1,2,3,5,5,10,1.6,-23
6,266,6,2016-11-04,NOP,,PHO,L 111-112 (OT),1,42:33,7,11,.636,0,1,.000,7,10,.700,.636,8,12,.667,1,9,10,2,1,4,1,1,22,22.7,-6
7,267,7,2016-11-07,NOP,@,GSW,L 106-116,1,35:00,11,18,.611,1,2,.500,10,16,.625,.639,10,13,.769,1,12,13,1,0,0,3,1,33,25.2,-6
8,268,8,2016-11-08,NOP,@,SAC,L 94-102,1,36:37,14,22,.636,0,2,.000,14,20,.700,.636,6,7,.857,1,7,8,1,2,4,3,2,34,28.3,-4
9,269,9,2016-11-10,NOP,@,MIL,W 112-106,1,41:27,11,24,.458,0,0,,11,24,.458,.458,8,8,1.000,3,5,8,2,2,4,2,3,30,24.2,7
10,270,10,2016-11-12,NOP,,LAL,L 99-126,1,34:51,13,26,.500,0,2,.000,13,24,.542,.500,8,11,.727,1,7,8,2,0,2,1,0,34,24.4,-10
11,271,11,2016-11-14,NOP,,BOS,W 106-105,1,38:20,7,22,.318,0,1,.000,7,21,.333,.318,11,13,.846,1,15,16,0,4,2,7,2,25,14.4,0
11,,12,2016-11-16,NOP,@,ORL,L 82-89,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,272,13,2016-11-18,NOP,,POR,W 113-101,1,36:41,14,22,.636,2,5,.400,12,17,.706,.682,8,10,.800,0,9,9,6,2,4,2,2,38,36.3,16
13,273,14,2016-11-19,NOP,,CHO,W 121-116 (OT),1,42:19,15,27,.556,2,5,.400,13,22,.591,.593,6,8,.750,2,14,16,2,1,3,2,3,38,31.2,7
14,274,15,2016-11-22,NOP,@,ATL,W 112-94,1,18:31,6,12,.500,0,1,.000,6,11,.545,.500,1,1,1.000,2,1,3,1,1,3,2,1,13,10.1,13
15,275,16,2016-11-23,NOP,,MIN,W 117-96,1,38:31,17,27,.630,2,4,.500,15,23,.652,.667,9,10,.900,1,9,10,3,2,1,4,1,45,36.3,33
16,276,17,2016-11-25,NOP,@,POR,L 104-119,1,42:39,10,17,.588,2,4,.500,8,13,.615,.647,9,13,.692,0,13,13,2,0,5,1,1,31,28.9,-16
17,277,18,2016-11-27,NOP,@,DAL,L 81-91,1,40:15,12,22,.545,0,1,.000,12,21,.571,.545,12,14,.857,3,10,13,3,1,1,2,3,36,30.3,-19
18,278,19,2016-11-29,NOP,,LAL,W 105-88,1,41:18,14,27,.519,1,4,.250,13,23,.565,.537,12,14,.857,6,10,16,3,4,2,1,4,41,39.0,19
19,279,20,2016-12-02,NOP,,LAC,L 96-114,1,32:03,8,17,.471,0,0,,8,17,.471,.471,5,6,.833,2,3,5,4,1,1,2,2,21,15.9,-7
20,280,21,2016-12-04,NOP,@,OKC,L 92-101,1,43:20,14,32,.438,0,1,.000,14,31,.452,.438,9,11,.818,5,10,15,2,2,4,3,3,37,27.9,-10
21,281,22,2016-12-05,NOP,,MEM,L 108-110 (2OT),1,48:29,10,27,.370,1,4,.250,9,23,.391,.389,7,7,1.000,0,16,16,1,1,4,1,1,28,21.0,-5
22,282,23,2016-12-08,NOP,,PHI,L 88-99,1,40:33,8,21,.381,0,2,.000,8,19,.421,.381,10,12,.833,1,10,11,2,0,2,3,1,26,16.8,-10
22,,24,2016-12-10,NOP,@,LAC,L 105-133,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
23,283,25,2016-12-11,NOP,@,PHO,W 120-119 (OT),1,44:11,4,17,.235,0,3,.000,4,14,.286,.235,6,6,1.000,3,9,12,4,1,2,3,4,14,9.1,-7
24,284,26,2016-12-13,NOP,,GSW,L 109-113,1,36:12,10,14,.714,1,1,1.000,9,13,.692,.750,7,8,.875,0,8,8,3,2,5,6,2,28,25.0,-8
25,285,27,2016-12-15,NOP,,IND,W 102-95,1,39:07,11,23,.478,2,3,.667,9,20,.450,.522,11,15,.733,1,14,15,0,0,5,4,2,35,25.3,14
26,286,28,2016-12-16,NOP,@,HOU,L 100-122,1,22:38,9,17,.529,0,1,.000,9,16,.563,.529,1,3,.333,1,4,5,3,0,0,1,0,19,12.9,-15
27,287,29,2016-12-18,NOP,@,SAS,L 100-113,1,29:41,5,12,.417,0,0,,5,12,.417,.417,2,4,.500,2,2,4,1,0,1,3,4,12,3.6,-23
28,288,30,2016-12-20,NOP,@,PHI,W 108-93,1,35:13,12,30,.400,0,1,.000,12,29,.414,.400,7,10,.700,5,11,16,2,0,2,1,2,31,21.4,11
29,289,31,2016-12-21,NOP,,OKC,L 110-121,1,35:46,14,26,.538,1,2,.500,13,24,.542,.558,5,7,.714,2,12,14,2,1,2,2,5,34,25.4,6
30,290,32,2016-12-23,NOP,,MIA,W 91-87,1,36:52,10,17,.588,2,3,.667,8,14,.571,.647,6,9,.667,7,15,22,1,1,4,3,3,28,28.6,4
31,291,33,2016-12-26,NOP,,DAL,W 111-104,1,36:37,8,14,.571,0,1,.000,8,13,.615,.571,12,14,.857,5,11,16,4,0,2,6,4,28,24.0,7
32,292,34,2016-12-28,NOP,,LAC,W 102-98,1,37:04,8,16,.500,0,2,.000,8,14,.571,.500,4,8,.500,1,4,5,1,4,1,0,4,20,16.1,4
33,293,35,2016-12-30,NOP,,NYK,W 104-92,1,34:28,9,18,.500,0,0,,9,18,.500,.500,5,6,.833,1,17,18,2,2,0,5,3,23,16.6,12
34,294,36,2017-01-02,NOP,@,CLE,L 82-90,1,40:22,10,27,.370,0,1,.000,10,26,.385,.370,0,2,.000,6,10,16,2,1,3,3,2,20,12.2,3
35,295,37,2017-01-05,NOP,,ATL,L 94-99,1,36:52,7,20,.350,0,0,,7,20,.350,.350,6,8,.750,7,11,18,3,2,0,3,5,20,15.3,-1
