Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,411,1,2018-10-17,NOP,@,HOU,W 131-112,1,39:07,13,21,.619,0,0,,13,21,.619,.619,6,7,.857,2,14,16,8,3,3,1,5,32,35.4,23
2,412,2,2018-10-19,NOP,,SAC,W 149-129,1,26:45,8,12,.667,1,1,1.000,7,11,.636,.708,8,12,.667,4,6,10,6,2,2,4,1,25,26.0,21
3,413,3,2018-10-23,NOP,,LAC,W 116-109,1,40:09,11,21,.524,2,3,.667,9,18,.500,.571,10,15,.667,5,8,13,2,1,5,0,3,34,32.3,15
4,414,4,2018-10-26,NOP,,BRK,W 117-115,1,37:39,6,19,.316,1,3,.333,5,16,.313,.342,5,7,.714,4,10,14,3,4,5,1,4,18,19.1,5
4,,5,2018-10-27,NOP,,UTA,L 111-132,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,,6,2018-10-29,NOP,@,DEN,L 111-116,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,415,7,2018-10-31,NOP,@,GSW,L 121-131,1,41:17,6,16,.375,1,4,.250,5,12,.417,.406,4,5,.800,3,9,12,7,0,1,2,3,17,15.0,-5
5,,8,2018-11-01,NOP,@,POR,L 119-132,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,416,9,2018-11-03,NOP,@,SAS,L 95-109,1,39:41,5,13,.385,0,2,.000,5,11,.455,.385,7,10,.700,0,8,8,3,2,5,3,3,17,14.5,-5
7,417,10,2018-11-05,NOP,@,OKC,L 116-122,1,37:56,7,20,.350,0,1,.000,7,19,.368,.350,6,7,.857,4,4,8,1,0,1,5,2,20,8.0,-18
8,418,11,2018-11-07,NOP,,CHI,W 107-98,1,37:03,13,24,.542,2,4,.500,11,20,.550,.583,4,7,.571,2,13,15,7,1,4,4,2,32,28.4,8
9,419,12,2018-11-10,NOP,,PHO,W 119-99,1,36:07,7,18,.389,0,2,.000,7,16,.438,.389,12,12,1.000,4,9,13,6,1,2,1,2,26,26.5,26
10,420,13,2018-11-12,NOP,@,TOR,W 126-110,1,39:43,11,20,.550,1,2,.500,10,18,.556,.575,2,2,1.000,8,12,20,6,0,2,4,4,25,24.6,17
11,421,14,2018-11-14,NOP,@,MIN,L 100-107,1,40:47,9,25,.360,2,3,.667,7,22,.318,.400,9,10,.900,2,9,11,2,2,4,0,2,29,24.2,6
12,422,15,2018-11-16,NOP,,NYK,W 129-124,1,40:23,16,25,.640,1,4,.250,15,21,.714,.660,10,15,.667,4,13,17,5,1,1,2,2,43,39.0,10
13,423,16,2018-11-17,NOP,,DEN,W 125-115,1,37:43,10,20,.500,0,1,.000,10,19,.526,.500,20,21,.952,4,4,8,8,0,1,0,4,40,38.3,11
14,424,17,2018-11-19,NOP,,SAS,W 140-126,1,32:09,13,22,.591,0,1,.000,13,21,.619,.591,3,3,1.000,3,6,9,4,2,2,2,1,29,26.5,7
15,425,18,2018-11-21,NOP,@,PHI,L 120-121,1,40:59,4,13,.308,0,2,.000,4,11,.364,.308,4,7,.571,6,10,16,6,5,5,6,3,12,16.0,-7
16,426,19,2018-11-23,NOP,@,NYK,L 109-114,1,32:01,12,19,.632,1,1,1.000,11,18,.611,.658,8,10,.800,3,8,11,4,0,0,0,3,33,29.8,-6
16,,20,2018-11-24,NOP,@,WAS,L 114-124,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
17,427,21,2018-11-26,NOP,,BOS,L 107-124,1,37:15,8,19,.421,0,2,.000,8,17,.471,.421,11,12,.917,4,12,16,5,3,3,5,2,27,25.7,-12
18,428,22,2018-11-28,NOP,,WAS,W 125-104,1,34:24,9,21,.429,2,6,.333,7,15,.467,.476,8,9,.889,4,11,15,3,1,2,3,1,28,23.7,23
19,429,23,2018-11-30,NOP,@,MIA,L 101-106,1,41:00,15,23,.652,2,5,.400,13,18,.722,.696,9,10,.900,1,8,9,2,1,4,2,2,41,36.0,9
20,430,24,2018-12-02,NOP,@,CHO,W 119-109,1,37:18,14,19,.737,2,3,.667,12,16,.750,.789,6,6,1.000,4,15,19,8,2,2,4,4,36,39.0,14
21,431,25,2018-12-03,NOP,,LAC,L 126-129,1,38:47,10,18,.556,0,4,.000,10,14,.714,.556,3,4,.750,3,10,13,5,3,3,2,3,23,24.5,5
22,432,26,2018-12-05,NOP,,DAL,W 132-106,1,33:39,10,20,.500,2,2,1.000,8,18,.444,.550,5,6,.833,0,4,4,9,2,5,2,2,27,26.8,12
23,433,27,2018-12-07,NOP,,MEM,L 103-107,1,35:51,10,21,.476,0,5,.000,10,16,.625,.476,5,5,1.000,2,9,11,3,2,4,3,4,25,20.7,-9
24,434,28,2018-12-09,NOP,@,DET,W 116-108,1,25:51,2,7,.286,0,2,.000,2,5,.400,.286,2,4,.500,2,7,9,4,0,5,1,1,6,9.5,10
25,435,29,2018-12-10,NOP,@,BOS,L 100-113,1,37:47,17,34,.500,0,2,.000,17,32,.531,.500,7,9,.778,3,4,7,2,4,0,0,1,41,31.5,-18
26,436,30,2018-12-12,NOP,,OKC,W 118-114,1,39:48,16,32,.500,1,3,.333,15,29,.517,.516,11,11,1.000,6,12,18,2,2,1,3,5,44,34.9,7
27,437,31,2018-12-16,NOP,,MIA,L 96-102,1,38:54,10,19,.526,2,3,.667,8,16,.500,.579,5,6,.833,3,9,12,7,3,3,1,1,27,30.7,-2
28,438,32,2018-12-19,NOP,@,MIL,L 115-123,1,29:11,10,18,.556,4,9,.444,6,9,.667,.667,3,6,.500,0,11,11,3,2,3,3,2,27,22.9,-13
29,439,33,2018-12-21,NOP,@,LAL,L 104-112,1,39:21,12,23,.522,1,4,.250,11,19,.579,.543,5,8,.625,5,15,20,5,0,1,1,2,30,27.9,-9
