Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,605,1,2022-10-18,LAL,@,GSW,L 109-123,1,35:36,10,22,.455,0,3,.000,10,19,.526,.455,7,9,.778,0,6,6,0,4,1,3,2,27,17.5,-21
2,606,2,2022-10-20,LAL,,LAC,L 97-103,1,31:56,9,16,.563,2,4,.500,7,12,.583,.625,5,7,.714,2,6,8,0,2,0,2,2,25,19.0,5
3,607,3,2022-10-23,LAL,,POR,L 104-106,1,36:16,9,17,.529,0,3,.000,9,14,.643,.529,4,4,1.000,5,5,10,3,2,6,1,5,22,24.0,3
4,608,4,2022-10-26,LAL,@,DEN,L 99-110,1,36:26,11,19,.579,0,1,.000,11,18,.611,.579,0,1,.000,1,13,14,5,3,2,0,1,22,24.8,-22
4,,5,2022-10-28,LAL,@,MIN,L 102-111,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
5,609,6,2022-10-30,LAL,,DEN,W 121-110,1,36:48,10,18,.556,0,0,,10,18,.556,.556,3,4,.750,6,9,15,2,1,1,2,3,23,20.8,15
6,610,7,2022-11-02,LAL,,NOP,W 120-117 (OT),1,37:12,8,17,.471,0,0,,8,17,.471,.471,4,4,1.000,5,11,16,4,1,4,1,3,20,22.5,9
7,611,8,2022-11-04,LAL,,UTA,L 116-130,1,34:51,9,17,.529,1,2,.500,8,15,.533,.559,3,3,1.000,3,5,8,2,0,2,1,3,22,17.9,-8
8,612,9,2022-11-06,LAL,,CLE,L 100-114,1,32:45,7,12,.583,0,0,,7,12,.583,.583,5,9,.556,3,9,12,4,0,1,1,4,19,17.5,-7
9,613,10,2022-11-07,LAL,@,UTA,L 116-139,1,29:12,11,18,.611,1,1,1.000,10,17,.588,.639,6,7,.857,1,3,4,2,1,1,2,2,29,22.3,-9
10,614,11,2022-11-09,LAL,@,LAC,L 101-114,1,35:21,9,16,.563,0,1,.000,9,15,.600,.563,3,4,.750,1,8,9,3,0,1,3,5,21,13.9,-10
11,615,12,2022-11-11,LAL,,SAC,L 114-120,1,34:11,8,17,.471,0,1,.000,8,16,.500,.471,8,11,.727,6,8,14,3,2,3,2,2,24,24.1,-7
12,616,13,2022-11-13,LAL,,BRK,W 116-103,1,33:38,15,25,.600,0,0,,15,25,.600,.600,7,7,1.000,10,8,18,2,0,0,1,5,37,33.3,15
13,617,14,2022-11-18,LAL,,DET,W 128-121,1,34:02,10,16,.625,0,1,.000,10,15,.667,.625,18,21,.857,2,14,16,2,1,4,4,3,38,35.2,4
14,618,15,2022-11-20,LAL,,SAS,W 123-92,1,27:46,12,19,.632,0,2,.000,12,17,.706,.632,6,6,1.000,3,15,18,2,3,1,2,1,30,30.8,34
15,619,16,2022-11-22,LAL,@,PHO,L 105-115,1,38:23,11,17,.647,0,0,,11,17,.647,.647,15,16,.938,3,18,21,2,5,5,6,2,37,39.7,-3
16,620,17,2022-11-25,LAL,@,SAS,W 105-94,1,35:04,10,13,.769,0,0,,10,13,.769,.769,5,7,.714,4,11,15,4,1,3,3,4,25,26.5,16
16,,18,2022-11-26,LAL,@,SAS,W 143-138,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,621,19,2022-11-28,LAL,,IND,L 115-116,1,36:30,9,15,.600,0,0,,9,15,.600,.600,7,10,.700,3,10,13,6,0,4,2,4,25,25.4,-1
18,622,20,2022-11-30,LAL,,POR,W 128-109,1,29:08,9,17,.529,1,2,.500,8,15,.533,.559,8,9,.889,5,7,12,1,1,3,2,3,27,24.5,8
19,623,21,2022-12-02,LAL,@,MIL,W 133-129,1,39:37,18,27,.667,2,3,.667,16,24,.667,.704,6,7,.857,2,8,10,4,0,3,0,2,44,39.8,5
20,624,22,2022-12-04,LAL,@,WAS,W 130-119,1,37:32,22,30,.733,2,3,.667,20,27,.741,.767,9,9,1.000,3,14,17,1,0,3,2,1,55,49.5,17
21,625,23,2022-12-06,LAL,@,CLE,L 102-116,1,08:07,0,0,,0,0,,0,0,,,1,3,.333,1,2,3,2,0,0,0,0,1,2.9,-6
21,,24,2022-12-07,LAL,@,TOR,L 113-126,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,626,25,2022-12-09,LAL,@,PHI,L 122-133 (OT),1,36:10,9,13,.692,0,1,.000,9,12,.750,.692,13,14,.929,2,10,12,0,2,2,3,5,31,27.9,16
23,627,26,2022-12-11,LAL,@,DET,W 124-117,1,35:44,12,18,.667,0,1,.000,12,17,.706,.667,10,12,.833,3,12,15,7,2,1,1,3,34,36.5,7
24,628,27,2022-12-13,LAL,,BOS,L 118-122 (OT),1,46:01,13,24,.542,0,2,.000,13,22,.591,.542,11,15,.733,4,8,12,3,1,1,1,1,37,31.4,-8
25,629,28,2022-12-16,LAL,,DEN,W 126-108,1,17:27,4,6,.667,0,0,,4,6,.667,.667,2,2,1.000,0,4,4,2,1,1,2,2,10,8.9,-4
25,,29,2022-12-18,LAL,,WAS,W 119-117,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,,30,2022-12-19,LAL,@,PHO,L 104-130,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,,31,2022-12-21,LAL,@,SAC,L 120-134,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,,32,2022-12-23,LAL,,CHO,L 130-134,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,,33,2022-12-25,LAL,@,DAL,L 115-124,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,,34,2022-12-27,LAL,@,ORL,W 129-110,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,,35,2022-12-28,LAL,@,MIA,L 98-112,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,,36,2022-12-30,LAL,@,ATL,W 130-121,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,,37,2023-01-02,LAL,@,CHO,W 121-115,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,,38,2023-01-04,LAL,,MIA,W 112-109,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,,39,2023-01-06,LAL,,ATL,W 130-114,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,,40,2023-01-07,LAL,@,SAC,W 136-134,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,,41,2023-01-09,LAL,@,DEN,L 109-122,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,,42,2023-01-12,LAL,,DAL,L 115-119 (2OT),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,,43,2023-01-15,LAL,,PHI,L 112-113,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,,44,2023-01-16,LAL,,HOU,W 140-132,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,,45,2023-01-18,LAL,,SAC,L 111-116,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,,46,2023-01-20,LAL,,MEM,W 122-121,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,,47,2023-01-22,LAL,@,POR,W 121-112,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,,48,2023-01-24,LAL,,LAC,L 115-133,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
26,630,49,2023-01-25,LAL,,SAS,W 113-104,0,26:12,7,15,.467,1,3,.333,6,12,.500,.500,6,7,.857,5,7,12,1,1,4,3,2,21,19.2,8
27,631,50,2023-01-28,LAL,@,BOS,L 121-125 (OT),0,33:53,6,15,.400,1,3,.333,5,12,.417,.433,3,4,.750,5,5,10,4,0,0,2,4,16,11.7,-16
27,,51,2023-01-30,LAL,@,BRK,L 104-121,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
