Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,661,1,2023-10-24,LAL,@,DEN,L 107-119,1,34:09,6,17,.353,1,2,.500,5,15,.333,.382,4,4,1.000,1,7,8,4,0,2,2,3,17,11.3,-17
2,662,2,2023-10-26,LAL,,PHO,W 100-95,1,39:15,10,17,.588,1,2,.500,9,15,.600,.618,9,10,.900,3,9,12,2,3,3,2,2,30,30.2,7
3,663,3,2023-10-29,LAL,@,SAC,L 127-132 (OT),1,41:41,11,22,.500,1,2,.500,10,20,.500,.523,7,8,.875,6,10,16,2,2,3,0,5,30,29.3,-10
4,664,4,2023-10-30,LAL,,ORL,W 106-103,1,38:12,12,18,.667,0,1,.000,12,17,.706,.667,2,3,.667,2,17,19,5,1,3,1,3,26,28.7,-2
5,665,5,2023-11-01,LAL,,LAC,W 130-125 (OT),1,47:34,10,18,.556,0,0,,10,18,.556,.556,7,9,.778,4,6,10,3,1,4,0,3,27,26.9,11
6,666,6,2023-11-04,LAL,@,ORL,L 101-120,1,32:11,10,15,.667,0,0,,10,15,.667,.667,8,8,1.000,6,7,13,3,0,7,4,5,28,28.8,-24
7,667,7,2023-11-06,LAL,@,MIA,L 107-108,1,24:50,4,7,.571,0,0,,4,7,.571,.571,1,1,1.000,0,6,6,4,0,1,1,2,9,9.2,-9
7,,8,2023-11-08,LAL,@,HOU,L 94-128,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
8,668,9,2023-11-10,LAL,@,PHO,W 122-119,1,36:02,5,14,.357,0,0,,5,14,.357,.357,8,8,1.000,4,7,11,4,0,1,1,3,18,16.4,-5
9,669,10,2023-11-12,LAL,,POR,W 116-110,1,41:00,10,20,.500,0,1,.000,10,19,.526,.500,10,12,.833,2,11,13,6,0,3,1,0,30,29.2,17
10,670,11,2023-11-14,LAL,,MEM,W 134-107,1,26:50,7,11,.636,0,0,,7,11,.636,.636,5,6,.833,4,7,11,5,0,6,2,1,19,23.9,21
11,671,12,2023-11-15,LAL,,SAC,L 110-125,1,34:44,3,9,.333,0,1,.000,3,8,.375,.333,3,3,1.000,0,9,9,0,0,4,5,4,9,2.8,-13
12,672,13,2023-11-17,LAL,@,POR,W 107-95,1,34:46,8,19,.421,0,1,.000,8,18,.444,.421,0,1,.000,4,10,14,2,3,5,6,5,16,11.2,1
13,673,14,2023-11-19,LAL,,HOU,W 105-104,1,32:52,11,15,.733,0,0,,11,15,.733,.733,5,7,.714,4,6,10,3,2,1,4,6,27,23.1,-8
14,674,15,2023-11-21,LAL,,UTA,W 131-99,1,29:11,11,14,.786,0,0,,11,14,.786,.786,4,5,.800,5,11,16,4,2,0,2,1,26,29.4,34
15,675,16,2023-11-22,LAL,,DAL,L 101-104,1,36:21,4,10,.400,0,0,,4,10,.400,.400,2,2,1.000,2,11,13,4,1,1,3,3,10,9.6,0
16,676,17,2023-11-25,LAL,@,CLE,W 121-115,1,37:48,13,20,.650,0,0,,13,20,.650,.650,6,7,.857,5,8,13,3,2,3,5,3,32,28.7,3
17,677,18,2023-11-27,LAL,@,PHI,L 94-138,1,32:16,7,14,.500,0,0,,7,14,.500,.500,3,5,.600,3,8,11,2,1,1,2,4,17,13.2,-13
18,678,19,2023-11-29,LAL,@,DET,W 133-107,1,29:07,9,15,.600,0,0,,9,15,.600,.600,10,13,.769,4,12,16,4,1,3,0,1,28,31.8,29
19,679,20,2023-11-30,LAL,@,OKC,L 110-133,1,35:59,11,18,.611,0,1,.000,11,17,.647,.611,9,10,.900,1,13,14,2,2,0,0,1,31,30.0,-12
20,680,21,2023-12-02,LAL,,HOU,W 107-97,1,36:39,10,22,.455,0,0,,10,22,.455,.455,7,9,.778,6,8,14,3,0,5,1,2,27,25.2,12
21,681,22,2023-12-05,LAL,,PHO,W 106-103,1,38:44,10,26,.385,0,0,,10,26,.385,.385,7,8,.875,9,6,15,1,0,2,0,1,27,22.2,-1
22,682,23,2023-12-07,LAL,,NOP,W 133-89,1,31:13,5,10,.500,0,2,.000,5,8,.625,.500,6,8,.750,5,10,15,5,2,2,2,1,16,21.2,35
23,683,24,2023-12-12,LAL,@,DAL,L 125-127,1,36:45,15,21,.714,1,2,.500,14,19,.737,.738,6,10,.600,5,6,11,0,0,2,2,2,37,30.6,0
