Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
6,,18,2012-12-07,NOH,,MEM,L 89-96,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
6,,19,2012-12-08,NOH,@,MIA,L 90-106,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
7,7,20,2012-12-11,NOH,,WAS,L 70-77,0,24:54,5,10,.500,0,0,,5,10,.500,.500,3,3,1.000,2,6,8,0,3,3,2,5,13,12.3,-7
8,8,21,2012-12-12,NOH,@,OKC,L 88-92,0,28:09,3,8,.375,0,0,,3,8,.375,.375,5,6,.833,0,4,4,0,1,1,2,2,11,6.3,-13
9,9,22,2012-12-14,NOH,,MIN,L 102-113,0,28:15,4,5,.800,0,0,,4,5,.800,.800,3,5,.600,0,7,7,2,1,3,3,2,11,11.1,3
10,10,23,2012-12-16,NOH,@,POR,L 94-95,0,33:47,5,10,.500,0,0,,5,10,.500,.500,5,6,.833,1,4,5,1,0,1,2,1,15,10.5,4
11,11,24,2012-12-18,NOH,@,GSW,L 96-103,1,38:58,4,7,.571,0,0,,4,7,.571,.571,7,7,1.000,5,11,16,1,4,1,3,4,15,19.3,-8
12,12,25,2012-12-19,NOH,@,LAC,L 77-93,1,41:50,7,15,.467,0,1,.000,7,14,.500,.467,2,3,.667,3,2,5,0,0,1,1,2,16,9.5,-10
13,13,26,2012-12-21,NOH,@,SAS,L 94-99,1,37:58,8,13,.615,0,0,,8,13,.615,.615,2,2,1.000,4,7,11,0,1,1,2,4,18,15.1,-6
14,14,27,2012-12-22,NOH,,IND,L 75-81,1,33:50,5,14,.357,0,0,,5,14,.357,.357,0,0,,4,5,9,1,0,1,0,2,10,7.1,-17
15,15,28,2012-12-26,NOH,@,ORL,W 97-94,1,33:25,6,14,.429,0,0,,6,14,.429,.429,0,0,,3,8,11,2,2,2,0,2,12,13.1,7
16,16,29,2012-12-28,NOH,,TOR,L 97-104 (OT),1,34:46,11,20,.550,0,0,,11,20,.550,.550,3,3,1.000,1,8,9,0,1,3,2,4,25,18.0,6
17,17,30,2012-12-29,NOH,@,CHA,W 98-95,1,37:23,4,11,.364,0,1,.000,4,10,.400,.364,0,2,.000,4,6,10,0,0,3,3,1,8,4.4,-4
18,18,31,2013-01-01,NOH,,ATL,L 86-95,1,35:41,4,9,.444,0,0,,4,9,.444,.444,1,4,.250,4,9,13,0,0,4,1,2,9,9.6,-4
19,19,32,2013-01-02,NOH,@,HOU,L 92-104,1,27:17,4,11,.364,0,0,,4,11,.364,.364,0,2,.000,3,4,7,0,0,1,2,2,8,2.3,-14
20,20,33,2013-01-05,NOH,@,DAL,W 99-96 (OT),1,12:09,1,3,.333,0,0,,1,3,.333,.333,2,2,1.000,0,1,1,0,0,0,1,3,4,0.4,-5
21,21,34,2013-01-07,NOH,,SAS,W 95-88,1,26:13,8,13,.615,0,0,,8,13,.615,.615,1,2,.500,4,5,9,0,3,1,1,1,17,17.3,6
22,22,35,2013-01-09,NOH,,HOU,W 88-79,1,19:00,3,5,.600,0,0,,3,5,.600,.600,0,0,,1,2,3,1,3,2,0,1,6,9.7,-3
23,23,36,2013-01-11,NOH,,MIN,W 104-92,1,23:10,4,6,.667,0,0,,4,6,.667,.667,1,2,.500,0,0,0,0,0,0,1,4,9,3.4,-3
24,24,37,2013-01-13,NOH,@,NYK,L 87-100,1,33:14,6,13,.462,0,0,,6,13,.462,.462,1,3,.333,3,5,8,2,1,1,0,3,13,11.0,-15
25,25,38,2013-01-15,NOH,@,PHI,W 111-99,1,20:57,4,6,.667,0,0,,4,6,.667,.667,2,3,.667,2,5,7,2,2,2,1,0,10,13.7,4
26,26,39,2013-01-16,NOH,@,BOS,W 90-78,1,26:46,4,5,.800,0,0,,4,5,.800,.800,2,2,1.000,2,8,10,1,1,2,1,0,10,14.0,-7
27,27,40,2013-01-19,NOH,,GSW,L 112-116,1,31:32,9,12,.750,0,0,,9,12,.750,.750,2,7,.286,4,8,12,4,1,4,1,2,20,23.2,2
28,28,41,2013-01-21,NOH,,SAC,W 114-105,1,15:20,5,7,.714,0,0,,5,7,.714,.714,1,3,.333,3,3,6,0,1,3,0,0,11,13.4,20
29,29,42,2013-01-23,NOH,@,SAS,L 102-106,1,30:44,3,7,.429,0,0,,3,7,.429,.429,3,4,.750,0,7,7,2,1,1,2,4,9,6.5,-8
30,30,43,2013-01-25,NOH,,HOU,L 82-100,1,26:47,4,7,.571,0,0,,4,7,.571,.571,2,2,1.000,3,4,7,0,3,1,2,3,10,10.5,-4
31,31,44,2013-01-27,NOH,@,MEM,W 91-83,1,23:55,5,7,.714,0,0,,5,7,.714,.714,0,0,,1,5,6,1,2,2,5,2,10,7.6,-4
32,32,45,2013-01-29,NOH,@,LAL,L 106-111,1,22:04,7,12,.583,0,0,,7,12,.583,.583,4,4,1.000,0,3,3,0,2,0,0,4,18,13.7,-2
33,33,46,2013-01-30,NOH,@,UTA,L 99-104,1,21:42,7,9,.778,0,0,,7,9,.778,.778,0,0,,1,6,7,1,0,2,1,5,14,12.1,7
34,34,47,2013-02-01,NOH,@,DEN,L 98-113,1,32:46,6,12,.500,0,0,,6,12,.500,.500,1,3,.333,2,8,10,2,0,3,2,3,13,10.3,-19
35,35,48,2013-02-02,NOH,@,MIN,L 86-115,1,28:59,6,12,.500,0,0,,6,12,.500,.500,6,7,.857,4,0,4,1,2,1,1,5,18,14.8,-11
36,36,49,2013-02-06,NOH,,PHO,W 93-84,1,19:55,4,7,.571,0,0,,4,7,.571,.571,0,2,.000,0,1,1,1,1,3,2,2,8,5.2,-1
37,37,50,2013-02-08,NOH,@,ATL,W 111-100,1,25:41,4,11,.364,0,0,,4,11,.364,.364,0,0,,1,6,7,1,2,1,1,0,8,6.8,8
38,38,51,2013-02-10,NOH,@,TOR,L 89-102,1,19:32,1,6,.167,0,0,,1,6,.167,.167,0,0,,2,4,6,1,1,2,1,1,2,2.5,-12
39,39,52,2013-02-11,NOH,@,DET,W 105-86,1,17:20,0,7,.000,0,1,.000,0,6,.000,.000,1,2,.500,0,8,8,1,1,4,1,3,1,0.4,11
40,40,53,2013-02-13,NOH,,POR,W 99-63,1,27:36,10,17,.588,0,0,,10,17,.588,.588,1,2,.500,4,7,11,3,1,2,2,4,21,18.5,24
41,41,54,2013-02-19,NOH,,CHI,L 87-96,1,32:44,6,13,.462,0,0,,6,13,.462,.462,3,3,1.000,1,9,10,3,4,1,1,2,15,16.7,0
42,42,55,2013-02-20,NOH,@,CLE,L 100-105,1,29:13,2,7,.286,0,0,,2,7,.286,.286,8,8,1.000,2,2,4,1,0,2,1,4,12,9.4,-4
43,43,56,2013-02-22,NOH,,DAL,L 100-104,1,23:29,4,12,.333,0,1,.000,4,11,.364,.333,2,2,1.000,4,7,11,0,1,0,1,1,10,7.7,4
44,44,57,2013-02-24,NOH,,SAC,W 110-95,1,27:45,9,14,.643,0,0,,9,14,.643,.643,2,2,1.000,3,5,8,1,0,0,0,1,20,17.7,13
45,45,58,2013-02-26,NOH,,BRK,L 97-101,1,21:24,2,4,.500,0,0,,2,4,.500,.500,2,2,1.000,2,2,4,0,1,2,0,1,6,8.0,3
45,,59,2013-02-27,NOH,@,OKC,L 74-119,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
45,,60,2013-03-01,NOH,,DET,W 100-95,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
46,46,61,2013-03-04,NOH,,ORL,L 102-105,1,38:37,6,13,.462,0,0,,6,13,.462,.462,5,9,.556,5,10,15,0,0,4,3,3,17,13.8,-1
47,47,62,2013-03-06,NOH,,LAL,L 102-108,1,16:32,5,8,.625,0,0,,5,8,.625,.625,3,5,.600,1,5,6,1,0,2,2,2,13,10.1,6
48,48,63,2013-03-09,NOH,@,MEM,L 85-96,1,37:56,9,20,.450,0,0,,9,20,.450,.450,2,2,1.000,4,14,18,2,0,0,2,2,20,15.2,-10
49,49,64,2013-03-10,NOH,,POR,W 98-96,1,33:13,8,14,.571,0,0,,8,14,.571,.571,2,3,.667,6,4,10,1,1,1,1,2,18,17.0,-7
50,50,65,2013-03-12,NOH,@,BRK,L 98-108,1,37:14,9,14,.643,0,0,,9,14,.643,.643,1,3,.333,4,7,11,2,1,5,1,3,19,20.6,0
51,51,66,2013-03-15,NOH,@,WAS,L 87-96,1,16:24,4,8,.500,0,0,,4,8,.500,.500,8,8,1.000,2,5,7,0,0,0,1,5,16,11.9,5
52,52,67,2013-03-17,NOH,@,MIN,L 95-97,1,33:00,7,13,.538,0,0,,7,13,.538,.538,3,3,1.000,3,6,9,2,3,1,2,3,17,16.5,4
53,53,68,2013-03-18,NOH,,GSW,L 72-93,1,31:54,7,12,.583,0,0,,7,12,.583,.583,2,2,1.000,4,3,7,0,2,1,3,1,16,13.4,-25
54,54,69,2013-03-20,NOH,,BOS,W 87-86,1,28:00,4,7,.571,0,0,,4,7,.571,.571,1,2,.500,2,6,8,1,1,2,4,1,9,7.2,4
55,55,70,2013-03-22,NOH,,MEM,W 90-83,1,36:56,8,14,.571,0,0,,8,14,.571,.571,2,3,.667,5,10,15,2,0,2,1,2,18,18.5,5
56,56,71,2013-03-25,NOH,,DEN,W 110-86,1,22:56,5,8,.625,0,0,,5,8,.625,.625,4,4,1.000,3,3,6,2,0,1,0,4,14,13.9,4
