Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,529,1,2020-12-22,LAL,,LAC,L 109-116,1,30:53,8,15,.533,0,2,.000,8,13,.615,.533,2,2,1.000,0,7,7,2,0,0,4,1,18,9.8,-16
2,530,2,2020-12-25,LAL,,DAL,W 138-115,1,30:17,10,16,.625,3,5,.600,7,11,.636,.719,5,7,.714,1,7,8,5,2,0,2,2,28,25.5,16
2,,3,2020-12-27,LAL,,MIN,W 127-91,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,531,4,2020-12-28,LAL,,POR,L 107-115,1,37:49,6,14,.429,0,0,,6,14,.429,.429,1,2,.500,1,9,10,5,1,0,3,1,13,9.7,5
4,532,5,2020-12-30,LAL,@,SAS,W 121-107,1,31:37,9,15,.600,0,2,.000,9,13,.692,.600,2,2,1.000,1,7,8,3,0,2,1,3,20,17.2,17
5,533,6,2021-01-01,LAL,@,SAS,W 109-103,1,35:03,13,26,.500,4,6,.667,9,20,.450,.577,4,7,.571,7,4,11,5,2,0,1,2,34,29.6,0
6,534,7,2021-01-03,LAL,@,MEM,W 108-94,1,32:12,6,15,.400,0,2,.000,6,13,.462,.400,5,6,.833,2,7,9,1,3,3,3,0,17,14.8,5
7,535,8,2021-01-05,LAL,@,MEM,W 94-92,1,34:24,10,20,.500,4,10,.400,6,10,.600,.600,3,4,.750,0,10,10,4,3,3,4,0,26,22.5,12
8,536,9,2021-01-07,LAL,,SAS,L 109-118,1,34:20,11,17,.647,1,3,.333,10,14,.714,.676,0,2,.000,2,8,10,3,1,3,1,2,23,21.9,-16
8,,10,2021-01-08,LAL,,CHI,W 117-115,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,537,11,2021-01-10,LAL,@,HOU,W 120-102,1,29:56,9,12,.750,0,1,.000,9,11,.818,.750,9,10,.900,1,3,4,1,0,3,2,4,27,22.6,29
10,538,12,2021-01-12,LAL,@,HOU,W 117-100,1,28:53,7,8,.875,1,1,1.000,6,7,.857,.938,4,4,1.000,2,8,10,2,0,5,0,1,19,24.5,21
11,539,13,2021-01-13,LAL,@,OKC,W 128-99,1,24:37,8,13,.615,0,1,.000,8,12,.667,.615,2,2,1.000,3,4,7,1,0,0,0,0,18,16.1,16
12,540,14,2021-01-15,LAL,,NOP,W 112-95,1,33:06,5,16,.313,0,2,.000,5,14,.357,.313,7,10,.700,1,5,6,5,2,3,0,1,17,16.0,20
13,541,15,2021-01-18,LAL,,GSW,L 113-115,1,37:02,6,16,.375,0,1,.000,6,15,.400,.375,5,7,.714,5,12,17,7,2,3,1,3,17,21.3,12
14,542,16,2021-01-21,LAL,@,MIL,W 113-106,1,37:48,8,18,.444,0,1,.000,8,17,.471,.444,2,5,.400,0,9,9,6,1,2,2,3,18,13.5,0
15,543,17,2021-01-23,LAL,@,CHI,W 101-90,1,28:21,14,21,.667,2,3,.667,12,18,.667,.714,7,9,.778,1,5,6,3,2,1,1,3,37,31.9,5
16,544,18,2021-01-25,LAL,@,CLE,W 115-108,1,35:38,5,16,.313,0,3,.000,5,13,.385,.313,7,9,.778,3,7,10,4,3,3,3,1,17,15.7,-5
17,545,19,2021-01-27,LAL,@,PHI,L 106-107,1,34:34,9,18,.500,0,3,.000,9,15,.600,.500,5,10,.500,1,7,8,2,0,2,2,4,23,14.0,-4
17,,20,2021-01-28,LAL,@,DET,L 92-107,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,546,21,2021-01-30,LAL,@,BOS,W 96-95,1,35:48,11,25,.440,1,2,.500,10,23,.435,.460,4,7,.571,6,8,14,2,2,0,1,0,27,21.7,-10
19,547,22,2021-02-01,LAL,@,ATL,W 107-99,1,35:54,10,14,.714,0,2,.000,10,12,.833,.714,5,6,.833,0,2,2,2,1,3,5,4,25,17.3,2
20,548,23,2021-02-04,LAL,,DEN,W 114-93,1,33:14,5,8,.625,0,1,.000,5,7,.714,.625,3,6,.500,3,6,9,2,3,2,3,3,13,13.7,21
