Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
33,293,35,2016-12-30,NOP,,NYK,W 104-92,1,34:28,.557,.500,3.3,47.4,27.2,10.9,2.7,0.0,19.5,33.9,90,78,16.6,0.8
34,294,36,2017-01-02,NOP,@,CLE,L 82-90,1,40:22,.359,.370,13.5,24.8,18.8,11.8,1.2,6.0,9.7,34.8,73,89,12.2,-2.1
35,295,37,2017-01-05,NOP,,ATL,L 94-99,1,36:52,.425,.350,15.7,29.2,21.9,15.7,2.7,0.0,11.3,30.2,96,96,15.3,-0.6
36,296,38,2017-01-07,NOP,@,BOS,L 108-117,1,38:09,.721,.690,9.2,34.1,22.6,11.2,0.0,4.4,10.7,33.2,133,118,31.9,10.6
37,297,39,2017-01-09,NOP,@,NYK,W 110-96,1,28:58,.733,.659,16.2,54.0,35.5,18.6,0.0,8.9,0.0,45.0,156,93,39.5,24.8
37,,40,2017-01-12,NOP,@,BRK,W 104-95,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
38,298,41,2017-01-14,NOP,@,CHI,L 99-107,1,39:11,.657,.609,7.7,23.6,16.3,11.2,1.3,4.5,9.9,35.7,119,101,30.4,10.6
39,299,42,2017-01-16,NOP,@,IND,L 95-98,1,23:24,.606,.545,0.0,17.6,7.4,26.0,0.0,0.0,0.0,25.8,131,107,12.9,8.3
40,300,43,2017-01-18,NOP,,ORL,W 118-98,1,28:55,.560,.529,6.8,42.5,23.5,21.4,0.0,3.0,9.6,32.0,111,96,18.1,1.5
41,301,44,2017-01-20,NOP,,BRK,L 114-143,1,27:02,.600,.588,5.8,32.7,16.1,28.1,1.7,6.7,9.8,29.1,120,132,18.8,5.7
41,,45,2017-01-23,NOP,,CLE,W 124-122,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
42,302,46,2017-01-25,NOP,,OKC,L 105-114,1,16:07,.376,.250,0.0,30.4,14.7,0.0,0.0,4.7,15.8,32.4,66,105,1.8,-13.6
43,303,47,2017-01-27,NOP,,SAS,W 119-103,1,33:22,.606,.545,12.5,48.0,31.1,7.3,1.5,2.5,34.7,25.7,91,94,13.5,-4.3
44,304,48,2017-01-29,NOP,,WAS,L 94-107,1,39:54,.651,.620,5.3,43.0,23.5,18.1,3.9,3.5,17.8,38.7,107,102,29.7,10.9
45,305,49,2017-01-31,NOP,@,TOR,L 106-108 (OT),1,41:22,.387,.222,7.1,38.2,21.6,11.0,1.3,6.1,0.0,26.3,100,101,16.9,0.1
46,306,50,2017-02-01,NOP,@,DET,L 98-118,1,40:46,.582,.542,5.9,31.8,18.3,9.2,2.4,7.6,15.8,36.5,99,110,23.4,2.3
47,307,51,2017-02-04,NOP,@,WAS,L 91-105,1,38:46,.666,.647,5.2,24.8,14.1,10.6,1.3,4.8,5.1,22.5,131,105,23.3,10.5
48,308,52,2017-02-06,NOP,,PHO,W 111-106,1,40:29,.658,.595,4.8,17.3,11.0,4.3,1.1,9.0,7.2,28.8,127,97,28.8,7.2
49,309,53,2017-02-08,NOP,,UTA,L 94-127,1,30:03,.423,.333,11.1,22.8,16.9,11.2,0.0,17.1,6.6,24.0,97,127,12.9,0.5
50,310,54,2017-02-10,NOP,@,MIN,W 122-106,1,36:15,.782,.773,8.8,31.0,22.4,11.1,1.4,2.4,6.9,35.4,149,104,36.4,12.6
51,311,55,2017-02-12,NOP,@,SAC,L 99-105,1,40:28,.572,.479,2.7,28.1,14.5,17.0,2.4,2.5,17.7,37.2,97,102,20.2,1.0
52,312,56,2017-02-13,NOP,@,PHO,W 110-108,1,40:20,.615,.500,3.4,23.8,14.9,8.7,0.0,6.8,13.3,24.5,113,102,19.0,1.6
53,313,57,2017-02-15,NOP,@,MEM,W 95-91,1,39:11,.450,.450,0.0,18.2,10.0,9.4,1.3,4.4,13.0,29.1,79,96,9.7,-3.8
54,314,58,2017-02-23,NOP,,HOU,L 99-129,1,32:53,.517,.381,9.3,19.5,14.3,6.0,2.8,7.3,9.7,38.6,104,119,20.5,2.4
55,315,59,2017-02-25,NOP,@,DAL,L 83-96,1,39:11,.514,.515,8.2,31.3,19.5,0.0,1.3,4.7,5.0,45.3,97,95,25.0,10.6
56,316,60,2017-02-26,NOP,@,OKC,L 110-118,1,32:13,.620,.571,10.2,13.5,11.9,43.7,1.5,0.0,3.2,44.4,127,122,28.9,12.9
57,317,61,2017-03-01,NOP,,DET,W 109-86,1,36:28,.755,.647,3.8,25.2,17.9,16.1,0.0,1.6,8.4,30.7,148,86,30.1,13.1
58,318,62,2017-03-03,NOP,,SAS,L 98-101 (OT),1,42:18,.579,.417,2.5,17.2,9.9,14.3,1.2,1.8,10.7,29.9,112,93,20.4,9.1
59,319,63,2017-03-05,NOP,@,LAL,W 105-97,1,36:28,.526,.455,5.2,21.9,12.7,11.5,2.6,7.2,3.3,34.2,112,90,25.2,8.6
60,320,64,2017-03-06,NOP,@,UTA,L 83-88,1,37:18,.509,.441,13.7,19.6,16.6,6.1,2.7,0.0,20.3,28.3,92,92,13.0,0.6
61,321,65,2017-03-08,NOP,,TOR,L 87-94,1,17:07,.565,.500,0.0,28.0,13.7,9.9,0.0,0.0,13.9,20.2,103,108,4.7,-1.2
62,322,66,2017-03-11,NOP,@,CHO,W 125-122 (OT),1,45:17,.666,.645,9.8,40.6,25.3,12.1,0.0,2.1,0.0,34.8,138,111,41.0,13.9
63,323,67,2017-03-14,NOP,,POR,W 100-77,1,29:00,.425,.333,11.3,34.4,23.9,11.1,3.5,11.3,0.0,29.7,100,67,16.6,7.5
64,324,68,2017-03-15,NOP,@,MIA,L 112-120,1,34:41,.542,.412,6.8,19.8,13.3,4.3,4.2,8.0,7.4,32.9,111,110,22.1,4.5
65,325,69,2017-03-17,NOP,,HOU,W 128-112,1,37:53,.594,.556,2.8,32.3,19.0,10.5,1.2,7.5,16.5,26.5,104,99,19.9,0.6
66,326,70,2017-03-19,NOP,,MIN,W 123-109,1,35:12,.751,.688,15.2,22.7,19.2,12.0,0.0,0.0,21.2,28.6,127,112,22.8,3.1
67,327,71,2017-03-21,NOP,,MEM,W 95-82,1,40:15,.503,.500,7.3,27.7,16.9,0.0,0.0,0.0,9.6,23.0,98,91,11.9,-0.8
68,328,72,2017-03-24,NOP,@,HOU,L 107-117,1,40:52,.619,.583,7.0,33.9,19.8,4.8,3.5,2.2,3.6,30.3,120,105,30.0,6.6
69,329,73,2017-03-26,NOP,@,DEN,W 115-90,1,28:27,.772,.735,3.3,35.5,20.3,18.2,0.0,2.4,13.0,35.0,133,86,26.4,16.5
70,330,74,2017-03-27,NOP,@,UTA,L 100-108,1,41:13,.617,.543,2.7,43.3,23.0,15.2,3.8,6.0,3.3,35.3,125,102,34.8,15.8
71,331,75,2017-03-29,NOP,,DAL,W 121-118,1,35:51,.588,.500,13.1,32.7,22.9,9.8,2.9,2.1,3.8,34.0,130,120,27.5,5.3
72,332,76,2017-03-31,NOP,,SAC,W 117-89,1,33:38,.489,.474,11.9,23.3,17.7,8.6,1.4,12.2,4.9,25.3,107,83,19.3,2.6
73,333,77,2017-04-02,NOP,,CHI,L 110-117,1,40:01,.596,.447,5.2,25.1,14.8,10.3,3.6,1.8,10.7,31.2,113,110,24.9,4.2
74,334,78,2017-04-04,NOP,,DEN,L 131-134,1,40:46,.634,.613,5.2,8.8,6.9,0.0,1.2,6.8,0.0,33.2,129,132,31.4,4.4
75,335,79,2017-04-07,NOP,@,DEN,L 106-122,1,23:56,.428,.407,8.2,23.6,14.5,0.0,2.0,0.0,3.3,52.3,89,119,11.5,-3.3
75,,80,2017-04-08,NOP,@,GSW,L 101-123,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
75,,81,2017-04-11,NOP,@,LAL,L 96-108,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
75,,82,2017-04-12,NOP,@,POR,W 103-100,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
,,,,,,,31-44,75,2704,.580,.518,6.6,27.7,17.2,11.5,1.7,5.0,9.1,32.7,112,102,22.6,5.9
