Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,1,2012-10-31,NOH,,SAS,L 95-99,1,29:04,.658,.500,11.8,15.0,13.4,0.0,1.8,2.8,0.0,25.6,144,105,20.0,9.5
2,2,2,2012-11-02,NOH,,UTA,W 88-86,1,14:25,.667,.667,16.6,29.0,23.2,0.0,3.9,11.7,14.3,23.5,115,83,9.4,12.7
2,,3,2012-11-03,NOH,@,CHI,W 89-82,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
2,,4,2012-11-07,NOH,,PHI,L 62-77,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
3,3,5,2012-11-09,NOH,,CHA,W 107-99,1,36:30,.524,.500,13.5,21.9,17.9,8.4,3.1,10.6,4.4,29.8,118,103,22.4,4.4
4,4,6,2012-11-14,NOH,@,HOU,L 96-100,1,29:03,.457,.286,7.9,9.2,8.5,5.4,3.6,9.7,10.2,15.6,102,102,8.1,-0.9
5,5,7,2012-11-16,NOH,,OKC,L 95-110,1,29:08,.286,.286,18.7,30.9,23.8,6.2,0.0,7.3,12.5,26.0,75,126,4.8,-12.1
6,6,8,2012-11-17,NOH,@,MIL,L 113-117,1,31:34,.825,.769,18.4,24.2,21.7,5.9,0.0,0.0,19.1,30.2,136,121,22.5,2.6
6,,9,2012-11-20,NOH,,NYK,L 80-102,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
6,,10,2012-11-21,NOH,@,IND,L 107-115 (OT),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
6,,11,2012-11-23,NOH,@,PHO,L 108-111 (OT),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
6,,12,2012-11-25,NOH,@,DEN,L 84-102,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
6,,13,2012-11-26,NOH,@,LAC,W 105-98,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
6,,14,2012-11-28,NOH,,UTA,L 84-96,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
6,,15,2012-12-01,NOH,,OKC,L 79-100,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
6,,16,2012-12-03,NOH,,MIL,W 102-81,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,,17,2012-12-05,NOH,,LAL,L 87-103,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
6,,18,2012-12-07,NOH,,MEM,L 89-96,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
6,,19,2012-12-08,NOH,@,MIA,L 90-106,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
7,7,20,2012-12-11,NOH,,WAS,L 70-77,0,24:54,.574,.500,7.6,22.2,15.0,0.0,6.3,9.2,15.0,24.5,101,67,12.3,10.0
8,8,21,2012-12-12,NOH,@,OKC,L 88-92,0,28:09,.517,.375,0.0,17.9,7.9,0.0,2.0,3.0,15.8,21.5,92,107,6.3,-3.9
9,9,22,2012-12-14,NOH,,MIN,L 102-113,0,28:15,.764,.800,0.0,32.1,17.0,9.7,1.9,7.2,29.4,18.0,107,116,11.1,2.3
