Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,605,1,2022-10-18,LAL,@,GSW,L 109-123,1,35:36,.520,.455,0.0,16.2,8.4,0.0,4.7,2.5,10.4,31.0,94,102,17.5,0.0
2,606,2,2022-10-20,LAL,,LAC,L 97-103,1,31:56,.655,.625,5.4,22.5,12.5,0.0,2.9,0.0,9.5,27.4,114,98,19.0,6.5
3,607,3,2022-10-23,LAL,,POR,L 104-106,1,36:16,.586,.529,13.5,15.4,14.4,13.7,2.6,13.9,5.1,23.0,125,98,24.0,9.3
4,608,4,2022-10-26,LAL,@,DEN,L 99-110,1,36:26,.566,.579,2.5,35.0,18.3,25.8,3.9,4.5,0.0,23.1,118,96,24.8,12.9
4,,5,2022-10-28,LAL,@,MIN,L 102-111,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
5,609,6,2022-10-30,LAL,,DEN,W 121-110,1,36:48,.582,.556,16.3,23.0,19.8,7.9,1.3,2.3,9.2,25.2,124,109,20.8,2.0
6,610,7,2022-11-02,LAL,,NOP,W 120-117 (OT),1,37:12,.533,.471,14.0,28.0,21.3,17.0,1.3,7.4,5.1,22.5,121,96,22.5,7.0
7,611,8,2022-11-04,LAL,,UTA,L 116-130,1,34:51,.600,.559,9.8,15.0,12.5,10.0,0.0,4.4,5.2,25.0,126,136,17.9,-1.2
8,612,9,2022-11-06,LAL,,CLE,L 100-114,1,32:45,.595,.583,9.0,31.4,19.3,19.7,0.0,2.8,5.9,22.1,126,111,17.5,6.7
9,613,10,2022-11-07,LAL,@,UTA,L 116-139,1,29:12,.688,.639,4.3,13.7,8.9,15.0,1.6,2.9,8.7,34.1,131,133,22.3,5.3
10,614,11,2022-11-09,LAL,@,LAC,L 101-114,1,35:21,.591,.563,3.2,26.5,14.5,14.7,0.0,2.8,14.5,25.5,105,114,13.9,-1.6
11,615,12,2022-11-11,LAL,,SAC,L 114-120,1,34:11,.549,.471,19.1,30.4,24.3,13.7,2.9,8.3,8.4,29.5,123,115,24.1,5.6
12,616,13,2022-11-13,LAL,,BRK,W 116-103,1,33:38,.659,.600,31.7,27.8,29.9,12.6,0.0,0.0,3.4,38.1,145,108,33.3,11.2
13,617,14,2022-11-18,LAL,,DET,W 128-121,1,34:02,.753,.625,8.3,42.0,27.9,9.8,1.4,9.7,13.7,37.0,137,103,35.2,10.7
14,618,15,2022-11-20,LAL,,SAS,W 123-92,1,27:46,.693,.632,14.4,41.8,31.8,14.3,5.0,2.4,8.5,37.0,131,69,30.8,15.5
15,619,16,2022-11-22,LAL,@,PHO,L 105-115,1,38:23,.770,.647,7.8,48.9,27.9,11.2,5.8,9.2,20.0,32.0,127,84,39.7,18.4
16,620,17,2022-11-25,LAL,@,SAS,W 105-94,1,35:04,.777,.769,13.7,25.5,20.7,20.8,1.4,6.1,15.7,23.2,137,87,26.5,11.2
16,,18,2022-11-26,LAL,@,SAS,W 143-138,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,621,19,2022-11-28,LAL,,IND,L 115-116,1,36:30,.644,.600,7.2,25.8,16.1,28.0,0.0,9.4,9.3,23.3,135,107,25.4,11.1
18,622,20,2022-11-30,LAL,,POR,W 128-109,1,29:08,.644,.559,17.9,24.5,21.3,5.0,1.7,7.5,8.7,32.8,133,103,24.5,7.0
19,623,21,2022-12-02,LAL,@,MIL,W 133-129,1,39:37,.731,.704,5.5,23.1,14.1,16.1,0.0,7.1,0.0,33.0,155,130,39.8,14.4
20,624,22,2022-12-04,LAL,@,WAS,W 130-119,1,37:32,.810,.767,9.1,33.8,22.9,5.4,0.0,5.8,5.6,38.1,152,104,49.5,20.0
21,625,23,2022-12-06,LAL,@,CLE,L 102-116,1,08:07,.379,,12.1,31.1,20.4,31.1,0.0,0.0,0.0,6.8,131,121,2.9,6.9
21,,24,2022-12-07,LAL,@,TOR,L 113-126,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,626,25,2022-12-09,LAL,@,PHI,L 122-133 (OT),1,36:10,.809,.692,7.0,39.6,22.3,0.0,2.6,5.9,13.5,27.0,142,113,27.9,7.6
23,627,26,2022-12-11,LAL,@,DET,W 124-117,1,35:44,.730,.667,11.2,35.0,24.6,31.5,2.7,2.8,4.1,30.5,154,109,36.5,15.6
24,628,27,2022-12-13,LAL,,BOS,L 118-122 (OT),1,46:01,.605,.542,10.2,16.8,13.8,11.9,1.1,2.1,3.2,31.1,127,113,31.4,6.6
25,629,28,2022-12-16,LAL,,DEN,W 126-108,1,17:27,.727,.667,0.0,25.6,13.1,14.9,2.7,5.1,22.5,21.1,117,100,8.9,4.5
25,,29,2022-12-18,LAL,,WAS,W 119-117,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,,30,2022-12-19,LAL,@,PHO,L 104-130,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,,31,2022-12-21,LAL,@,SAC,L 120-134,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,,32,2022-12-23,LAL,,CHO,L 130-134,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,,33,2022-12-25,LAL,@,DAL,L 115-124,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
