Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,411,1,2018-10-17,NOP,@,HOU,W 131-112,1,39:07,.664,.619,5.7,35.8,21.6,27.2,3.6,8.4,4.0,25.7,146,95,35.4,17.6
2,412,2,2018-10-19,NOP,,SAC,W 149-129,1,26:45,.723,.708,17.1,22.0,19.7,25.9,3.2,5.1,18.8,30.4,135,107,26.0,12.6
3,413,3,2018-10-23,NOP,,LAC,W 116-109,1,40:09,.616,.571,12.0,21.3,16.4,8.9,1.2,8.9,0.0,27.8,136,101,32.3,13.1
4,414,4,2018-10-26,NOP,,BRK,W 117-115,1,37:39,.408,.342,9.6,27.1,17.8,10.5,5.0,11.0,4.3,24.4,100,96,19.1,3.1
4,,5,2018-10-27,NOP,,UTA,L 111-132,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,,6,2018-10-29,NOP,@,DEN,L 111-116,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,415,7,2018-10-31,NOP,@,GSW,L 121-131,1,41:17,.467,.406,7.6,24.9,15.9,22.0,0.0,2.0,9.9,19.8,111,125,15.0,0.6
5,,8,2018-11-01,NOP,@,POR,L 119-132,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,416,9,2018-11-03,NOP,@,SAS,L 95-109,1,39:41,.489,.385,0.0,19.4,10.6,12.1,2.4,8.3,14.7,23.2,90,98,14.5,2.1
7,417,10,2018-11-05,NOP,@,OKC,L 116-122,1,37:56,.433,.350,11.8,11.8,11.8,3.9,0.0,1.9,17.8,30.3,84,120,8.0,-11.4
8,418,11,2018-11-07,NOP,,CHI,W 107-98,1,37:03,.591,.583,5.2,33.0,19.2,36.0,1.2,8.0,12.9,34.6,109,86,28.4,12.9
9,419,12,2018-11-10,NOP,,PHO,W 119-99,1,36:07,.558,.389,12.4,24.9,19.0,24.4,1.4,5.3,4.1,27.6,140,98,26.5,8.9
10,420,13,2018-11-12,NOP,@,TOR,W 126-110,1,39:43,.599,.575,22.0,27.4,24.9,17.8,0.0,4.6,16.1,25.5,124,103,24.6,6.7
11,421,14,2018-11-14,NOP,@,MIN,L 100-107,1,40:47,.493,.400,5.1,22.5,13.9,8.0,2.3,8.1,0.0,28.9,111,95,24.2,9.4
12,422,15,2018-11-16,NOP,,NYK,W 129-124,1,40:23,.680,.660,11.1,28.1,20.6,20.5,1.1,1.9,6.0,31.2,139,108,39.0,13.9
13,423,16,2018-11-17,NOP,,DEN,W 125-115,1,37:43,.684,.500,11.8,11.1,11.4,34.8,0.0,2.3,0.0,32.9,159,118,38.3,14.7
14,424,17,2018-11-19,NOP,,SAS,W 140-126,1,32:09,.622,.591,11.2,19.5,15.6,15.1,3.0,4.3,7.9,32.0,131,118,26.5,6.0
15,425,18,2018-11-21,NOP,@,PHI,L 120-121,1,40:59,.373,.308,12.5,26.0,18.6,18.8,5.4,8.5,27.2,20.3,83,97,16.0,1.2
16,426,19,2018-11-23,NOP,@,NYK,L 109-114,1,32:01,.705,.658,8.3,25.5,16.3,27.2,0.0,0.0,0.0,27.5,157,116,29.8,18.7
16,,20,2018-11-24,NOP,@,WAS,L 114-124,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
17,427,21,2018-11-26,NOP,,BOS,L 107-124,1,37:15,.556,.421,13.9,34.4,25.1,27.2,3.9,6.7,17.1,33.8,111,110,25.7,7.0
18,428,22,2018-11-28,NOP,,WAS,W 125-104,1,34:24,.561,.476,13.0,26.0,20.5,12.5,1.3,5.0,10.7,30.6,123,94,23.7,6.9
19,429,23,2018-11-30,NOP,@,MIA,L 101-106,1,41:00,.748,.696,2.7,19.5,11.5,13.4,1.2,7.8,6.8,31.1,140,104,36.0,18.4
20,430,24,2018-12-02,NOP,@,CHO,W 119-109,1,37:18,.832,.789,13.2,37.1,26.9,39.6,2.5,4.7,15.6,29.1,148,96,39.0,22.1
21,431,25,2018-12-03,NOP,,LAC,L 126-129,1,38:47,.582,.556,8.8,38.7,21.7,16.9,3.8,5.9,9.2,24.8,122,122,24.5,3.5
22,432,26,2018-12-05,NOP,,DAL,W 132-106,1,33:39,.596,.550,0.0,11.0,6.3,34.9,2.7,15.8,8.1,31.4,123,94,26.8,12.6
23,433,27,2018-12-07,NOP,,MEM,L 103-107,1,35:51,.539,.476,6.4,28.7,17.5,16.3,2.8,8.4,11.5,31.2,104,98,20.7,7.5
24,434,28,2018-12-09,NOP,@,DET,W 116-108,1,25:51,.342,.286,9.8,23.2,17.8,19.4,0.0,13.5,10.2,16.9,97,100,9.5,1.7
25,435,29,2018-12-10,NOP,@,BOS,L 100-113,1,37:47,.540,.500,8.9,10.8,9.9,14.6,5.2,0.0,0.0,44.5,111,110,31.5,11.3
26,436,30,2018-12-12,NOP,,OKC,W 118-114,1,39:48,.597,.516,15.4,30.2,22.9,9.4,2.3,2.7,7.5,37.8,126,104,34.9,9.8
27,437,31,2018-12-16,NOP,,MIA,L 96-102,1,38:54,.624,.579,8.0,22.7,15.6,38.1,4.1,6.6,4.4,27.0,135,100,30.7,18.4
28,438,32,2018-12-19,NOP,@,MIL,L 115-123,1,29:11,.654,.667,0.0,42.1,20.3,18.6,3.2,9.5,12.7,34.2,110,105,22.9,13.0
29,439,33,2018-12-21,NOP,@,LAL,L 104-112,1,39:21,.566,.543,11.3,38.9,24.2,20.8,0.0,2.0,3.6,27.7,123,106,27.9,10.3
30,440,34,2018-12-23,NOP,@,SAC,L 117-122,1,39:51,.514,.375,4.8,31.2,19.0,13.5,2.3,7.0,3.8,26.8,116,103,26.1,6.9
31,441,35,2018-12-26,NOP,@,DAL,L 119-122,1,34:20,.567,.558,9.3,52.4,29.6,12.5,1.4,3.0,6.6,37.3,109,111,24.7,5.7
32,442,36,2018-12-28,NOP,,DAL,W 114-112,1,42:58,.651,.625,16.3,27.9,21.6,20.6,2.4,4.9,2.6,35.6,146,111,44.3,20.5
33,443,37,2018-12-29,NOP,,HOU,L 104-108,1,38:57,.632,.538,6.3,24.6,16.1,3.7,3.8,3.5,5.4,20.0,129,103,22.0,8.5
33,,38,2018-12-31,NOP,,MIN,W 123-114,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
34,444,39,2019-01-02,NOP,@,BRK,L 121-126,1,42:07,.578,.520,13.9,55.7,35.3,14.1,1.2,5.5,3.3,31.2,131,115,34.0,9.7
