Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,467,1,2019-10-22,LAL,@,LAC,L 102-112,1,37:22,.460,.381,9.0,17.9,13.4,24.0,1.3,5.1,9.9,35.8,100,114,17.1,2.9
2,468,2,2019-10-25,LAL,,UTA,W 95-86,1,32:20,.523,.412,0.0,30.6,12.7,12.6,3.1,16.5,13.0,31.0,98,77,16.3,7.2
3,469,3,2019-10-27,LAL,,CHO,W 120-101,1,32:29,.670,.605,7.0,35.5,22.5,13.0,1.5,7.9,18.8,35.1,114,90,23.7,8.5
4,470,4,2019-10-29,LAL,,MEM,W 120-91,1,30:34,.693,.412,29.2,33.1,31.4,10.8,0.0,5.1,0.0,37.4,161,79,41.7,22.1
5,471,5,2019-11-01,LAL,@,DAL,W 119-110 (OT),1,42:40,.537,.536,5.1,14.1,9.7,8.8,2.3,3.8,3.3,31.9,106,99,23.6,5.4
6,472,6,2019-11-03,LAL,@,SAS,W 103-96,1,36:00,.574,.525,5.8,25.5,15.8,9.3,0.0,9.2,21.6,32.7,93,90,16.5,2.6
7,473,7,2019-11-05,LAL,@,CHI,W 118-112,1,31:25,.472,.433,9.8,13.9,11.8,12.8,1.5,8.6,15.9,24.5,96,105,10.8,-3.5
8,474,8,2019-11-08,LAL,,MIA,W 95-80,1,34:45,.693,.647,7.1,18.0,13.0,39.0,2.9,9.2,9.6,25.9,136,77,27.1,22.3
9,475,9,2019-11-10,LAL,,TOR,L 104-113,1,37:40,.596,.550,7.8,14.2,10.8,13.5,2.5,9.6,18.1,30.8,103,104,20.9,6.3
10,476,10,2019-11-12,LAL,@,PHO,W 123-115,1,37:33,.611,.559,9.4,27.4,18.5,12.9,2.5,2.4,4.8,23.3,128,107,24.2,7.2
10,,11,2019-11-13,LAL,,GSW,W 120-94,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,477,12,2019-11-15,LAL,,SAC,W 99-97,1,35:29,.533,.417,0.0,16.5,8.1,9.9,1.5,12.6,20.0,26.0,91,103,11.7,-1.6
12,478,13,2019-11-17,LAL,,ATL,W 122-101,1,28:25,.432,.357,0.0,4.1,2.1,21.9,0.0,14.6,19.8,30.5,88,101,8.7,-4.6
13,479,14,2019-11-19,LAL,,OKC,W 112-107,1,37:06,.638,.604,8.6,12.9,10.7,19.8,5.4,5.0,7.0,32.7,131,102,30.7,16.7
14,480,15,2019-11-22,LAL,@,OKC,W 130-127,1,35:14,.692,.579,3.2,34.1,18.3,29.1,1.3,0.0,4.0,29.2,151,122,30.7,12.7
15,481,16,2019-11-23,LAL,@,MEM,W 109-108,1,34:42,.661,.607,6.0,6.7,6.4,14.7,4.2,11.7,15.3,24.1,122,101,21.8,12.0
16,482,17,2019-11-25,LAL,@,SAS,W 114-104,1,32:37,.458,.395,21.0,22.6,21.8,26.2,3.1,4.7,0.0,28.8,125,103,20.9,7.9
17,483,18,2019-11-27,LAL,@,NOP,W 114-110,1,37:11,.581,.517,10.8,18.0,14.7,5.2,3.9,2.9,5.4,43.4,116,104,30.3,7.8
18,484,19,2019-11-29,LAL,,WAS,W 125-103,1,27:24,.641,.567,18.0,29.7,24.8,11.3,0.0,8.9,0.0,30.3,142,92,26.1,12.7
19,485,20,2019-12-01,LAL,,DAL,L 100-114,1,35:50,.571,.500,6.1,20.6,14.0,10.1,1.3,5.6,7.8,30.9,112,111,21.1,6.5
20,486,21,2019-12-03,LAL,@,DEN,W 105-96,1,36:32,.569,.528,9.4,18.8,14.4,4.8,0.0,2.1,4.4,26.6,123,100,18.2,4.4
21,487,22,2019-12-04,LAL,@,UTA,W 121-96,1,26:02,.869,.818,4.6,20.0,12.9,6.3,1.9,10.6,0.0,25.5,181,94,26.7,18.1
22,488,23,2019-12-06,LAL,@,POR,W 136-113,1,32:09,.707,.619,0.0,29.2,17.0,10.6,2.7,8.6,9.8,39.5,128,96,32.7,11.0
23,489,24,2019-12-08,LAL,,MIN,W 142-125,1,39:16,.749,.690,10.5,13.2,11.9,24.0,4.8,2.6,2.9,37.3,160,115,48.5,18.2
24,490,25,2019-12-11,LAL,@,ORL,W 96-87,1,36:36,.368,.325,11.7,23.3,17.5,27.0,2.8,4.8,8.4,28.8,94,88,14.0,4.7
25,491,26,2019-12-13,LAL,@,MIA,W 113-110,1,38:24,.689,.650,2.9,27.4,14.9,4.3,0.0,7.2,4.0,26.9,141,109,26.6,11.6
26,492,27,2019-12-15,LAL,@,ATL,W 101-96,1,35:28,.518,.478,5.8,29.2,18.0,19.2,1.3,6.2,16.1,34.9,95,90,16.7,1.5
26,,28,2019-12-17,LAL,@,IND,L 102-105,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,493,29,2019-12-19,LAL,@,MIL,L 104-111,1,43:06,.554,.440,8.6,20.0,14.3,22.5,1.2,8.8,3.0,34.5,123,111,29.9,10.8
28,494,30,2019-12-22,LAL,,DEN,L 104-128,1,33:40,.624,.587,15.8,19.4,17.6,7.0,0.0,9.5,16.3,39.1,116,136,22.9,3.9
29,495,31,2019-12-25,LAL,,LAC,L 106-111,1,39:21,.585,.500,2.5,14.2,8.0,12.5,2.4,4.1,12.8,24.3,111,110,18.0,4.1
