Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,65,1,2013-10-30,NOP,,IND,L 90-95,1,37:44,.460,.400,19.4,18.7,19.1,0.0,1.4,8.1,15.5,30.0,94,101,13.1,-1.4
2,66,2,2013-11-01,NOP,@,ORL,L 90-110,1,38:20,.490,.391,17.9,35.2,24.2,6.0,1.3,7.8,0.0,28.8,120,111,24.0,7.0
3,67,3,2013-11-02,NOP,,CHA,W 105-84,1,36:40,.757,.692,11.2,13.4,12.5,20.8,8.4,13.3,10.8,23.2,144,75,32.5,19.9
4,68,4,2013-11-05,NOP,,PHO,L 98-104,1,39:42,.485,.357,2.9,31.0,16.4,0.0,0.0,11.4,5.4,21.1,99,107,13.4,-5.1
5,69,5,2013-11-06,NOP,@,MEM,W 99-84,1,36:48,.501,.357,7.5,27.7,17.3,8.3,4.6,7.0,0.0,23.4,129,88,19.4,8.7
6,70,6,2013-11-08,NOP,,LAL,W 96-85,1,37:10,.701,.667,11.0,20.3,15.8,17.2,1.4,12.7,8.1,30.6,135,85,32.7,18.9
7,71,7,2013-11-10,NOP,@,PHO,L 94-101,1,36:17,.461,.385,15.0,23.7,19.1,4.1,5.8,2.4,6.2,19.7,110,98,14.9,3.5
8,72,8,2013-11-12,NOP,@,LAL,L 95-116,1,26:29,.588,.545,3.4,23.4,10.8,15.7,3.7,0.0,7.3,22.4,112,115,12.0,2.4
9,73,9,2013-11-13,NOP,@,UTA,L 105-111,1,35:38,.625,.571,26.3,25.5,25.9,5.2,1.4,2.7,4.1,30.5,137,116,27.0,6.4
10,74,10,2013-11-16,NOP,,PHI,W 135-98,1,28:39,.533,.500,4.4,31.2,18.6,3.8,3.3,23.6,7.6,19.9,110,79,17.5,5.5
11,75,11,2013-11-20,NOP,,UTA,W 105-98,1,37:16,.751,.750,3.1,26.4,14.3,18.1,0.0,17.5,6.4,19.1,149,98,25.3,12.2
12,76,12,2013-11-22,NOP,,CLE,W 104-100,1,34:38,.515,.385,24.9,15.8,21.2,4.8,3.0,7.7,15.4,23.6,114,100,17.2,0.4
13,77,13,2013-11-25,NOP,@,SAS,L 93-112,1,32:45,.512,.375,2.7,19.3,9.5,4.5,1.5,10.5,17.0,14.3,97,106,8.7,-2.3
14,78,14,2013-11-26,NOP,,GSW,L 101-102,1,30:14,.709,.667,10.4,30.2,19.8,5.0,0.0,4.6,9.2,15.9,141,105,14.1,3.9
15,79,15,2013-11-29,NOP,@,PHI,W 121-105,1,37:55,.538,.550,15.4,13.2,14.2,10.2,2.6,8.3,4.7,24.4,119,104,22.1,2.4
16,80,16,2013-12-01,NOP,@,NYK,W 103-99,1,10:27,.478,.333,12.1,38.3,24.8,0.0,0.0,0.0,12.0,38.6,97,111,4.2,-8.9
16,,17,2013-12-02,NOP,@,CHI,W 131-128 (3OT),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,18,2013-12-04,NOP,,DAL,L 97-100,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,19,2013-12-06,NOP,,OKC,L 95-109,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,20,2013-12-11,NOP,,DET,W 111-106 (OT),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,21,2013-12-13,NOP,,MEM,W 104-98,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,22,2013-12-15,NOP,@,DEN,L 93-102,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,23,2013-12-17,NOP,@,GSW,L 93-104,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,81,24,2013-12-18,NOP,@,LAC,L 95-108,0,32:13,.569,.556,13.3,21.7,17.2,0.0,4.9,0.0,8.7,30.5,111,108,19.6,7.2
18,82,25,2013-12-21,NOP,@,POR,L 107-110,1,37:43,.636,.615,11.6,13.0,12.3,3.8,0.0,3.7,10.8,20.8,126,120,17.1,2.7
19,83,26,2013-12-23,NOP,@,SAC,W 113-100,1,42:45,.541,.400,10.7,17.1,14.0,3.3,1.2,0.0,9.3,21.7,120,106,15.9,-3.5
20,84,27,2013-12-27,NOP,,DEN,W 105-89,1,27:50,.581,.583,11.2,14.1,12.7,5.8,1.8,11.7,12.0,25.7,111,87,14.4,3.2
21,85,28,2013-12-28,NOP,@,HOU,L 98-107,1,37:47,.605,.571,13.5,33.3,22.8,0.0,1.4,2.5,0.0,17.7,134,110,18.3,2.5
22,86,29,2013-12-30,NOP,,POR,W 110-108,1,38:52,.650,.684,16.7,18.0,17.4,3.9,0.0,11.0,4.6,25.7,134,110,24.9,7.2
23,87,30,2014-01-01,NOP,@,MIN,L 112-124,1,33:22,.558,.556,10.8,12.7,11.7,0.0,1.5,10.1,7.9,16.0,118,123,11.7,-1.4
24,88,31,2014-01-03,NOP,@,BOS,W 95-92,1,38:01,.741,.750,9.7,13.8,12.1,9.5,1.5,6.3,6.1,20.5,146,102,23.6,13.2
25,89,32,2014-01-04,NOP,@,IND,L 82-99,1,34:01,.363,.333,0.0,26.9,14.5,0.0,1.6,6.9,12.7,23.1,64,103,4.3,-7.1
26,90,33,2014-01-07,NOP,@,MIA,L 88-107,1,41:00,.583,.556,19.5,15.4,17.6,4.8,4.0,4.6,20.9,27.8,103,114,18.7,1.6
27,91,34,2014-01-08,NOP,,WAS,L 96-102,1,32:35,.671,.654,3.6,21.0,12.4,6.3,1.7,7.5,16.1,27.5,109,109,16.0,3.2
28,92,35,2014-01-10,NOP,,DAL,L 90-107,1,39:59,.476,.474,19.5,21.2,20.3,4.8,2.8,12.0,8.3,27.2,106,114,20.2,4.8
29,93,36,2014-01-11,NOP,@,DAL,L 107-110,1,39:35,.654,.588,19.1,24.3,21.8,9.8,0.0,0.0,4.5,25.2,145,121,24.7,5.3
30,94,37,2014-01-13,NOP,,SAS,L 95-101,1,35:19,.545,.500,17.4,19.4,18.2,10.5,4.5,4.9,12.9,30.5,108,101,19.9,6.7
31,95,38,2014-01-15,NOP,,HOU,L 100-103,1,31:00,.673,.615,3.7,23.2,13.2,0.0,3.4,2.6,5.3,27.8,134,106,19.5,7.4
32,96,39,2014-01-18,NOP,,GSW,L 87-97,1,43:01,.696,.647,9.3,34.5,21.1,5.7,0.0,1.8,15.2,27.1,123,106,24.4,8.4
33,97,40,2014-01-20,NOP,@,MEM,W 95-92,1,40:07,.511,.409,12.3,18.4,15.3,9.9,5.6,8.7,7.0,35.0,109,95,24.4,7.1
34,98,41,2014-01-21,NOP,,SAC,L 97-114,1,36:30,.475,.333,6.6,12.8,9.7,9.5,2.9,8.6,19.2,27.5,89,120,11.6,-3.5
35,99,42,2014-01-24,NOP,@,DET,W 103-101,1,39:27,.478,.333,10.4,13.8,12.3,7.6,2.6,7.3,6.4,18.7,112,108,14.8,-0.3
36,100,43,2014-01-26,NOP,,ORL,W 100-92,1,41:55,.465,.429,18.2,38.2,27.2,12.9,2.5,12.9,11.3,28.5,105,86,23.0,4.8
37,101,44,2014-01-28,NOP,@,CLE,W 100-89,1,39:07,.712,.667,4.0,16.4,11.3,15.2,1.4,15.1,0.0,26.6,147,90,32.6,17.6
