Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,529,1,2020-12-22,LAL,,LAC,L 109-116,1,30:53,.567,.533,0.0,22.7,12.8,12.2,0.0,0.0,20.1,27.2,92,112,9.8,-2.4
2,530,2,2020-12-25,LAL,,DAL,W 138-115,1,30:17,.734,.719,3.9,28.4,15.9,22.5,3.2,0.0,9.5,28.4,149,114,25.5,12.2
2,,3,2020-12-27,LAL,,MIN,W 127-91,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,531,4,2020-12-28,LAL,,POR,L 107-115,1,37:49,.437,.429,2.9,27.2,14.8,19.0,1.3,0.0,16.8,20.8,87,115,9.7,-2.6
4,532,5,2020-12-30,LAL,@,SAS,W 121-107,1,31:37,.630,.600,3.9,22.6,14.1,14.1,0.0,4.8,5.9,23.8,128,105,17.2,4.2
5,533,6,2021-01-01,LAL,@,SAS,W 109-103,1,35:03,.585,.577,18.1,11.0,14.6,29.5,2.7,0.0,3.3,34.0,130,103,29.6,16.4
6,534,7,2021-01-03,LAL,@,MEM,W 108-94,1,32:12,.482,.400,6.2,20.5,13.6,4.7,4.8,7.2,14.5,28.7,93,89,14.8,2.8
7,535,8,2021-01-05,LAL,@,MEM,W 94-92,1,34:24,.597,.600,0.0,29.1,15.5,23.2,4.3,6.9,15.5,33.0,106,81,22.5,15.7
8,536,9,2021-01-07,LAL,,SAS,L 109-118,1,34:20,.643,.676,6.5,24.9,15.9,15.2,1.4,7.4,5.3,24.4,128,111,21.9,10.9
8,,10,2021-01-08,LAL,,CHI,W 117-115,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,537,11,2021-01-10,LAL,@,HOU,W 120-102,1,29:56,.823,.750,4.0,9.3,7.0,5.1,0.0,9.8,10.9,25.1,150,101,22.6,8.4
10,538,12,2021-01-12,LAL,@,HOU,W 117-100,1,28:53,.973,.938,7.7,24.6,17.1,10.9,0.0,14.6,0.0,14.0,204,91,24.5,17.3
11,539,13,2021-01-13,LAL,@,OKC,W 128-99,1,24:37,.648,.615,13.0,16.6,14.8,6.2,0.0,0.0,0.0,23.8,145,107,16.1,4.0
12,540,14,2021-01-15,LAL,,NOP,W 112-95,1,33:06,.417,.313,2.9,17.7,9.6,22.8,3.0,7.6,0.0,26.8,106,93,16.0,4.0
13,541,15,2021-01-18,LAL,,GSW,L 113-115,1,37:02,.445,.375,16.6,36.2,26.9,28.2,2.6,7.8,5.0,22.9,119,104,21.3,8.5
14,542,16,2021-01-21,LAL,@,MIL,W 113-106,1,37:48,.446,.444,0.0,30.9,13.6,24.7,1.3,4.3,9.0,27.0,94,105,13.5,-1.7
15,543,17,2021-01-23,LAL,@,CHI,W 101-90,1,28:21,.741,.714,4.2,18.0,11.7,41.3,3.3,2.9,3.9,39.7,140,83,31.9,27.8
16,544,18,2021-01-25,LAL,@,CLE,W 115-108,1,35:38,.426,.313,9.2,23.6,16.0,15.3,4.3,6.2,13.1,27.5,99,103,15.7,1.8
