Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,132,1,2014-10-28,NOP,,ORL,W 101-84,1,36:20,.501,.455,18.0,20.3,19.0,9.5,4.2,16.3,0.0,27.7,126,73,32.4,20.5
2,133,2,2014-11-01,NOP,,DAL,L 104-109,1,42:48,.553,.429,14.3,22.9,18.5,8.0,2.3,5.3,3.4,28.5,126,106,29.3,9.6
3,134,3,2014-11-03,NOP,@,MEM,L 81-93,1,32:01,.543,.500,7.9,17.0,11.9,15.0,1.6,2.4,7.2,18.8,113,98,12.5,7.6
4,135,4,2014-11-04,NOP,,CHO,W 100-91,1,36:48,.640,.588,6.7,34.2,20.9,10.5,1.5,6.6,5.1,25.4,130,94,24.3,11.2
5,136,5,2014-11-08,NOP,@,SAS,W 100-99,1,36:41,.658,.588,6.9,28.7,18.2,4.9,5.7,12.7,16.3,31.4,113,89,26.9,13.4
6,137,6,2014-11-10,NOP,@,CLE,L 111-118,1,39:52,.593,.571,12.8,28.5,19.8,18.1,5.4,6.7,0.0,25.7,137,117,31.4,13.7
7,138,7,2014-11-12,NOP,,LAL,W 109-102,1,36:42,.704,.750,3.7,30.6,19.1,4.5,1.4,12.5,14.5,26.4,115,96,23.9,9.2
8,139,8,2014-11-14,NOP,,MIN,W 139-91,1,27:22,.724,.692,0.0,16.7,9.9,13.1,3.5,6.0,0.0,25.6,150,87,22.8,11.6
9,140,9,2014-11-17,NOP,@,POR,L 93-102,1,37:47,.712,.700,11.0,23.4,16.6,18.9,4.2,6.7,0.0,26.5,154,102,33.1,21.9
10,141,10,2014-11-18,NOP,@,SAC,W 106-100,1,41:08,.622,.579,3.0,20.7,12.5,0.0,2.5,4.7,0.0,27.5,125,101,23.5,5.9
11,142,11,2014-11-21,NOP,@,DEN,L 97-117,1,32:04,.480,.412,3.7,29.9,16.6,14.6,1.6,5.2,17.6,32.5,84,118,10.6,-3.3
12,143,12,2014-11-22,NOP,@,UTA,W 106-94,1,39:36,.760,.696,12.4,29.5,19.7,0.0,2.7,2.1,6.6,32.9,153,100,39.4,20.6
13,144,13,2014-11-25,NOP,,SAC,L 89-99,1,37:49,.451,.333,5.6,26.9,14.6,9.1,1.5,4.0,0.0,19.4,113,110,12.9,2.7
14,145,14,2014-11-28,NOP,@,ATL,L 91-100,1,30:44,.432,.357,10.0,33.8,20.5,5.5,5.2,2.6,11.0,26.3,94,98,11.5,1.0
15,146,15,2014-11-29,NOP,@,WAS,L 80-83,1,40:10,.683,.611,7.6,29.1,17.7,0.0,1.4,0.0,15.4,30.3,121,95,22.7,10.2
16,147,16,2014-12-02,NOP,,OKC,W 112-104,1,38:56,.567,.533,4.7,23.5,13.1,16.9,7.3,8.2,4.3,23.5,123,87,28.5,15.2
17,148,17,2014-12-04,NOP,@,GSW,L 85-112,1,37:43,.723,.737,8.0,27.8,18.5,19.9,2.6,4.9,8.8,25.9,130,103,30.6,18.5
18,149,18,2014-12-06,NOP,@,LAC,L 100-120,1,32:34,.686,.600,3.3,7.6,5.3,0.0,0.0,3.2,0.0,27.4,145,136,19.5,4.3
