Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,336,1,2017-10-18,NOP,@,MEM,L 91-103,1,40:14,.541,.413,18.2,26.2,22.4,0.0,0.0,1.9,14.1,38.9,109,108,21.2,0.3
2,337,2,2017-10-20,NOP,,GSW,L 120-128,1,40:07,.754,.786,10.9,26.6,17.9,22.1,3.3,2.3,14.7,26.1,134,112,34.4,14.8
3,338,3,2017-10-22,NOP,@,LAL,W 119-112,1,39:00,.603,.528,10.5,38.3,26.2,10.3,3.6,5.9,11.8,28.4,118,98,27.3,5.3
4,339,4,2017-10-24,NOP,@,POR,L 93-103,1,05:01,.500,.500,0.0,17.1,9.1,0.0,0.0,16.2,0.0,17.9,92,95,2.0,4.3
4,,5,2017-10-26,NOP,@,SAC,W 114-106,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,340,6,2017-10-28,NOP,,CLE,W 123-101,1,36:23,.609,.545,12.6,31.4,22.0,7.7,1.3,8.6,0.0,28.8,136,95,27.3,6.9
6,341,7,2017-10-30,NOP,,ORL,L 99-115,1,41:24,.733,.650,7.6,20.3,13.5,9.7,0.0,6.8,7.0,29.6,141,113,34.7,11.0
7,342,8,2017-11-01,NOP,,MIN,L 98-104,1,43:10,.525,.444,7.4,19.5,13.1,24.6,3.3,1.8,8.1,24.6,112,100,22.7,6.4
8,343,9,2017-11-03,NOP,@,DAL,W 99-94,1,40:18,.618,.526,2.5,27.0,15.5,19.8,1.2,6.6,14.1,30.0,112,87,24.5,8.5
9,344,10,2017-11-04,NOP,@,CHI,W 96-90 (OT),1,41:21,.720,.676,5.5,28.5,18.6,0.0,0.0,6.7,9.6,24.3,124,81,24.8,8.1
10,345,11,2017-11-07,NOP,@,IND,W 117-112,1,41:15,.860,.889,8.5,29.8,19.4,16.8,1.2,3.4,8.5,25.2,161,111,37.0,17.8
11,346,12,2017-11-09,NOP,@,TOR,L 118-122,1,38:06,.541,.464,3.0,17.2,10.3,6.9,2.4,4.5,0.0,19.8,115,113,16.7,-0.1
12,347,13,2017-11-11,NOP,,LAC,W 111-103,1,39:23,.659,.600,6.6,19.1,13.8,19.0,2.4,4.1,5.0,21.4,139,97,27.0,12.2
13,348,14,2017-11-13,NOP,,ATL,W 106-105,1,37:46,.707,.714,7.7,24.8,17.2,25.7,2.7,10.0,35.2,17.8,112,103,17.0,4.9
14,349,15,2017-11-15,NOP,,TOR,L 116-125,1,34:08,.598,.567,6.9,15.1,10.2,4.0,4.3,3.3,11.2,22.6,111,122,14.4,-2.0
15,350,16,2017-11-17,NOP,@,DEN,L 114-146,1,21:14,.644,.636,5.3,26.6,14.7,14.1,2.3,0.0,0.0,27.5,135,141,15.6,6.7
16,351,17,2017-11-20,NOP,,OKC,W 114-107,1,44:33,.628,.474,2.8,29.6,18.2,10.3,0.0,4.0,19.6,34.0,107,101,24.9,1.3
17,352,18,2017-11-22,NOP,,SAS,W 107-90,1,35:24,.722,.647,0.0,32.4,17.8,22.5,1.4,0.0,4.7,26.8,143,89,26.4,14.0
18,353,19,2017-11-24,NOP,@,PHO,W 115-91,1,25:45,.763,.750,16.2,18.3,17.3,13.2,0.0,2.5,6.2,25.9,152,93,22.8,13.3
19,354,20,2017-11-25,NOP,@,GSW,L 95-110,1,38:51,.588,.545,11.8,28.9,20.8,12.9,0.0,4.1,3.8,29.5,122,107,26.1,9.7
20,355,21,2017-11-29,NOP,,MIN,L 102-120,1,17:37,.594,.538,6.5,36.3,18.9,0.0,0.0,0.0,12.3,42.4,102,128,9.8,-4.9
21,356,22,2017-12-01,NOP,@,UTA,L 108-114,1,31:31,.603,.643,3.5,31.2,17.3,5.4,3.2,2.8,11.3,26.1,102,112,16.4,2.7
21,,23,2017-12-02,NOP,@,POR,W 123-116,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
21,,24,2017-12-04,NOP,,GSW,L 115-125,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
21,,25,2017-12-06,NOP,,DEN,W 123-114,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
22,357,26,2017-12-08,NOP,,SAC,L 109-116 (OT),1,30:35,.580,.417,12.4,13.3,12.8,10.7,0.0,0.0,11.4,26.5,118,116,14.0,-0.4
23,358,27,2017-12-10,NOP,,PHI,W 131-124,1,40:22,.632,.605,4.0,16.6,11.9,14.4,1.2,8.9,11.6,28.6,118,120,24.0,0.1
23,,28,2017-12-11,NOP,@,HOU,L 123-130,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
24,359,29,2017-12-13,NOP,,MIL,W 115-108,1,36:07,.687,.625,12.5,19.8,16.8,8.4,0.0,7.8,9.9,25.0,134,110,23.0,3.4
25,360,30,2017-12-15,NOP,@,DEN,L 111-117 (OT),1,43:49,.589,.545,5.5,26.3,16.1,4.2,1.1,9.4,11.2,27.9,106,103,24.0,3.3
26,361,31,2017-12-19,NOP,@,WAS,L 106-116,1,36:33,.670,.548,14.6,12.8,13.7,6.7,1.3,0.0,6.8,34.2,136,116,30.3,10.2
27,362,32,2017-12-22,NOP,@,ORL,W 111-97,1,30:51,.693,.714,7.6,29.8,19.4,0.0,1.6,2.4,0.0,20.1,141,94,18.4,6.3
28,363,33,2017-12-23,NOP,@,MIA,W 109-94,1,31:45,.585,.500,4.9,17.2,12.1,14.4,1.7,11.4,6.4,24.6,124,100,17.2,5.7
