Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,661,1,2023-10-24,LAL,@,DEN,L 107-119,1,34:09,.453,.382,3.1,24.6,13.1,17.3,0.0,4.9,9.6,26.6,100,122,11.3,-2.1
2,662,2,2023-10-26,LAL,,PHO,W 100-95,1,39:15,.701,.618,7.8,25.0,16.1,10.3,3.6,7.3,8.5,25.4,133,87,30.2,13.5
3,663,3,2023-10-29,LAL,@,SAC,L 127-132 (OT),1,41:41,.588,.523,15.6,24.9,20.3,8.8,2.2,6.8,0.0,26.0,131,105,29.3,7.1
4,664,4,2023-10-30,LAL,,ORL,W 106-103,1,38:12,.673,.667,7.2,43.6,28.4,23.3,1.3,6.3,4.9,24.8,133,93,28.7,11.2
5,665,5,2023-11-01,LAL,,LAC,W 130-125 (OT),1,47:34,.615,.556,10.4,12.4,11.5,9.6,1.0,6.9,0.0,20.4,139,113,26.9,3.5
6,666,6,2023-11-04,LAL,@,ORL,L 101-120,1,32:11,.756,.667,21.3,21.3,21.3,20.3,0.0,15.4,17.8,30.5,136,113,28.8,14.0
7,667,7,2023-11-06,LAL,@,MIA,L 107-108,1,24:50,.605,.571,0.0,26.4,14.1,21.3,0.0,3.8,11.8,15.7,119,108,9.2,2.7
7,,8,2023-11-08,LAL,@,HOU,L 94-128,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
8,668,9,2023-11-10,LAL,@,PHO,W 122-119,1,36:02,.514,.357,12.1,18.3,15.4,15.1,0.0,2.3,5.4,22.4,123,122,16.4,-3.0
9,669,10,2023-11-12,LAL,,POR,W 116-110,1,41:00,.593,.500,5.9,33.0,19.3,24.0,0.0,6.6,3.8,28.2,127,106,29.2,7.1
10,670,11,2023-11-14,LAL,,MEM,W 134-107,1,26:50,.696,.636,23.9,22.0,22.6,25.9,0.0,20.3,12.8,25.5,151,96,23.9,11.6
11,671,12,2023-11-15,LAL,,SAC,L 110-125,1,34:44,.436,.333,0.0,26.5,14.1,0.0,0.0,10.6,32.6,18.5,58,115,2.8,-12.6
12,672,13,2023-11-17,LAL,@,POR,W 107-95,1,34:46,.412,.421,13.8,26.6,21.0,9.5,4.4,13.3,23.6,32.3,75,83,11.2,-7.2
13,673,14,2023-11-19,LAL,,HOU,W 105-104,1,32:52,.747,.733,15.4,23.1,19.2,19.1,3.0,3.1,18.1,28.6,125,102,23.1,8.0
14,674,15,2023-11-21,LAL,,UTA,W 131-99,1,29:11,.802,.786,21.6,32.3,28.0,21.3,3.2,0.0,11.0,27.0,153,87,29.4,14.4
15,675,16,2023-11-22,LAL,,DAL,L 101-104,1,36:21,.460,.400,5.7,27.4,17.3,15.7,1.4,2.9,21.6,17.7,91,103,9.6,-1.8
16,676,17,2023-11-25,LAL,@,CLE,W 121-115,1,37:48,.693,.650,16.3,24.2,20.4,12.5,2.4,6.0,17.8,30.4,120,103,28.7,5.3
17,677,18,2023-11-27,LAL,@,PHI,L 94-138,1,32:16,.525,.500,11.4,29.0,20.5,10.4,1.6,3.2,11.0,25.6,103,139,13.2,-2.3
18,678,19,2023-11-29,LAL,@,DET,W 133-107,1,29:07,.676,.600,17.8,38.8,30.0,21.9,1.6,8.1,0.0,29.3,154,91,31.8,14.5
19,679,20,2023-11-30,LAL,@,OKC,L 110-133,1,35:59,.692,.611,2.8,41.3,21.0,12.5,2.7,0.0,0.0,27.6,143,126,30.0,10.6
20,680,21,2023-12-02,LAL,,HOU,W 107-97,1,36:39,.520,.455,15.1,21.0,18.0,14.6,0.0,11.3,3.7,32.1,115,94,25.2,6.2
21,681,22,2023-12-05,LAL,,PHO,W 106-103,1,38:44,.457,.385,19.6,23.2,20.9,4.8,0.0,5.0,0.0,30.0,118,111,22.2,2.9
