,,,,Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss)
Rk,Lineup,Tm,MP,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
1,K. Caldwell-Pope | A. Davis,LAL,580:53,+5.7,+6.3,+.031,-0.5,0.0,-.016,+.023,-1.5,0.0,-.058,+9.4,+5.6,+12.9,+5.5,+12.9,+5.6,+12.9,+3.0,+1.0,+2.1,+0.6,-0.4
2,A. Davis | L. James,LAL,567:04,+6.1,+3.4,+.052,+0.1,-0.8,+.011,+.050,+2.1,+3.6,-.029,+14.4,+5.1,+13.1,+7.2,+13.1,+6.2,+14.5,+4.2,+0.3,+2.8,+0.8,-1.2
3,A. Davis | D. Green,LAL,458:36,+7.9,+4.5,+.065,+1.2,0.0,+.033,+.068,+1.6,+3.0,-.034,+18.6,+5.6,+14.2,+8.2,+14.2,+6.8,+15.4,+5.1,+1.5,+4.2,-0.1,-1.3
4,A. Caruso | A. Davis,LAL,337:07,+3.9,+3.9,+.026,-1.9,-0.5,-.056,+.011,+3.3,+5.3,-.032,+9.2,+4.5,+11.1,+4.9,+11.1,+4.5,+11.1,+6.0,+3.1,+1.3,-0.6,-1.1
5,A. Davis | R. Rondo,LAL,312:32,+6.7,+5.7,+.047,+0.5,-0.3,+.019,+.046,-5.8,-5.8,-.034,+8.1,+2.6,+7.6,+4.7,+7.6,+3.7,+9.3,+6.9,+2.2,+1.4,+0.9,+1.8
