,,,,Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss)
Rk,Lineup,Tm,MP,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
1,A. Davis | J. Holiday,NOP,308:02,+2.2,-2.5,+.037,-1.9,-7.1,+.024,+.028,-1.6,+0.2,-.098,+0.9,-1.0,-0.5,+2.8,-0.5,+0.8,+1.8,+3.0,-0.9,+1.4,+1.3,-0.2
2,A. Davis | R. Rondo,NOP,273:33,+2.2,-2.2,+.036,+0.2,-7.5,+.106,+.038,-1.2,-0.4,-.054,+3.3,-1.8,-2.2,+2.4,-2.2,+0.1,+0.2,+3.4,-0.6,-0.4,+0.5,-0.4
3,A. Davis | E. Moore,NOP,270:32,+2.8,-1.9,+.041,-1.6,-6.5,+.028,+.033,+0.1,+1.8,-.079,+4.1,-1.6,-1.5,+3.1,-1.5,+0.7,+1.5,+2.8,-1.0,+0.7,+0.3,-0.3
4,A. Davis | N. Mirotić,NOP,267:09,+2.1,-4.6,+.047,-2.0,-9.1,+.044,+.038,+0.9,+3.3,-.100,+3.1,-1.5,-0.7,+4.5,-0.7,+1.3,+2.8,+2.7,-1.1,+1.3,+2.1,-0.9
5,I. Clark | A. Davis,NOP,128:52,-4.5,-3.3,-.034,+1.5,-0.3,+.063,-.024,-1.0,-1.0,-.008,-8.6,-1.8,-3.0,+0.6,-3.0,-0.5,-1.2,+3.3,+1.4,+3.2,+1.1,0.0
