,,,,Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss)
Rk,Lineup,Tm,MP,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
1,A. Davis | D. Schröder,LAL,807:47,+3.2,+2.8,+.021,+0.2,+0.3,+.004,+.020,-0.5,-0.2,-.017,+6.1,+1.8,+5.0,+3.1,+5.0,+2.5,+5.9,+1.5,-0.3,+1.9,-0.5,-0.1
2,K. Caldwell-Pope | A. Davis,LAL,790:29,+3.0,+1.7,+.025,+0.9,+0.2,+.030,+.029,+1.2,+1.9,-.014,+8.1,+1.7,+4.5,+2.5,+4.5,+2.0,+4.7,+3.5,+0.4,+1.5,-0.9,-1.3
3,A. Davis | L. James,LAL,600:53,+4.9,+2.5,+.043,+0.4,+0.4,+.007,+.043,+0.5,+1.6,-.035,+10.7,+1.9,+5.7,+4.3,+5.7,+3.0,+6.9,+3.0,+0.9,+1.9,-2.0,-0.8
4,A. Davis | K. Kuzma,LAL,535:57,+0.1,+2.0,-.010,-0.2,+0.3,-.012,-.012,-1.6,+0.5,-.097,-1.7,+3.8,+7.7,+1.4,+7.7,+2.6,+5.9,+0.3,-1.2,+1.8,+1.8,-0.2
5,A. Davis | M. Gasol,LAL,471:19,+3.9,-0.1,+.046,-0.1,+0.1,-.006,+.045,+2.2,+4.1,-.046,+10.0,+1.0,+3.8,+4.0,+3.8,+2.5,+5.9,+3.6,-0.8,+2.1,-1.0,-0.2
6,A. Caruso | A. Davis,LAL,338:10,+3.2,+5.7,+.006,+1.3,+2.5,+.014,+.010,+0.9,+3.1,-.058,+8.6,+5.7,+11.0,+0.9,+11.0,+3.5,+8.2,+3.7,-1.0,+1.4,-1.2,-2.4
7,A. Davis | M. Harrell,LAL,290:51,+2.0,+3.6,+.002,-0.8,-5.0,+.036,-.005,+0.4,+1.0,-.013,+3.5,+3.2,+5.9,+0.2,+5.9,+1.7,+4.1,-0.9,-1.4,+1.9,+1.1,-1.7
8,A. Davis | A. Drummond,LAL,289:53,-1.2,+3.0,-.030,+0.3,0.0,+.011,-.030,-2.0,-1.1,-.053,-4.0,+3.4,+5.5,-1.2,+5.5,+1.3,+2.9,+1.2,+0.4,+0.4,+0.7,-0.5
9,A. Davis | W. Matthews,LAL,206:08,+0.6,+4.9,-.017,-1.3,-0.4,-.039,-.028,+0.4,+3.8,-.098,+0.3,+6.5,+12.3,+1.8,+12.3,+4.3,+9.5,+0.9,-2.2,+0.2,+1.3,-1.0
10,A. Davis | T. Horton-Tucker,LAL,205:09,+0.2,-3.8,+.023,-1.5,-10.5,+.078,+.017,+2.5,+4.7,-.048,+1.3,+2.1,+6.1,+3.9,+6.1,+3.2,+7.6,+2.6,-1.3,+0.9,+3.1,+0.6
