,,,,Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss)
Rk,Lineup,Tm,MP,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
1,K. Caldwell-Pope | A. Davis | D. Schröder,LAL,548:09,+4.5,+3.4,+.032,+0.6,+1.1,+.007,+.033,+0.6,+1.1,-.012,+10.2,+1.1,+3.3,+2.4,+3.3,+1.7,+4.0,+2.9,+1.3,+2.0,-2.7,-0.8
2,A. Davis | L. James | D. Schröder,LAL,496:49,+5.2,+2.6,+.045,+1.0,+1.3,+.016,+.049,+0.3,+0.5,-.003,+11.7,+1.3,+4.8,+4.9,+4.8,+3.0,+7.1,+2.7,+1.1,+2.1,-2.0,-0.3
3,K. Caldwell-Pope | A. Davis | L. James,LAL,448:42,+4.4,+3.6,+.030,+0.5,+0.1,+.016,+.030,+0.2,+0.5,-.008,+9.5,+1.1,+3.5,+2.8,+3.5,+1.8,+4.3,+2.8,+1.6,+0.9,-3.1,-0.7
4,A. Davis | M. Gasol | D. Schröder,LAL,396:18,+3.0,-0.8,+.038,-0.8,0.0,-.028,+.034,+1.9,+3.1,-.029,+7.0,-0.4,+0.6,+2.9,+0.6,+1.3,+3.0,+1.4,-0.4,+2.2,-1.1,0.0
5,K. Caldwell-Pope | A. Davis | M. Gasol,LAL,364:02,+4.0,+0.7,+.043,+1.0,+1.2,+.019,+.048,+4.2,+5.9,-.021,+13.2,+0.9,+3.6,+4.0,+3.6,+2.4,+5.8,+4.1,-0.1,+1.1,-2.5,-1.5
6,A. Davis | M. Gasol | L. James,LAL,348:20,+5.0,-0.6,+.061,+0.1,+0.9,-.008,+.062,+1.3,+2.5,-.036,+11.4,+0.1,+2.5,+5.3,+2.5,+2.6,+6.1,+3.0,-0.2,+2.6,-1.1,-0.1
7,A. Davis | K. Kuzma | D. Schröder,LAL,317:22,+0.2,+1.1,-.004,+0.4,+0.7,+.005,-.002,-2.2,-1.7,-.054,-1.4,+3.2,+7.8,+4.2,+7.8,+3.6,+8.3,-0.8,-2.6,+2.6,+3.4,+0.5
8,K. Caldwell-Pope | A. Davis | A. Drummond,LAL,247:36,+0.8,+3.1,-.007,+0.7,-1.0,+.039,-.005,-1.5,-0.9,-.038,+0.8,+3.0,+5.8,+0.4,+5.8,+1.8,+4.1,+3.3,+1.0,+0.4,+0.5,-1.0
9,K. Caldwell-Pope | A. Davis | K. Kuzma,LAL,241:21,-2.0,-1.0,-.018,+0.3,+0.9,.000,-.015,-0.1,+2.4,-.081,-3.7,+3.1,+6.2,+0.2,+6.2,+1.2,+3.0,+1.3,-0.4,+2.2,+2.6,-1.6
10,A. Davis | M. Harrell | D. Schröder,LAL,202:03,+2.3,+7.1,-.014,-0.9,-5.7,+.040,-.023,-0.4,-0.8,+.011,+3.3,+5.2,+10.4,+1.7,+10.4,+3.6,+8.5,-0.8,-2.5,+0.2,+2.1,-0.4
